username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CampbellforLa;2016-11-08 00:40;1;4;"Thanks to those who ventured out in the rain to come to @JandB_NOLA meeting. #GeauxVote #lasen #NOLA pic.twitter.com/36gi54R6RX";;@JandB_NOLA;#GeauxVote #lasen #NOLA;"795772919754457088";https://twitter.com/CampbellforLa/status/795772919754457088
RepresentUsNOLA;2016-11-08 00:28;0;0;"@SierraClubDelta @CampbellforLa I really need to learn how to ask for endorsements, I had no clue for groups that didn't send out materials";;@SierraClubDelta @CampbellforLa;;"795769878191992832";https://twitter.com/RepresentUsNOLA/status/795769878191992832
SierraClubDelta;2016-11-08 00:26;5;8;"Foster @CampbellforLa is endorsed by SierraClub for #LaSen . Primary on Nov8. Let's propel Foster into Dec10 runoff! http:// lasierraclub.org/node/382 pic.twitter.com/rMAWC4tfKs";;@CampbellforLa;#LaSen;"795769476943933440";https://twitter.com/SierraClubDelta/status/795769476943933440
JimEngsterShow;2016-11-07 23:42;0;0;"@CampbellforLa is a "part-time" politician. "Big difference between me and @JohnKennedyLA "";;@CampbellforLa @JohnKennedyLA;;"795758474328211456";https://twitter.com/JimEngsterShow/status/795758474328211456
JimEngsterShow;2016-11-07 23:39;0;0;"@CampbellforLa "I never was for @BobbyJindal ."";;@CampbellforLa @BobbyJindal;;"795757672435957760";https://twitter.com/JimEngsterShow/status/795757672435957760
CampbellforLa;2016-11-07 23:39;4;8;"When I ran in to Sen. Landrieu at lunch today, even she didn't have good things to say bout @FayardforSenate's lie. #lasen https:// twitter.com/jimengstershow /status/795757249197182978 …";;@FayardforSenate;#lasen;"795757559034548224";https://twitter.com/CampbellforLa/status/795757559034548224
JimEngsterShow;2016-11-07 23:38;0;1;"@CampbellforLa says " @MaryLandrieu said I would have never run that ad."";;@CampbellforLa @MaryLandrieu;;"795757249197182978";https://twitter.com/JimEngsterShow/status/795757249197182978
CampbellforLa;2016-11-07 23:34;0;2;"@JimEngsterShow @MaryLandrieu run. Not won.";;@JimEngsterShow @MaryLandrieu;;"795756313380843520";https://twitter.com/CampbellforLa/status/795756313380843520
juliekellyroge1;2016-11-07 20:59;0;2;"I'm a #Democrat please stop calling my house I voted for #FosterCampbell @CampbellforLa we already #Voted 16+ thanks";;@CampbellforLa;#Democrat #FosterCampbell #Voted;"795717232135434240";https://twitter.com/juliekellyroge1/status/795717232135434240
radiojs;2016-11-07 09:20;2;1;"Mon's @LouisianaToday : 8:20a - @lollydude on LSU 8:36a - @CampbellforLa 8:50a - ICYMI This Weekend 640AM KTIB & http:// fueledbygumbo.com";;@LouisianaToday @lollydude @CampbellforLa;;"795541326284648448";https://twitter.com/radiojs/status/795541326284648448
