username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SteveProw;2016-11-08 00:59;0;1;"Please join me in supporting @CatherineForNV Cortez Masto to defeat Trumpublican minion Joe @Heck4Nevada !";;@CatherineForNV @Heck4Nevada;;"795777640355471360";https://twitter.com/SteveProw/status/795777640355471360
amyfreyfloch;2016-11-08 00:54;1;1;"#NV @CatherineForNV #NVSen #MO @JasonKander #MoSen #FL #FlSen #Wi #Mi #NH https:// twitter.com/lancebass/stat us/795754861040058369 …";;@CatherineForNV @JasonKander;#NV #NVSen #MO #MoSen #FL #FlSen #Wi #Mi #NH;"795776566345269249";https://twitter.com/amyfreyfloch/status/795776566345269249
rey_benitez;2016-11-08 00:38;0;0;"This Politician Could Make History And Become The First Latina Senator Ever @CatherineForNV https://www. wearemitu.com/mitu-world/thi s-politician-could-make-history-and-become-the-first-latina-senator-ever/ … #mituworld #nvsen";;@CatherineForNV;#mituworld #nvsen;"795772469948739584";https://twitter.com/rey_benitez/status/795772469948739584
Donna_West;2016-11-08 00:36;7;19;"Thanks @LanceBass for coming by our Garage@of Adorables and firing us up to bring Nevada home for @HillaryClinton @CatherineForNV @nvdems pic.twitter.com/LbTSHFtGO7";;@LanceBass @of @HillaryClinton @CatherineForNV @nvdems;;"795772009628069890";https://twitter.com/Donna_West/status/795772009628069890
CrayKain;2016-11-08 00:36;1;1;"#FlipItDem Senate Pls RETWEET @KatieMcGintyPA @PatrickMurphyFL @DeborahRossNC @Maggie_Hassan NH @JasonKander MO @CatherineForNV #CNN #msnbc";;@KatieMcGintyPA @PatrickMurphyFL @DeborahRossNC @Maggie_Hassan @JasonKander @CatherineForNV;#FlipItDem #CNN #msnbc;"795771839427518468";https://twitter.com/CrayKain/status/795771839427518468
NBCLatino;2016-11-08 00:35;11;15;"Latinos helped Harry Reid win re-election in 2010. Can they do the same for @CatherineForNV ? http:// nbcnews.to/2fj8nnM pic.twitter.com/Rc6JJ3CUNr";;@CatherineForNV;;"795771600767483904";https://twitter.com/NBCLatino/status/795771600767483904
CoorsLightLider;2016-11-08 00:05;1;0;"@CatherineForNV , the #latina you need to know! She could be the 1st Latina Senator EVER http:// remezcla.com/features/cultu re/catherine-cortez-masto-first-latina-senator/?utm_content=buffer1fb45&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer … via @Remezcla #women";;@CatherineForNV @Remezcla;#latina #women;"795764070142119936";https://twitter.com/CoorsLightLider/status/795764070142119936
politico_chris;2016-11-08 00:01;0;0;"@SenatorReid saved the @dscc in #nvsen . @CatherineForNV had trouble w polls thru the year. @Heck4Nevada decision to abandon Trump not good.";;@SenatorReid @dscc @CatherineForNV @Heck4Nevada;#nvsen;"795763069402181632";https://twitter.com/politico_chris/status/795763069402181632
latinovictoryus;2016-11-07 23:49;4;10;"Hablamos con miembros de @Culinary226 sobre la importancia de esta elección y por que tenemos que votar por @CatherineForNV y @RubenKihuen . pic.twitter.com/tS2zQZjM2D";;@Culinary226 @CatherineForNV @RubenKihuen;;"795760032860160002";https://twitter.com/latinovictoryus/status/795760032860160002
irishcurry;2016-11-07 23:47;0;1;"@jkurr @RalstonReports @CatherineForNV to be fair, I think that is because she didn't return the questionnaire.";;@jkurr @RalstonReports @CatherineForNV;;"795759525605281792";https://twitter.com/irishcurry/status/795759525605281792
jkurr;2016-11-07 23:39;0;2;"@RalstonReports On their voter guide, you cant even click on @CatherineForNV to get more info about her, only Heck is clickable.";;@RalstonReports @CatherineForNV;;"795757679583100928";https://twitter.com/jkurr/status/795757679583100928
LanceBass;2016-11-07 23:28;38;73;"Fighting for this wonderful woman to be Nevada's next US Senator! Vote #CatherineForNV … https://www. instagram.com/p/BMhpRnLBMHc/";;;#CatherineForNV;"795754861040058369";https://twitter.com/LanceBass/status/795754861040058369
stuartITV;2016-11-07 23:28;0;0;"@robosborneitv @CatherineForNV I will be standing by!";;@robosborneitv @CatherineForNV;;"795754726344298496";https://twitter.com/stuartITV/status/795754726344298496
igob4u2;2016-11-07 23:27;27;20;"NV C CORTEZ MASTO 4 SENATE Dem Majority @CatherineForNV FLIP SENATE BLUE 4 @SenatorReid @FlipItDem Madame POTUS Dem Majority CRUSH JOE HECK pic.twitter.com/nGMwtDLEEO";;@CatherineForNV @SenatorReid @FlipItDem;;"795754640885288960";https://twitter.com/igob4u2/status/795754640885288960
JBurkeNation;2016-11-07 23:27;1;0;"ICYMI: watch @CatherineForNV try (and fail) to explain her bogus indictment against Brian Krolicki #NVSen https://www. youtube.com/watch?v=aHWANE UIOlk&feature=youtu.be …";;@CatherineForNV;#NVSen;"795754549638152194";https://twitter.com/JBurkeNation/status/795754549638152194
robosborneitv;2016-11-07 23:26;0;0;"Don't forget @stuartITV tomorrow we find out about Proposition 52 in CA and the future of @CatherineForNV in NV";;@stuartITV @CatherineForNV;;"795754321891721218";https://twitter.com/robosborneitv/status/795754321891721218
kengutierrez;2016-11-07 23:21;1;1;"@tigresdelnorte Filas de tripulación! (YOU ROW CREW!) @we_rowcrew #ElectionFinalThoughts #Hillary and @CatherineforNV #LatinosVote https:// twitter.com/Astrid_NV/stat us/795652849547886592 …";;@tigresdelnorte @we_rowcrew @CatherineforNV;#ElectionFinalThoughts #Hillary #LatinosVote;"795752959569174528";https://twitter.com/kengutierrez/status/795752959569174528
conniewhitehome;2016-11-07 23:17;1;0;"#HillaryForNV This election is abt who we are as a nation Vote @CatherineForNV #VoteDemsUpAndDownBallot + @ClintonKaine Let's make history";;@CatherineForNV @ClintonKaine;#HillaryForNV #VoteDemsUpAndDownBallot;"795752059400310784";https://twitter.com/conniewhitehome/status/795752059400310784
comunicadpr;2016-11-07 23:15;1;0;"Meet @CatherineForNV the #latina who could be the First-Ever Latina Senator! http:// remezcla.com/features/cultu re/catherine-cortez-masto-first-latina-senator/?utm_content=buffer1fb45&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer … via @remezcla";;@CatherineForNV @remezcla;#latina;"795751478451376128";https://twitter.com/comunicadpr/status/795751478451376128
kevincarroza;2016-11-07 23:08;0;1;"Good luck @CatherineForNV https:// twitter.com/CatherineForNV /status/795714408936710144 …";;@CatherineForNV;;"795749894778736640";https://twitter.com/kevincarroza/status/795749894778736640
gmartindiego;2016-11-07 23:01;8;18;"#GOTV Phonebanking 4 @CatherineForNV @RubenKihuen & @HillaryClinton in #Nevada pic.twitter.com/AF9MMK05ws";;@CatherineForNV @RubenKihuen @HillaryClinton;#GOTV #Nevada;"795747974634577920";https://twitter.com/gmartindiego/status/795747974634577920
pduetswithBabs;2016-11-07 22:51;0;0;"America, Please Vote for Democrats @HillaryClinton @KatieMcGintyPA @EvanBayh @PatrickMurphyFL @Maggie_Hassan @russfeingold @CatherineForNV";;@HillaryClinton @KatieMcGintyPA @EvanBayh @PatrickMurphyFL @Maggie_Hassan @russfeingold @CatherineForNV;;"795745437730926592";https://twitter.com/pduetswithBabs/status/795745437730926592
Playfulimp;2016-11-07 22:48;0;2;"@CatherineForNV You're worth every knock and call!! Good Luck tomorrow.";;@CatherineForNV;;"795744808761339904";https://twitter.com/Playfulimp/status/795744808761339904
unitehere;2016-11-07 22:42;1;1;"Our leaders should fix healthcare—not destroy it. @CatherineForNV is committed to #FixACA & will tell Republicans DON'T TAX OUR HEALTHCARE! pic.twitter.com/00Tgm4c73Q";;@CatherineForNV;#FixACA;"795743367837597698";https://twitter.com/unitehere/status/795743367837597698
RexDouglasStock;2016-11-07 22:41;0;1;"Escuchen mi amigos y amigas: Voto para @HillaryClinton y @CatherineForNV en Nevada. Not that pendejo, Trump! Juntos somos más fuertes https:// twitter.com/HillaryClinton /status/795706274620940288 …";;@HillaryClinton @CatherineForNV;;"795742927553118208";https://twitter.com/RexDouglasStock/status/795742927553118208
unitehere;2016-11-07 22:38;3;8;"Standing in front of that banner with @tigresdelnorte are @RubenKihuen and @CatherineForNV - two candidates for office committed to #FixACA . https:// twitter.com/unitehere/stat us/795741835637321728 …";;@tigresdelnorte @RubenKihuen @CatherineForNV;#FixACA;"795742275305246720";https://twitter.com/unitehere/status/795742275305246720
