username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
GOPAlert2016;2016-11-07 23:35;1;0;"I believe Connecticut has been lead by liberals for too long now. It's time for that to end, go vote for @DanCarterCT !";;@DanCarterCT;;"795756668495732736";https://twitter.com/GOPAlert2016/status/795756668495732736
superbus;2016-11-07 19:04;0;0;"Extremely disappointed in @DanCarterCT http:// ctmirror.org/2016/11/07/cli nton-trump-battle-overshadows-cts-down-ballot-races/ … pic.twitter.com/26vB4jQl9u";;@DanCarterCT;;"795688343237488641";https://twitter.com/superbus/status/795688343237488641
skennedy2504;2016-11-07 14:00;0;0;"Great hanging out with @DanCarterCT at the #VeteransDay parade yesterday. Thank you for your support in connecting our community! pic.twitter.com/xIUlTV0pIm";;@DanCarterCT;#VeteransDay;"795611818035216387";https://twitter.com/skennedy2504/status/795611818035216387
iavct1;2016-11-07 13:28;8;19;"Support for #veterans crosses party lines in #CT . Thanks for joining us @SenBlumenthal & @DanCarterCT ! #OperationUniteAmerica #VeteransDay pic.twitter.com/67K66HfbRE";;@SenBlumenthal @DanCarterCT;#veterans #CT #OperationUniteAmerica #VeteransDay;"795603939995582465";https://twitter.com/iavct1/status/795603939995582465
DanCarterCT;2016-11-07 02:49;5;9;"Marched with the CT chapter of @iava in today's veteran parade. Impressive dedication to America, Connecticut, and fellow veterans! @iavct1 pic.twitter.com/fthdCbBF85";;@iava @iavct1;;"795442899462852609";https://twitter.com/DanCarterCT/status/795442899462852609
UberPippi;2016-11-06 21:03;0;0;"@DanCarterCT What is your stance on internet legislation such as SOPA or PIPA?";;@DanCarterCT;;"795356039717781504";https://twitter.com/UberPippi/status/795356039717781504
CASAAmedia;2016-11-06 18:55;13;7;"CT Senate Candidate Correction -Our system has not updated. @DanCarterCT is the real (R) Candidate for Senate in CT. http:// cqrcengage.com/casaa/app/cand idate/60084 …";;@DanCarterCT;;"795323746345041921";https://twitter.com/CASAAmedia/status/795323746345041921
Truthinesses;2016-11-06 17:00;0;0;"Vote Republican really? REALLY??? @DanCarterCT @JoeMarkley @Rep80 @labbielady @CTGOP pic.twitter.com/I6DmOeXwdL";;@DanCarterCT @JoeMarkley @Rep80 @labbielady @CTGOP;;"795294782813859845";https://twitter.com/Truthinesses/status/795294782813859845
freedomondeck;2016-11-06 14:58;0;2;"Live stream us on http:// 949newsnow.com @CTNewsbreaker @LeeElci @DanCarterCT @DariaNovak @CTFCR @CTGOP @CrouchforSenate @TeamTrump pic.twitter.com/CxfYiw8TCn";;@CTNewsbreaker @LeeElci @DanCarterCT @DariaNovak @CTFCR @CTGOP @CrouchforSenate @TeamTrump;;"795264179900993536";https://twitter.com/freedomondeck/status/795264179900993536
DanCarterCT;2016-11-06 03:52;4;9;"It was great campaigning in Farmington tonight with @docpetit_art @claycopect @labbielady and Mike Clark! @CTGOP pic.twitter.com/EBvI0NNJPT";;@docpetit_art @claycopect @labbielady @CTGOP;;"795096537034588160";https://twitter.com/DanCarterCT/status/795096537034588160
DanCarterCT;2016-11-05 21:43;4;8;"Enjoyed meeting business owners in Southington. It's time for fiscal sanity! @CTGOP @labbielady #carter2016 pic.twitter.com/2XTWIQKB4S";;@CTGOP @labbielady;#carter2016;"795003605220790272";https://twitter.com/DanCarterCT/status/795003605220790272
MinorSolstice;2016-11-05 19:15;0;0;"Vote Republican really? .. REALLY? @DanCarterCT @shaban4congress pic.twitter.com/eZM3t23qVq";;@DanCarterCT @shaban4congress;;"794966449710309378";https://twitter.com/MinorSolstice/status/794966449710309378
newsfittoblog;2016-11-05 18:06;0;0;"@DanCarterCT Sir, we are a Canadian news site and have exposed Clinton. We are running this trailer on Winnipeg streets. pic.twitter.com/Q5cvAa7lFI";;@DanCarterCT;;"794948930026999808";https://twitter.com/newsfittoblog/status/794948930026999808
CTFleaMarkets;2016-11-05 00:22;5;6;"VOTE #DANCARTER #CONNECTICUT After learning what creeps & liars the #Dems turned into we must #DemExit #PodestaEmails30 @DanCarterCT";;@DanCarterCT;#DANCARTER #CONNECTICUT #Dems #DemExit #PodestaEmails30;"794681243145211904";https://twitter.com/CTFleaMarkets/status/794681243145211904
MinorSolstice;2016-11-04 15:57;0;0;"No need for another @realDonaldTrump supporter! @DanCarterCT @CTGOP pic.twitter.com/4SRcGlFoU8";;@realDonaldTrump @DanCarterCT @CTGOP;;"794554133294424064";https://twitter.com/MinorSolstice/status/794554133294424064
DanCarterCT;2016-11-04 14:59;0;1;"Check out the Phil Mikan Show at 10am to hear me discuss the campaign on WLIS1420/WMRD1150! @CTGOP #CTpolitics #Carter2016 #4Days pic.twitter.com/w5LJsauCUg";;@CTGOP;#CTpolitics #Carter2016 #4Days;"794539675985776640";https://twitter.com/DanCarterCT/status/794539675985776640
pwalkerbooks;2016-11-03 17:24;0;1;"@apricotmamiof2 @DanCarterCT they still coming to town with their opinions? Opinions are like butt holes everybody got one. Ignore them.";;@apricotmamiof2 @DanCarterCT;;"794213698332135426";https://twitter.com/pwalkerbooks/status/794213698332135426
Psychonaut7;2016-11-03 16:21;0;0;"@DanCarterCT if elected would you support further arms sales to saudi arabia?";;@DanCarterCT;;"794197866399100928";https://twitter.com/Psychonaut7/status/794197866399100928
AnonymousFOTW;2016-11-03 01:34;1;0;"@LivesUsa @DanCarterCT @SenBlumenthal @CTGOP Stand corrected issa is the richest";;@LivesUsa @DanCarterCT @SenBlumenthal @CTGOP;;"793974624132497409";https://twitter.com/AnonymousFOTW/status/793974624132497409
AnonymousFOTW;2016-11-03 01:31;1;0;"@LivesUsa @DanCarterCT @SenBlumenthal @CTGOP I doubt it after all he is the richest person in congress!";;@LivesUsa @DanCarterCT @SenBlumenthal @CTGOP;;"793973888074059776";https://twitter.com/AnonymousFOTW/status/793973888074059776
LivesUsa;2016-11-03 01:09;2;0;"@DanCarterCT @SenBlumenthal @CTGOP @AnonymousFOTW";;@DanCarterCT @SenBlumenthal @CTGOP @AnonymousFOTW;;"793968329828470784";https://twitter.com/LivesUsa/status/793968329828470784
DanCarterCT;2016-11-03 01:08;9;5;"Over $20,000 in donations to @SenBlumenthal campaign from #strawdonor scandal... Will he do the right thing? http:// conta.cc/2fgbUTV @CTGOP";;@SenBlumenthal @CTGOP;#strawdonor;"793967946326478848";https://twitter.com/DanCarterCT/status/793967946326478848
mrf505;2016-11-02 16:22;0;1;"Remember to go out and vote for @DariaNovak @Valentine4StRep and @DanCarterCT true conservatives that will bring lower taxes,less regulation";;@DariaNovak @Valentine4StRep @DanCarterCT;;"793835561580584961";https://twitter.com/mrf505/status/793835561580584961
Dc37Deborah;2016-11-02 12:00;5;2;"@DanCarterCT Blumenthal vs USA. Also, check out assault on 1A: SJR 19. pic.twitter.com/1ikuCg6knr";;@DanCarterCT;;"793769770604724224";https://twitter.com/Dc37Deborah/status/793769770604724224
DanCarterCT;2016-10-31 22:13;3;5;"Great to be at Halloween on Main Street tonight in Newtown! #Carter2016 #CTpolitics pic.twitter.com/yzELdFADuK";;;#Carter2016 #CTpolitics;"793199182110687236";https://twitter.com/DanCarterCT/status/793199182110687236
BaiAnNa2014;2016-10-31 19:33;0;0;"@FightForFairnessCT @DanCarterCT @LenFasano @ForceRecon430 #PresidentTrumpByFrankie 3. #CareerPoliticians will have lost all #jobsecurity";;@FightForFairnessCT @DanCarterCT @LenFasano @ForceRecon430;#PresidentTrumpByFrankie #CareerPoliticians #jobsecurity;"793159030424408068";https://twitter.com/BaiAnNa2014/status/793159030424408068
1718106J;2016-10-31 13:15;0;0;"@DanCarterCT NEED SO MUCH MORE VISABILITY WE NEED TO SEE YOU AROUND Heritage Village? Are there GOP HQ IN EVERY TOWN? SIGNS";;@DanCarterCT;;"793063880746471424";https://twitter.com/1718106J/status/793063880746471424
1718106J;2016-10-31 03:46;0;0;"@DanCarterCT Would like a follow #DrainTheSwamp #VoteTrump";;@DanCarterCT;#DrainTheSwamp #VoteTrump;"792920746637004800";https://twitter.com/1718106J/status/792920746637004800
Valentine4StRep;2016-10-30 16:43;1;1;"What a great feeling that people approach me and tell me how wonderful @Valentine4StRep @DanCarterCT and @JohnFrenchCT are!! #vote !";;@Valentine4StRep @DanCarterCT @JohnFrenchCT;#vote;"792753916509290496";https://twitter.com/Valentine4StRep/status/792753916509290496
freedomondeck;2016-10-30 16:00;1;3;"Live stream us on http:// 949newsnow.com @CTNewsbreaker @LeeElci @CTFCR @CTGOP @DariaNovak @lorionliberty @SaucierKathleen @DanCarterCT pic.twitter.com/GfhgkFvaS5";;@CTNewsbreaker @LeeElci @CTFCR @CTGOP @DariaNovak @lorionliberty @SaucierKathleen @DanCarterCT;;"792742929920094208";https://twitter.com/freedomondeck/status/792742929920094208
gettinviggy;2016-10-30 14:49;1;0;"@DanCarterCT casts himself as anti-establishment pick against @SenBlumenthal http:// bit.ly/2f2ewEG #ctpolitics #election2016";;@DanCarterCT @SenBlumenthal;#ctpolitics #election2016;"792725143630012416";https://twitter.com/gettinviggy/status/792725143630012416
DanCarterCT;2016-10-30 13:42;4;5;"Carter Casts Himself As Anti Establishment: http:// m.ctpost.com/news/article/C arter-casts-himself-as-anti-establishment-pick-10418198.php …";;;;"792708137249828864";https://twitter.com/DanCarterCT/status/792708137249828864
BaiAnNa2014;2016-10-30 06:53;0;0;"@gerfingerpoken2 @realDonaldTrump @tgowdySC @DanCarterCT @hexagonthai1944 @blisstabitha @realdonaldtrump I agree! @realJamesWoods #WakeUp";;@gerfingerpoken2 @realDonaldTrump @tgowdySC @DanCarterCT @hexagonthai1944 @blisstabitha @realdonaldtrump @realJamesWoods;#WakeUp;"792605270933372928";https://twitter.com/BaiAnNa2014/status/792605270933372928
MinorSolstice;2016-10-30 02:45;0;0;"Vote Republican? Really? REALLY???? @DanCarterCT @shaban4congress @SenBlumenthal pic.twitter.com/dIuIEbwM5X";;@DanCarterCT @shaban4congress @SenBlumenthal;;"792542964207587328";https://twitter.com/MinorSolstice/status/792542964207587328
BobSiegrist;2016-10-29 23:58;0;1;"In Essex today with @DanCarterCT meeting the voters before Election Day. 10 days to go! pic.twitter.com/KsWRnvmF7g";;@DanCarterCT;;"792485802802569216";https://twitter.com/BobSiegrist/status/792485802802569216
BobSiegrist;2016-10-29 22:07;0;0;"Thank you @DanCarterCT for stopping by Essex today! https:// twitter.com/dancarterct/st atus/792450444714991617 …";;@DanCarterCT;;"792457874580639748";https://twitter.com/BobSiegrist/status/792457874580639748
DanCarterCT;2016-10-29 21:38;2;3;"Great to be meeting voters this afternoon in Essex along the CT River with future state rep @BobSiegrist ! #Carter2016 #CTpolitics #10Days pic.twitter.com/7bOKcnP6Qj";;@BobSiegrist;#Carter2016 #CTpolitics #10Days;"792450444714991617";https://twitter.com/DanCarterCT/status/792450444714991617
DanCarterCT;2016-10-29 19:36;0;8;"Congrats to the crew of the #USSIllinois , the #USNavy 's new Virginia Class sub. Glad I was there for the special day! #Groton @USNavy pic.twitter.com/3Rj274wOpK";;@USNavy;#USSIllinois #USNavy #Groton;"792419781244772352";https://twitter.com/DanCarterCT/status/792419781244772352
tubanoiz;2016-10-29 16:24;0;0;"Serving breakfast at Ledyard Senior Center with @RepJohnScott & @CrouchforSenate . Great to see @DanCarterCT as well.";;@RepJohnScott @CrouchforSenate @DanCarterCT;;"792371450485374976";https://twitter.com/tubanoiz/status/792371450485374976
StellarSolvers;2016-10-28 23:39;0;0;"@DanCarterCT pic.twitter.com/RDPU0app3V";;@DanCarterCT;;"792118527578763264";https://twitter.com/StellarSolvers/status/792118527578763264
StellarSolvers;2016-10-28 23:38;0;0;"@DanCarterCT please check this out, not one Trump sign anywhere - is CT by GOP? on board? We want ground support 4 our candidate everywhere";;@DanCarterCT;;"792118388713816065";https://twitter.com/StellarSolvers/status/792118388713816065
DanCarterCT;2016-10-28 16:03;1;2;"Tune in now to the Phil Mikan Show on WLIS1420/WMRD1150 to hear me discuss the campaign! @CTGOP #CTpolitics #Carter2016 #11Days pic.twitter.com/1OJ7DmjjaJ – bei WLIS-1420AM/WMRD-1150AM";;@CTGOP;#CTpolitics #Carter2016 #11Days;"792003784629186561";https://twitter.com/DanCarterCT/status/792003784629186561
BaiAnNa2014;2016-10-28 10:02;0;0;"@DanCarterCT @chrissununu #ClintonCashMachine #EnemyWithin 4) #EdwardMezvinsky divorced,married #SueMargolis 5) Embezzled $10M #bankfraud";;@DanCarterCT @chrissununu;#ClintonCashMachine #EnemyWithin #EdwardMezvinsky #SueMargolis #bankfraud;"791913128321753088";https://twitter.com/BaiAnNa2014/status/791913128321753088
BaiAnNa2014;2016-10-28 09:47;0;0;"@dancarterct @hillsdale @realdonaldtrump @robynanne Also, look for #EnemyWithin & #ClintonCashMachine Just learned Chelsea's crookedFamily";;@dancarterct @hillsdale @realdonaldtrump @robynanne;#EnemyWithin #ClintonCashMachine;"791909247110025216";https://twitter.com/BaiAnNa2014/status/791909247110025216
BaiAnNa2014;2016-10-28 09:00;0;0;"@robynanne @DanCarterCT @ChrissununuNH @Hillsdale @realDonaldTrump #Obama gave #Hillary #DOJ $-heGave #BinLaden $1M w #SS acct,NotSurprised";;@robynanne @DanCarterCT @ChrissununuNH @Hillsdale @realDonaldTrump;#Obama #Hillary #DOJ #BinLaden #SS;"791897448348315648";https://twitter.com/BaiAnNa2014/status/791897448348315648
MinorSolstice;2016-10-28 03:24;0;0;"Really Connecticut? REALLY???? @DanCarterCT pic.twitter.com/HpbUPtrKyT";;@DanCarterCT;;"791812913837314048";https://twitter.com/MinorSolstice/status/791812913837314048
DrewSeath;2016-10-27 22:04;0;2;"@DanCarterCT - No vote for you if you don't support stricter background checks & assault gun ban. #MakeUsSafer Thanks @makeussafer";;@DanCarterCT @makeussafer;#MakeUsSafer;"791732325713338368";https://twitter.com/DrewSeath/status/791732325713338368
CTNetworkTV;2016-10-27 21:35;0;0;". @hearstcmg interviews w/ CT's U.S. Senate Candidates @SenBlumenthal (D) http:// ow.ly/UG9S305Bu3g @DanCarterCT (R) http:// ow.ly/QB8a305Bu5x";;@hearstcmg @SenBlumenthal @DanCarterCT;;"791725150064574464";https://twitter.com/CTNetworkTV/status/791725150064574464
MinorSolstice;2016-10-27 16:48;0;0;"Vote Republican Connecticut? REALLY?? @DanCarterCT @shaban4congress #Connecticut pic.twitter.com/lPNRZ5IhAh";;@DanCarterCT @shaban4congress;#Connecticut;"791652676660498432";https://twitter.com/MinorSolstice/status/791652676660498432
MicaelaConnery;2016-10-27 15:19;0;0;". @DanCarterCT + @mcorey4congress you lost my vote b/c of your stance on guns. If you can't separate from NRA on this. I can't vote for you.";;@DanCarterCT @mcorey4congress;;"791630496585379840";https://twitter.com/MicaelaConnery/status/791630496585379840
MinorSolstice;2016-10-27 13:43;0;0;"Voting Republican Connecticut? Really? ... REALLY????? @SenBlumenthal @DanCarterCT @shaban4congress @ToniBoucher @USArmy pic.twitter.com/wItDyWDarn";;@SenBlumenthal @DanCarterCT @shaban4congress @ToniBoucher @USArmy;;"791606134381707265";https://twitter.com/MinorSolstice/status/791606134381707265
ViolaMustachio;2016-10-27 12:18;0;0;"@LeeElci @DanCarterCT 97% of the DOJ donated to the Clinton campaign. #ClintonCrimeSyndicate";;@LeeElci @DanCarterCT;#ClintonCrimeSyndicate;"791584772711669760";https://twitter.com/ViolaMustachio/status/791584772711669760
ConnConnection;2016-10-27 02:03;6;5;"Do you support or oppose the Disability Integration Act @DanCarterCT ? (TY @SenBlumenthal for co-sponsoring #DIAtoday ) #CripTheVote";;@DanCarterCT @SenBlumenthal;#DIAtoday #CripTheVote;"791430056203739137";https://twitter.com/ConnConnection/status/791430056203739137
ConnConnection;2016-10-27 02:00;4;6;"Do you support or oppose the TIME Act, ending subminimum wage? @SenBlumenthal @DanCarterCT #CripTheVote";;@SenBlumenthal @DanCarterCT;#CripTheVote;"791429390202724352";https://twitter.com/ConnConnection/status/791429390202724352
ConnConnection;2016-10-27 01:59;4;3;"Do you support or oppose "ADA Notification" bills? @SenBlumenthal @DanCarterCT #CripTheVote";;@SenBlumenthal @DanCarterCT;#CripTheVote;"791429178906251264";https://twitter.com/ConnConnection/status/791429178906251264
TinaF_1971;2016-10-26 12:59;0;1;"Listen to Blumenthal and Carter Debate by VP Live #vape @DanCarterCT @SenBlumenthal https:// soundcloud.com/vp-live/blumen thal-and-carter-debate …";;@DanCarterCT @SenBlumenthal;#vape;"791232783414759424";https://twitter.com/TinaF_1971/status/791232783414759424
terryjt1;2016-10-26 11:37;0;0;"Thinking hard about my vote for Senator. Would either @DanCarterCT or @SenBlumenthal be down for a quick phone call to discuss issues?";;@DanCarterCT @SenBlumenthal;;"791212213285560320";https://twitter.com/terryjt1/status/791212213285560320
MinorSolstice;2016-10-26 03:26;0;0;"Vote Republican CT?...Really?...Really???? @DanCarterCT pic.twitter.com/qJa1fqxUau";;@DanCarterCT;;"791088483360178176";https://twitter.com/MinorSolstice/status/791088483360178176
DanCarterCT;2016-10-26 03:03;2;15;"I'm always impressed with how well informed students are this year. Enjoyed speaking to a civics class this afternoon at Danbury High School pic.twitter.com/kd3qL5Zw7u";;;;"791082667412512768";https://twitter.com/DanCarterCT/status/791082667412512768
