username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
amyfreyfloch;2016-11-08 00:54;1;1;"#NV @CatherineForNV #NVSen #MO @JasonKander #MoSen #FL #FlSen #Wi #Mi #NH https:// twitter.com/lancebass/stat us/795754861040058369 …";;@CatherineForNV @JasonKander;#NV #NVSen #MO #MoSen #FL #FlSen #Wi #Mi #NH;"795776566345269249";https://twitter.com/amyfreyfloch/status/795776566345269249
casheyesblond;2016-11-08 00:48;8;9;"#MOSen Roy Blunt voted against The Violence Against Women Act.I'm a domestic violence survivor & I'm asking you to vote for @JasonKander . pic.twitter.com/wE9OIwCuqw";;@JasonKander;#MOSen;"795775067577872384";https://twitter.com/casheyesblond/status/795775067577872384
blondicamerbes;2016-11-08 00:47;0;3;"Just spent $35 to overnight my absentee ballot & it was worth every penny to vote for @HillaryClinton & @JasonKander #ImWithHer #ImWithJason";;@HillaryClinton @JasonKander;#ImWithHer #ImWithJason;"795774702979612672";https://twitter.com/blondicamerbes/status/795774702979612672
bad_anima;2016-11-08 00:43;1;2;"@JackKiehl Every @RoyBluntMO ad I've seen has just made me want to vote for @JasonKander more #smartadmoney";;@JackKiehl @RoyBluntMO @JasonKander;#smartadmoney;"795773783281909761";https://twitter.com/bad_anima/status/795773783281909761
CrayKain;2016-11-08 00:36;1;1;"#FlipItDem Senate Pls RETWEET @KatieMcGintyPA @PatrickMurphyFL @DeborahRossNC @Maggie_Hassan NH @JasonKander MO @CatherineForNV #CNN #msnbc";;@KatieMcGintyPA @PatrickMurphyFL @DeborahRossNC @Maggie_Hassan @JasonKander @CatherineForNV;#FlipItDem #CNN #msnbc;"795771839427518468";https://twitter.com/CrayKain/status/795771839427518468
JonPaulRJohnson;2016-11-08 00:35;0;1;"To the down ballot democratic candidates in MO, particularly @Koster4Missouri & @JasonKander , @MayorSlay is on the front lines for you too";;@Koster4Missouri @JasonKander @MayorSlay;;"795771695076405249";https://twitter.com/JonPaulRJohnson/status/795771695076405249
JasonKander;2016-11-08 00:34;38;129;"Surprise visit to the field office win Martin Luther King III to thank volunteers and field organizers for their hard work. #mosen pic.twitter.com/XAMahJT8tO";;;#mosen;"795771408508981252";https://twitter.com/JasonKander/status/795771408508981252
casheyesblond;2016-11-08 00:24;2;2;"Our vets need @JasonKander elected #MOSen .He's a vet of the war in Afghanistan & has fought to give vets the tools & resources they need.";;@JasonKander;#MOSen;"795768805955956736";https://twitter.com/casheyesblond/status/795768805955956736
brucefranksjr;2016-11-08 00:23;4;14;"Of all the amazing people I have met, to meet MLKIII was an honor, and a really good conversation! Thanks @JasonKander for the support! https:// twitter.com/harrisc2/statu s/795764320013586432 …";;@JasonKander;;"795768699168886786";https://twitter.com/brucefranksjr/status/795768699168886786
standingup2;2016-11-08 00:19;0;0;"Another robo call from Senate Leadership Fund. @JasonKander must have them worried. Call begins w/HRC being investigated by FBI again.";;@JasonKander;;"795767702753251328";https://twitter.com/standingup2/status/795767702753251328
thomassanchez;2016-11-08 00:18;1;8;"If you're voting in MO, I ask you to vote for @JasonKander . He helped me get started with Social Driver. And, he'll make a great US Senator.";;@JasonKander;;"795767389988257792";https://twitter.com/thomassanchez/status/795767389988257792
jeybecques;2016-11-08 00:17;1;1;"Hey Missouri, vote wisely tomorrow. #ImWithHer @JasonKander @Koster4Missouri @s_webber https:// twitter.com/libralthinking /status/794227315731402753 …";;@JasonKander @Koster4Missouri @s_webber;#ImWithHer;"795767233368756225";https://twitter.com/jeybecques/status/795767233368756225
amyfreyfloch;2016-11-08 00:17;2;1;"#GoHillary #OH #Ohio @Ted_Strickland #OhSen #UT #MO @JasonKander #NC #FL #Florida #PA #NH #NV #NVSen #CO #AZ #WI #MI #VA #Undecideds #WY https:// twitter.com/nobarriers2016 /status/795755696730017792 …";;@Ted_Strickland @JasonKander;#GoHillary #OH #Ohio #OhSen #UT #MO #NC #FL #Florida #PA #NH #NV #NVSen #CO #AZ #WI #MI #VA #Undecideds #WY;"795767071497998336";https://twitter.com/amyfreyfloch/status/795767071497998336
HarrisC2;2016-11-08 00:06;1;9;"Martin L. King, III stopped by the @TeamKander office in STL! @JasonKander introducing one activist (MLK3) to another ( @brucefranksjr ). pic.twitter.com/srcNWTKFZt";;@TeamKander @JasonKander @brucefranksjr;;"795764320013586432";https://twitter.com/HarrisC2/status/795764320013586432
joashriner;2016-11-08 00:05;0;0;". @JasonKander poised 2 grab #MO Senate seat – People's World http:// ow.ly/fbZc100nVuD #KnowYourCandidates #ElectionsMatter";;@JasonKander;#MO #KnowYourCandidates #ElectionsMatter;"795764116086472706";https://twitter.com/joashriner/status/795764116086472706
Stacy_B_Irish;2016-11-08 00:03;0;3;"@EmersonPolling @JasonKander @RoyBluntMO #kander2016 ! Don't let the door hit ya Roy.";;@EmersonPolling @JasonKander @RoyBluntMO;#kander2016;"795763711067701248";https://twitter.com/Stacy_B_Irish/status/795763711067701248
dougulman;2016-11-08 00:03;0;1;"@sacca @JasonKander very powerful.";;@sacca @JasonKander;;"795763636291702784";https://twitter.com/dougulman/status/795763636291702784
taps;2016-11-07 23:55;0;0;"@sacca An incredible spot. @JasonKander , @aberakov and the whole team over there have been doing a terrific job. One day to go! #VOTE";;@sacca @JasonKander @aberakov;#VOTE;"795761653727956992";https://twitter.com/taps/status/795761653727956992
ozskier;2016-11-07 23:53;0;2;"The greatest political ad of all time? Tip of the hat to you, @JasonKander . https:// twitter.com/sacca/status/7 95759825812537347 …";;@JasonKander;;"795761241155174404";https://twitter.com/ozskier/status/795761241155174404
