username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
GOPAlert2017;2016-11-07 23:50;0;0;"@JerryMoran has been a strong U.S. Senator for Kansas. His conservative principles are what makes him a great leader. Re-elect him tomorrow!";;@JerryMoran;;"795760257435836416";https://twitter.com/GOPAlert2017/status/795760257435836416
AarSim;2016-11-07 23:21;0;1;"Also #Kansas , please get out and vote @wiesner4senate . We've gotta get @JerryMoran outta the Senate and guns outta the hands of terrorists.";;@wiesner4senate @JerryMoran;#Kansas;"795753190184615936";https://twitter.com/AarSim/status/795753190184615936
OpenQuotesTweet;2016-11-07 23:02;0;1;"We've become a country that is often risk averse. That's not the way to ... #JerryMoran #quotes https:// openquotes.github.io/authors/jerry- moran-quotes/#c86702f1 …";;;#JerryMoran #quotes #c86702f1;"795748188930117634";https://twitter.com/OpenQuotesTweet/status/795748188930117634
PaperJhon;2016-11-07 21:15;0;0;"This battle for global talent is so important.... #JerryMoran #quotes https:// openquotes.github.io/authors/jerry- moran-quotes/#045180f8 …";;;#JerryMoran #quotes #045180f8;"795721311364513792";https://twitter.com/PaperJhon/status/795721311364513792
haysuz;2016-11-07 20:45;0;0;"#shameful email from Humane Society @HSLF endorsing Sen @JerryMoran & @RepKevinYoder WTF Both are among lowest rated in animal welfare votes";;@HSLF @JerryMoran @RepKevinYoder;#shameful;"795713931327238144";https://twitter.com/haysuz/status/795713931327238144
NoThiefs;2016-11-07 14:03;0;0;"#Senate Sen. Moran statement on start of ACA open enrollment period http:// dlvr.it/McL33T JerryMoran NTA•NEWS";;;#Senate;"795612749510352896";https://twitter.com/NoThiefs/status/795612749510352896
NoThiefs;2016-11-07 14:03;0;0;"#Senate Sen. Moran releases statement on death of Kansas soldier http:// dlvr.it/McL2wH JerryMoran NTA•NEWS";;;#Senate;"795612743617417216";https://twitter.com/NoThiefs/status/795612743617417216
FashionJhon;2016-11-07 00:12;0;0;"We need to make sure the Department of Agriculture is promoting farmers ... #JerryMoran #quotes https:// openquotes.github.io/authors/jerry- moran-quotes/#3d6843ed …";;;#JerryMoran #quotes #3d6843ed;"795403455519137793";https://twitter.com/FashionJhon/status/795403455519137793
LtLeah;2016-11-05 18:35;0;1;"At the Air Force beats Army watch party O'Neils. Stop by for some good ol fun! @SenatorDole @JerryMoran pic.twitter.com/wJEvmdOdpW";;@SenatorDole @JerryMoran;;"794956400246059009";https://twitter.com/LtLeah/status/794956400246059009
rebmoti;2016-11-05 17:53;3;5;"Unfortunately on environmental issues all of my federal representatives are absolute zeroes @RepKevinYoder @JerryMoran @SenPatRoberts #ksleg https:// twitter.com/cleanh2oaction /status/794944926177984512 …";;@RepKevinYoder @JerryMoran @SenPatRoberts;#ksleg;"794945647740854280";https://twitter.com/rebmoti/status/794945647740854280
lgrobin62;2016-11-05 17:32;1;0;"4) This is who blocked EVERYTHING... @BurrForSenate @robportman @SenToomey @SenatorTimScott @RonJohnsonWI @SenMikeLee @SenShelby @JerryMoran";;@BurrForSenate @robportman @SenToomey @SenatorTimScott @RonJohnsonWI @SenMikeLee @SenShelby @JerryMoran;;"794940395952238592";https://twitter.com/lgrobin62/status/794940395952238592
DonutJake;2016-11-05 16:56;3;3;"@jerrymoran @RepKevinYoder please support full funding for title IV part A of the Every Student Succeeds Act! @Ravonics1710";;@jerrymoran @RepKevinYoder @Ravonics1710;;"794931478098493440";https://twitter.com/DonutJake/status/794931478098493440
AustinFFrank;2016-11-05 16:03;0;0;"Oct 2014 I participated in a Congressional Roundtable event for #CuresNow #HR6 . 2 months left to get it done! @JerryMoran PLEASE RETWEET";;@JerryMoran;#CuresNow #HR6;"794917959802224641";https://twitter.com/AustinFFrank/status/794917959802224641
MrQuoteLoverOne;2016-11-05 10:30;0;0;"My goal is not to create a circumstance in which no one fails, but one i... #JerryMoran #quotes https:// openquotes.github.io/authors/jerry- moran-quotes/#5eb1b517 …";;;#JerryMoran #quotes #5eb1b517;"794834191921905664";https://twitter.com/MrQuoteLoverOne/status/794834191921905664
ohaJayJay;2016-11-05 07:40;0;0;"@JerryMoran @SenCapito @SenSasse @SpeakerRyan Now USA,Wale soyenka of fail Nigeria should not tell you who to vote.BIAFRANs VOTE FOR TRUMP. pic.twitter.com/ojjv6ezocG";;@JerryMoran @SenCapito @SenSasse @SpeakerRyan;;"794791505290559488";https://twitter.com/ohaJayJay/status/794791505290559488
Leah_w13;2016-11-05 04:22;2;4;"@JerryMoran @RepKevinYoder Please support full funding for Title IV Part A of the Every Student Succeeds Act @Ravonics1710";;@JerryMoran @RepKevinYoder @Ravonics1710;;"794741716540686336";https://twitter.com/Leah_w13/status/794741716540686336
NoThiefs;2016-11-05 03:23;0;0;"#Senate Trump, Moran have comfortable leads in Kansas, new poll shows http:// dlvr.it/MbZYGk JerryMoran NTA•NEWS";;;#Senate;"794726822529351680";https://twitter.com/NoThiefs/status/794726822529351680
pdrenard;2016-11-04 21:05;0;0;"@BartonCC @JerryMoran had a private tour by the Pres. No meetings w/instructors or student. No reasons why he supports @govsambrownback cuts https:// twitter.com/BartonCC/statu s/794288371669442560 …";;@BartonCC @JerryMoran @govsambrownback;;"794631603859451904";https://twitter.com/pdrenard/status/794631603859451904
JerryMoran;2016-11-04 20:52;5;36;"Visited with juniors and seniors at Stockton High School today. Thanks to Superintendent Shelly Swayne for arranging my visit. pic.twitter.com/YfctJN9OJ5";;;;"794628390586347524";https://twitter.com/JerryMoran/status/794628390586347524
sorryimemiIee;2016-11-04 20:14;0;0;"Thanks for coming to visit us today! Really enjoyed you speaking. Love from Stockton, Kansas @JerryMoran";;@JerryMoran;;"794618733947973633";https://twitter.com/sorryimemiIee/status/794618733947973633
kulawschool;2016-11-04 17:15;0;0;"Senator @JerryMoran , L'81, pays a visit to the Great Bend Chamber of Commerce for coffee. #JayhawkNation http:// bit.ly/2eACndD";;@JerryMoran;#JayhawkNation;"794573718257336320";https://twitter.com/kulawschool/status/794573718257336320
ricthwaites;2016-11-04 02:20;0;0;"@RepKevinYoder @JerryMoran I voted. It felt so good to do what is right. #VoteBlue #voteblueupanddownballot #VoteBlueNoMatterWho pic.twitter.com/5arWsPBQhc";;@RepKevinYoder @JerryMoran;#VoteBlue #voteblueupanddownballot #VoteBlueNoMatterWho;"794348593654202368";https://twitter.com/ricthwaites/status/794348593654202368
NRSC;2016-11-03 23:41;13;30;"Working late tonight to keep the Senate Majority. Thanks @JerryMoran for getting us dinner! pic.twitter.com/jpO2keRfXI";;@JerryMoran;;"794308632171126784";https://twitter.com/NRSC/status/794308632171126784
bbbourb;2016-11-03 23:38;0;0;"Love how @JerryMoran and @lynnjenkins talk about coming home to KS to talk to Kansans. Never met either one, and they've been to my office.";;@JerryMoran @lynnjenkins;;"794307689891262464";https://twitter.com/bbbourb/status/794307689891262464
BartonCC;2016-11-03 22:21;2;2;"Thank you @JerryMoran for taking the time to visit @BartonCC today. pic.twitter.com/6vT9CGaVWX – bei Barton Community College";;@JerryMoran @BartonCC;;"794288371669442560";https://twitter.com/BartonCC/status/794288371669442560
FakeTreyJoy;2016-11-03 20:33;0;0;"My new house in #MHK is great! I'm like @JerryMoran because I go home every weekend!";;@JerryMoran;#MHK;"794261350138552320";https://twitter.com/FakeTreyJoy/status/794261350138552320
LyonsHSPrin;2016-11-03 19:44;1;4;"Sen Moran enjoying his visit to Mrs Folck's art room today @JerryMoran @vfolck #LyonsLions pic.twitter.com/a5w30b2ihO";;@JerryMoran @vfolck;#LyonsLions;"794248852714885120";https://twitter.com/LyonsHSPrin/status/794248852714885120
LyonsHSPrin;2016-11-03 19:29;2;4;"Sen Moran visiting w/ Mr. Vogel about the CTE classes he teaches at LHS @JerryMoran @zacksvogel #LyonsLions pic.twitter.com/9GkTJjByO0";;@JerryMoran @zacksvogel;#LyonsLions;"794245145151406080";https://twitter.com/LyonsHSPrin/status/794245145151406080
JulissaMontane7;2016-11-03 18:26;2;8;"Thanks for the selfie senator! @JerryMoran pic.twitter.com/lFSRkYGZac";;@JerryMoran;;"794229382340603904";https://twitter.com/JulissaMontane7/status/794229382340603904
tjsmith1025;2016-11-03 17:49;0;0;"It was an honor and a privilege to meet you and show you around my school Senator @jerrymoran … https://www. instagram.com/p/BMWvVk0g6bg/";;@jerrymoran;;"794220071241613312";https://twitter.com/tjsmith1025/status/794220071241613312
McPherson_StuCo;2016-11-03 17:35;7;15;"Our president and vice president got the chance to show Senator @JerryMoran around our school! @MHSBullpups #bullpupnation #kansanscan pic.twitter.com/GWEKd5Hn0A";;@JerryMoran @MHSBullpups;#bullpupnation #kansanscan;"794216336377294848";https://twitter.com/McPherson_StuCo/status/794216336377294848
hartzfeld_rick;2016-11-03 17:05;0;0;"@RepKevinYoder I know Paul Ryan has a great backing in the house, we want him out. @JerryMoran";;@RepKevinYoder @JerryMoran;;"794208990578122752";https://twitter.com/hartzfeld_rick/status/794208990578122752
wendikoe2;2016-11-03 16:49;1;4;"Talked to @JerryMoran today about the store. Thankful for the @MacHSDawgPound for giving us opportunities to meet such influential people!";;@JerryMoran @MacHSDawgPound;;"794204972304896000";https://twitter.com/wendikoe2/status/794204972304896000
markkcrawford;2016-11-03 16:45;3;4;"Famous visitor US Senator @JerryMoran at the @MHSBullpups @MacHSDawgPound pic.twitter.com/d0EC511E0p";;@JerryMoran @MHSBullpups @MacHSDawgPound;;"794203955060305920";https://twitter.com/markkcrawford/status/794203955060305920
Opinionated45;2016-11-03 16:25;0;0;"@JerryMoran If it is illegal to record votes in Ks. That should waived on Dec. 8. I will record how I vote and all Kansans should.";;@JerryMoran;;"794198763724152833";https://twitter.com/Opinionated45/status/794198763724152833
FashionJhon;2016-11-03 15:05;0;0;"And innovation and entrepreneurship is the opportunity and best opportun... #JerryMoran #quotes https:// openquotes.github.io/authors/jerry- moran-quotes/#e84f561f …";;;#JerryMoran #quotes #e84f561f;"794178651885633536";https://twitter.com/FashionJhon/status/794178651885633536
FarmFairyCrafts;2016-11-03 12:24;2;1;"Transparency FOOD is more than a Commodity Its our FUEL 4 LIFE Remove #GMO or Label IT Easy2C ON Package @SenPatRoberts KS @JerryMoran KS";;@SenPatRoberts @JerryMoran;#GMO;"794138083591647232";https://twitter.com/FarmFairyCrafts/status/794138083591647232
tbowle1b;2016-11-02 21:22;0;0;". @RepKevinYoder . @JerryMoran You may both win, but I voted against you. #Kansas";;@RepKevinYoder @JerryMoran;#Kansas;"793911129915416580";https://twitter.com/tbowle1b/status/793911129915416580
FarmPolicy;2016-11-02 18:46;0;0;"More in Congr care about nutritn. issues than abt farm policy/have to work together for good ag policies @JerryMoran http:// goo.gl/MUSpCT";;@JerryMoran;;"793871987571580932";https://twitter.com/FarmPolicy/status/793871987571580932
FarmPolicy;2016-11-02 18:40;0;1;"So few who care abt ag-better fig. out how to tie togethr w people who grw diff't crops/face same issues @JerryMoran http:// goo.gl/MUSpCT";;@JerryMoran;;"793870365927829506";https://twitter.com/FarmPolicy/status/793870365927829506
FarmPolicy;2016-11-02 18:34;0;0;"Calif. largest ag producer but the state having hard time getting the attention of its senators says @jerrymoran - http:// goo.gl/MUSpCT";;@jerrymoran;;"793868808570048512";https://twitter.com/FarmPolicy/status/793868808570048512
OKHare;2016-11-02 15:47;0;1;"I also voted because @JerryMoran voted yes on thinning forests and allowing endangered species to become extinct. https:// twitter.com/okhare/status/ 793823207648206848 …";;@JerryMoran;;"793826899260604416";https://twitter.com/OKHare/status/793826899260604416
OKHare;2016-11-02 15:40;0;2;"I voted because @JerryMoran has vowed to refuse to do his job by never filling the vacant Supreme Court seat. https:// twitter.com/okhare/status/ 793823207648206848 …";;@JerryMoran;;"793825164643360768";https://twitter.com/OKHare/status/793825164643360768
PaperJhon;2016-11-02 13:15;0;1;"This is a global fight to get the right people in the right place and we... #JerryMoran #quotes https:// openquotes.github.io/authors/jerry- moran-quotes/#fee8c811 …";;;#JerryMoran #quotes #fee8c811;"793788567600435200";https://twitter.com/PaperJhon/status/793788567600435200
LalitSuffescom;2016-11-02 10:39;0;1;"Vapor Technology Association is hard at work in the nation?s capital promoting r @JerryMoran @RepLynnJenkins @SenPatRoberts";;@JerryMoran @RepLynnJenkins @SenPatRoberts;;"793749388258664448";https://twitter.com/LalitSuffescom/status/793749388258664448
LalitSuffescom;2016-11-02 10:21;0;0;"USA @JerryMoran @RepLynnJenkins @SenPatRoberts";;@JerryMoran @RepLynnJenkins @SenPatRoberts;;"793744959182630912";https://twitter.com/LalitSuffescom/status/793744959182630912
dtracy198;2016-11-02 04:50;0;0;"Hello Senators, how is the Senate considering #NoDAP ? Where does our state align? @SenPatRoberts @JerryMoran";;@SenPatRoberts @JerryMoran;#NoDAP;"793661446219526144";https://twitter.com/dtracy198/status/793661446219526144
DylanLysen;2016-11-02 02:50;1;0;"In a surprise visit to a K-State class, @JerryMoran said Congress needs to work together to get best ag policies. http:// themercury.com/articles/moran -talks-ag-issues-in-k-state-class-visit …";;@JerryMoran;;"793631432102989824";https://twitter.com/DylanLysen/status/793631432102989824
HeAintReally;2016-11-02 00:20;1;0;"Hey @JerryMoran , your ACA press release is wrong. Despite your claim to the contrary, every county in KS has at least 2 insurers. #hashtag";;@JerryMoran;#hashtag;"793593478911447040";https://twitter.com/HeAintReally/status/793593478911447040
golf4mepp;2016-11-01 21:22;0;0;"#SecretService knew about #EmailScandal & did nothing @JerryMoran @RepKevinYoder VOTE REPUBLICAN #CleanHouse http://www. judicialwatch.org/press-room/pre ss-releases/pagliano-emails-detail-attempts-hack-clinton-unsecure-email-server-10-times-two-days-november-2010-u-s-secret-service-informed-hacking-attempts/ …";;@JerryMoran @RepKevinYoder;#SecretService #EmailScandal #CleanHouse;"793548731916234752";https://twitter.com/golf4mepp/status/793548731916234752
JerryMoran;2016-11-01 21:02;7;19;"Went back to school yesterday to surprise @KState ’s Dr. Barry Flinchbaugh & his ag policy class. http:// bit.ly/2eaXody @kstatecollegian pic.twitter.com/AbKHTn0FEU";;@KState @kstatecollegian;;"793543799800758272";https://twitter.com/JerryMoran/status/793543799800758272
JerryMoran;2016-11-01 20:33;1;2;"Kansans support their neighbors during tough times. Always special to read stories like this one. http:// bit.ly/2ekdzJc https:// twitter.com/beccytanner/st atus/792866042993188864 …";;;;"793536574915014656";https://twitter.com/JerryMoran/status/793536574915014656
JerryMoran;2016-11-01 20:00;1;5;"Proud that the Kansas tradition of excellence in air mobility missions for the @usairforce will continue at @22ARW with the #KC46A ! https:// twitter.com/AirMobilityCmd /status/793165730120359936 …";;@usairforce @22ARW;#KC46A;"793528280729153536";https://twitter.com/JerryMoran/status/793528280729153536
NoThiefs;2016-11-01 19:27;0;0;"#Senate Sen. Moran makes surprise visit to K-State agricultural policy class http:// dlvr.it/MZKxHN JerryMoran NTA•NEWS";;;#Senate;"793519868238782464";https://twitter.com/NoThiefs/status/793519868238782464
golf4mepp;2016-11-01 19:14;0;0;"VOTE OUT THE DEMS THAT VOTED 4 HILLARYCARE NO REPUBS VOTED 4 IT #Obamacare @RepKevinYoder @JerryMoran http://www. foxnews.com/opinion/2016/1 1/01/democrats-other-scandal-what-did-president-know-about-obamacare-and-when.html …";;@RepKevinYoder @JerryMoran;#Obamacare;"793516578214060032";https://twitter.com/golf4mepp/status/793516578214060032
ClearCongress;2016-11-01 19:00;0;0;"MT █ JERRYMORAN : #▓▒▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓ ▓▓▓▓▒▓▓▓▓▒▒ ▓▒▓▓▓▓▓ ▓▒N. MYERS ▓▓ @▓▒▒▒▓▒ ▓▓ ▓▓▓▓ ▒▓ ▓▓▓▓▒▓▓▓▓ ▓▓▓▓▓▓▓ ▓▓▒▓▓ ▓▓▓▓▓▓▒▓▒▓▒▒▓▓ ▓ ▓▓▒▓▓▓ ▓▓▒";;@;#;"793512946815164417";https://twitter.com/ClearCongress/status/793512946815164417
KaitlynAlanis;2016-11-01 14:12;5;6;"Sen. @JerryMoran makes surprise visit to @kstateag 's ag policy class by hiding in his purple #kstate windbreaker http://www. kstatecollegian.com/2016/11/01/sen -moran-makes-surprise-visit-to-k-state-agricultural-policy-class/ …";;@JerryMoran @kstateag;#kstate;"793440666881626112";https://twitter.com/KaitlynAlanis/status/793440666881626112
jamesfbarry45;2016-11-01 05:07;2;3;"@mdcolliM @MikeLoBurgio @govsambrownback @JerryMoran @SenPatRoberts @RepKevinYoder @RepMikePompeo JUST 7 MORE DAYS ....YEA pic.twitter.com/8BdmnF9IkQ";;@mdcolliM @MikeLoBurgio @govsambrownback @JerryMoran @SenPatRoberts @RepKevinYoder @RepMikePompeo;;"793303439895830532";https://twitter.com/jamesfbarry45/status/793303439895830532
boryanakis;2016-11-01 04:23;0;0;"@SoniaHall @JerryMoran I could get behind him if he had the integrity to stand up to the GOP's utterly unqualified demagogue of a candidate.";;@SoniaHall @JerryMoran;;"793292382590468096";https://twitter.com/boryanakis/status/793292382590468096
TheRealHonz;2016-11-01 04:14;0;0;". @govsambrownback @senpatroberts @jerrymoran #Kansas is still bleeding, thanks to your #teaparty #economics http:// fw.to/Ey2oVLa";;@govsambrownback @senpatroberts @jerrymoran;#Kansas #teaparty #economics;"793289984107085824";https://twitter.com/TheRealHonz/status/793289984107085824
occreek;2016-11-01 02:46;0;0;". @JerryMoran : What's more important: America's women or partisan politics? #DumpTrump . #TrumpTapes http:// ImWithSexist.com";;@JerryMoran;#DumpTrump #TrumpTapes;"793267830665863168";https://twitter.com/occreek/status/793267830665863168
iamBillhello;2016-11-01 00:12;0;0;"@JerryMoran @nbcwashington . I dodnt ask you to be put on a list or gove you permission to do so ... Make it right. I wont ask again.";;@JerryMoran @nbcwashington;;"793229247309492225";https://twitter.com/iamBillhello/status/793229247309492225
RussoRussel;2016-10-31 20:24;0;0;"I always assumed the Department of Agriculture was the farmer and ranche... #JerryMoran #quotes https:// openquotes.github.io/authors/jerry- moran-quotes/#b853541f …";;;#JerryMoran #quotes #b853541f;"793171713991307264";https://twitter.com/RussoRussel/status/793171713991307264
GtownNKfan;2016-10-31 17:04;0;0;"@JerryMoran loved the new tv ad. Thank you for what you do for Kansas!";;@JerryMoran;;"793121507765432320";https://twitter.com/GtownNKfan/status/793121507765432320
ahermes12;2016-10-31 15:27;0;2;"Got this in the mail. Vote for @JerryMoran @NRA #2NDAMENDMENT pic.twitter.com/Xrxm0t0Frb";;@JerryMoran @NRA;#2NDAMENDMENT;"793096987772018688";https://twitter.com/ahermes12/status/793096987772018688
iamBillhello;2016-10-31 14:51;0;0;"@JerryMoran . When if ever will we have people in office whom are loyal to and truly care about Kansans?";;@JerryMoran;;"793087888556601344";https://twitter.com/iamBillhello/status/793087888556601344
QuillerJhon;2016-10-31 14:00;0;0;"This battle for global talent is so important.... #JerryMoran #quotes https:// openquotes.github.io/authors/jerry- moran-quotes/#045180f8 …";;;#JerryMoran #quotes #045180f8;"793075132403253248";https://twitter.com/QuillerJhon/status/793075132403253248
