username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kychilehead;2016-11-08 00:44;0;2;"I hate the thought of losing @JimGrayLexKY as our Mayor but the entire state of Kentucky needs him. I'm Gray For Kentucky.";;@JimGrayLexKY;;"795774017361866754";https://twitter.com/kychilehead/status/795774017361866754
sunshadow7;2016-11-08 00:42;0;1;"@AffraidE @Zipperedlips @NRA @RandPaul @JimGrayLexKY Human decency includes disarming victims for a rapists convenience now?";;@AffraidE @Zipperedlips @NRA @RandPaul @JimGrayLexKY;;"795773457476653056";https://twitter.com/sunshadow7/status/795773457476653056
crislest39;2016-11-07 23:48;0;0;"I would like to know the mayor's(senator's)stance on racial divide, violence and community policing methods. @JimGrayLexKY #demsforthewin";;@JimGrayLexKY;#demsforthewin;"795759930905137153";https://twitter.com/crislest39/status/795759930905137153
crislest39;2016-11-07 23:47;0;0;"Portofino: IF assault occurred, why hasn't he been charged? Allegedly assaulted juveniles, is that not an additional charge? @JimGrayLexKY";;@JimGrayLexKY;;"795759659651104768";https://twitter.com/crislest39/status/795759659651104768
smidge001;2016-11-07 23:09;0;0;"@WDRBNews @JimGrayLexKY @RandPaul @LASmithReports @smidge001 Jim Gray Jim Gray Jim Gray Jim Gray Jim Gray Jim Gray Jim Gray Jim Gray Jim Gra";;@WDRBNews @JimGrayLexKY @RandPaul @LASmithReports @smidge001;;"795749922427518980";https://twitter.com/smidge001/status/795749922427518980
WDRBNews;2016-11-07 23:00;0;1;". @JimGrayLexKY and @RandPaul barnstormed Kentucky on the eve of Election Day: http:// wdrb.news/2fMzgo3 | @LASmithReports pic.twitter.com/s3NpyVxOHo";;@JimGrayLexKY @RandPaul @LASmithReports;;"795747659734609920";https://twitter.com/WDRBNews/status/795747659734609920
JacquelineWBKO;2016-11-07 22:50;1;1;"South Central Kentuckians gather in Glasgow for a campaign rally for @JimGrayLexKY pic.twitter.com/4UjAzdpwh4";;@JimGrayLexKY;;"795745327668195328";https://twitter.com/JacquelineWBKO/status/795745327668195328
MalloryPanuska;2016-11-07 19:51;0;0;"@JimGrayLexKY says Sen. Paul has "wild ass ideas" that won't work to bring jobs, help economy #PaducahSun #Election2016 #electiondayeve";;@JimGrayLexKY;#PaducahSun #Election2016 #electiondayeve;"795700268453265409";https://twitter.com/MalloryPanuska/status/795700268453265409
MalloryPanuska;2016-11-07 19:48;5;7;""If you want change in Washington, you're going to have to change the ppl you send there" - @JimGrayLexKY #PaducahSun #electiondayeve";;@JimGrayLexKY;#PaducahSun #electiondayeve;"795699452669526017";https://twitter.com/MalloryPanuska/status/795699452669526017
MalloryPanuska;2016-11-07 19:45;0;2;"Former Gov. Beshear helping @JimGrayLexKY campaign, says Ky needs a sen. who will bring ppl 2gether #PaducahSun pic.twitter.com/unPYxRtD4u";;@JimGrayLexKY;#PaducahSun;"795698725276581889";https://twitter.com/MalloryPanuska/status/795698725276581889
