username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Curious111188;2016-11-08 00:57;0;3;"I will choose brash statements, big ego & personalities flaws over a corrupted crook any day of the week & especially tomorrow. @KathyforMD";;@KathyforMD;;"795777207146840064";https://twitter.com/Curious111188/status/795777207146840064
AvajoyeWJZ;2016-11-08 00:52;3;4;"@KathyforMD rallying supporters in #Baltimore today. The candidate also had an event late this evening in Pasadena. @cbsbaltimore https:// twitter.com/kathyformd/sta tus/795626949288792065 …";;@KathyforMD @cbsbaltimore;#Baltimore;"795775967335591936";https://twitter.com/AvajoyeWJZ/status/795775967335591936
GOPAlert2017;2016-11-07 23:58;1;1;"Proud to support @KathyforMD in her bid to become Maryland's next U.S. Senator. Get out and vote for her tomorrow!";;@KathyforMD;;"795762365031731200";https://twitter.com/GOPAlert2017/status/795762365031731200
Kipke;2016-11-07 23:45;1;3;"Fun time sign waving in Annapolis! Here I am with @KathyforMD 'S mom! pic.twitter.com/fQJIfveMob";;@KathyforMD;;"795759124256530436";https://twitter.com/Kipke/status/795759124256530436
CKefalas;2016-11-07 22:48;1;5;"Marylanders-& my neighbors-have a choice: real change or more of the same. Vote @KathyforMD , @AmieforCongress , @DocPlaster & @McD4District1.";;@KathyforMD @AmieforCongress @DocPlaster @McD4District1;;"795744638355251201";https://twitter.com/CKefalas/status/795744638355251201
littlecarrotq;2016-11-07 22:40;1;1;"@KathyforMD :if There is "fixing" everywhere,what other intervention did HRC have in the #mdsen race other than padding "his" PAC w/TARP? https:// twitter.com/johnnytribs/st atus/795737265901342720 …";;@KathyforMD;#mdsen;"795742735579938820";https://twitter.com/littlecarrotq/status/795742735579938820
sam_hahn20;2016-11-07 21:22;0;0;"@KathyforMD although i am not old enough to vote, i told everyone to vote for u because i know that u will be fighting for us in the Senate.";;@KathyforMD;;"795723069260267520";https://twitter.com/sam_hahn20/status/795723069260267520
JeffQuinton;2016-11-07 20:46;0;0;"Already voted for @KathyforMD and @RepAndyHarrisMD - didn't vote for Trump or Clinton #VoteProLife";;@KathyforMD @RepAndyHarrisMD;#VoteProLife;"795714010465366016";https://twitter.com/JeffQuinton/status/795714010465366016
touges2k1;2016-11-07 20:45;0;0;"@KathyforMD You're very welcome!";;@KathyforMD;;"795713689781497856";https://twitter.com/touges2k1/status/795713689781497856
KathyforMD;2016-11-07 20:29;1;8;"Thank you so much for your support! https:// twitter.com/touges2k1/stat us/795709479438393344 …";;;;"795709674423255040";https://twitter.com/KathyforMD/status/795709674423255040
touges2k1;2016-11-07 20:28;1;1;"@KathyforMD Thanks for the follow, Kathy!!! My family and I are behind you. #Veteran #Family #2A";;@KathyforMD;#Veteran #Family #2A;"795709479438393344";https://twitter.com/touges2k1/status/795709479438393344
jddesilva1961;2016-11-07 20:25;4;5;"@KathyforMD @telepastor I voted early for you already. #MDSen";;@KathyforMD @telepastor;#MDSen;"795708713881497601";https://twitter.com/jddesilva1961/status/795708713881497601
ConcrndFthrPrep;2016-11-07 20:22;1;0;"@derekahunter #mdsen What's @kathyformd think of @HillaryClinton 's pedophile-surrogate @LenaDunham calling for #ExtinctionOfMen ? #MDGA17";;@derekahunter @kathyformd @HillaryClinton @LenaDunham;#mdsen #ExtinctionOfMen #MDGA17;"795707897439195136";https://twitter.com/ConcrndFthrPrep/status/795707897439195136
KathyforMD;2016-11-07 20:12;5;6;"Thank you! #MDSen https:// twitter.com/telepastor/sta tus/795659610673778689 …";;;#MDSen;"795705411835981824";https://twitter.com/KathyforMD/status/795705411835981824
KathyforMD;2016-11-07 20:11;5;8;"Thanks so much for your vote! #MDSen https:// twitter.com/ohheykim/statu s/795665885495250944 …";;;#MDSen;"795705305581625344";https://twitter.com/KathyforMD/status/795705305581625344
Rickmongello;2016-11-07 19:59;4;5;"@KathyforMD Good luck tomorrow Kathy. You have four votes coming your way from the Mongello family.";;@KathyforMD;;"795702248135360512";https://twitter.com/Rickmongello/status/795702248135360512
touges2k1;2016-11-07 19:58;0;1;"@CaptainBerz @KathyforMD Right! MD needs all the freedom it can get! We got Hogan in, but he faces a brick wall of Dems at the state level.";;@CaptainBerz @KathyforMD;;"795701900415012864";https://twitter.com/touges2k1/status/795701900415012864
