username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NoThiefs;2016-11-08 00:41;0;0;"#Senate Missouri Senate Preview: Blunt Hangs On For Dear Life http:// dlvr.it/McWgFT RoyBlunt NTA•NEWS";;;#Senate;"795773149384212480";https://twitter.com/NoThiefs/status/795773149384212480
NoThiefs;2016-11-08 00:41;0;0;"#Senate Blunt, Schmitt, and Parson tour growing businesses in final hours of campaign http:// dlvr.it/McWgCk RoyBlunt NTA•NEWS";;;#Senate;"795773144091000832";https://twitter.com/NoThiefs/status/795773144091000832
jayceorphan;2016-11-08 00:19;0;0;"Bill abc will do tons of good for everyone. @RoyBlunt : "I don't care. I will never vote for it!" #TimeForChange Elect @JasonKander";;@RoyBlunt @JasonKander;#TimeForChange;"795767767651811332";https://twitter.com/jayceorphan/status/795767767651811332
jayceorphan;2016-11-08 00:18;0;0;"Bill xyz is harmful to family, friends, and country. @RoyBlunt : "I don't care. I'm voting for it anyway!" #TimeForChange Elect @JasonKander";;@RoyBlunt @JasonKander;#TimeForChange;"795767428408078336";https://twitter.com/jayceorphan/status/795767428408078336
thosutt;2016-11-08 00:13;1;1;"#Missouri @realMOforTrump @realMOforTrump @RoyBlunt @EricGreitens Show_Me-State @StCharlesMOGop @SaintLouCo @mogop pic.twitter.com/YyCqkt9nLX";;@realMOforTrump @realMOforTrump @RoyBlunt @EricGreitens @StCharlesMOGop @SaintLouCo @mogop;#Missouri;"795766116303994885";https://twitter.com/thosutt/status/795766116303994885
OneSillyFag;2016-11-08 00:08;0;0;"Remember Missouri @RoyBlunt @RoyBluntMO and @EricGreitens believe you should suffer without healthcare. #DieQuickly";;@RoyBlunt @RoyBluntMO @EricGreitens;#DieQuickly;"795764788324368389";https://twitter.com/OneSillyFag/status/795764788324368389
nocherry1;2016-11-07 23:42;0;0;"@RoyBlunt is the most corrupt senator we have. Send him to Dancing With The Stars. Vote @JasonKander #mo #mosen";;@RoyBlunt @JasonKander;#mo #mosen;"795758437581799424";https://twitter.com/nocherry1/status/795758437581799424
alidreith;2016-11-07 23:36;3;3;". @EricGreitens and @RoyBlunt both supported by a sexual predator. Good to know. #mogov #mosen https:// twitter.com/realdonaldtrum p/status/795753162623815680 …";;@EricGreitens @RoyBlunt;#mogov #mosen;"795756936155320320";https://twitter.com/alidreith/status/795756936155320320
MylesBugbee;2016-11-07 23:31;0;0;"Hey #missouri , did you know that @royblunt lives in a $1.6M DC mansion? Jason Kander served our country; Blunt serves himself #mosen";;@royblunt;#missouri #mosen;"795755701129932802";https://twitter.com/MylesBugbee/status/795755701129932802
ubekulgirl;2016-11-07 22:51;0;0;"@41ActionNews @BrianAbelTV @RoyBlunt ugh! Let's hope Blunt isn't either. He iis bad for Missouri.";;@41ActionNews @BrianAbelTV @RoyBlunt;;"795745463563681793";https://twitter.com/ubekulgirl/status/795745463563681793
