username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;;
MATTJAKE784;2016-11-08 00:44;0;0;@SenGillibrand @SenSchumer why did dems give up on East-Suffolk & I'm stuck with Lee Zeldin? Dems had this area for over 10yrs with Bishop;;@SenGillibrand @SenSchumer;;7.95774E+17;https://twitter.com/MATTJAKE784/status/795773916111400960;;
keregan;2016-11-08 00:38;0;0;@SenSchumer was planning on voting for you anyway but the Hamilton reference just clinched it. thanks Senator.;;@SenSchumer;;7.95773E+17;https://twitter.com/keregan/status/795772515406802945;;
InjuredBryd;2016-11-08 00:38;0;0;@cardinaldolan @chuckgrassley @dangarodnick @lizkrueger @sengillibrand @senschumer WOW is that a asap ER call in markas MD PAAS OFFICE?;;@cardinaldolan @chuckgrassley @dangarodnick @lizkrueger @sengillibrand @senschumer;;7.95772E+17;https://twitter.com/InjuredBryd/status/795772435647922176;;
zach_baylor;2016-11-08 00:36;0;0;@SenSchumer If you become Senate majority leader,please remember a word not in use in D.C. presently:respect.;;@SenSchumer;;7.95772E+17;https://twitter.com/zach_baylor/status/795771989671571456;;
SenSchumer;2016-11-08 00:31;11;38;. @HamiltonMusical fans can “go upstate” & visit Philip Schuyler’s house, now part of @SaratogaNHP . https://www. nps.gov/sara/index.htm #NYtownoftheday;;@HamiltonMusical @SaratogaNHP;#NYtownoftheday;7.95771E+17;https://twitter.com/SenSchumer/status/795770649147043841;;
SenSchumer;2016-11-08 00:28;5;28;Climb the Saratoga Battlefield Monument's stairs (in Victory in Saratoga) & mark the Revolutionary War's turning point. #NYtownoftheday;;;#NYtownoftheday;7.9577E+17;https://twitter.com/SenSchumer/status/795769981673869312;;
LenaBishop14;2016-11-08 00:05;2;1;I'm at #BroomeDemHQ supporting: @HillaryClinton @SenSchumer @jasongarnar @KimForCongress @donnalupardo @justinmacgregor ! #HeatherStaley pic.twitter.com/LEnBVSZCZb;;@HillaryClinton @SenSchumer @jasongarnar @KimForCongress @donnalupardo @justinmacgregor;#BroomeDemHQ #HeatherStaley;7.95764E+17;https://twitter.com/LenaBishop14/status/795764182209753090;;
CompleteItCuomo;2016-11-08 00:02;6;1;Got the Election Blues? Wait, we have bigger problems. Maybe, just maybe, @SenSchumer , @NYGovCuomo & @SenGillibrand might start caring soon? pic.twitter.com/W1a0Njn85F;;@SenSchumer @NYGovCuomo @SenGillibrand;;7.95763E+17;https://twitter.com/CompleteItCuomo/status/795763377796685824;;
DebtCrisisOrg;2016-11-08 00:01;1;3;New York has 2,821,000 people with student loan debt. @SenSchumer + @SenGillibrand share your plan to help people burdened by student debt:;;@SenSchumer @SenGillibrand;;7.95763E+17;https://twitter.com/DebtCrisisOrg/status/795763130471239680;;
NewFreedomFight;2016-11-07 23:28;0;0;. @SenSchumer @just_shelter @SenateDems You pretend to be concerned over homelessness at same time you're flooding U.S. with Syrian Muslims?;;@SenSchumer @just_shelter @SenateDems;;7.95755E+17;https://twitter.com/NewFreedomFight/status/795754725035495424;;
SenSchumer;2016-11-07 23:25;41;82;. @just_shelter 's Evicted was a must–read for many @SenateDems . Important look at the #ForgottenFace of homelessness. https:// twitter.com/kevinlindamood /status/795367517896265729 …;;@just_shelter @SenateDems;#ForgottenFace;7.95754E+17;https://twitter.com/SenSchumer/status/795754046648946688;;
PosterityTitan;2016-11-07 23:19;0;0;We must defeat marxist @SenSchumer a dual citizen to a militarized theocracy in the middle east. https:// twitter.com/LanaLokteff/st atus/795742645905715200 …;;@SenSchumer;;7.95752E+17;https://twitter.com/PosterityTitan/status/795752496182525952;;
mr_vof;2016-11-07 23:09;0;0;@Lawrence @SenSchumer A leader ONLY if he gets Obama's scotus candidate confirmed in lame duck Anything else is phony pompJoin w/Reid do it!;;@Lawrence @SenSchumer;;7.9575E+17;https://twitter.com/mr_vof/status/795750027599745024;;
SenSchumer;2016-11-07 22:53;13;39;Amazing program by @forty3north linking @Buffalo_Schools students with new and exciting #startups #Buffalo https://www. youtube.com/watch?v=RwujUh Nhg4w …;;@forty3north @Buffalo_Schools;#startups #Buffalo;7.95746E+17;https://twitter.com/SenSchumer/status/795746056122368000;;
AnthonyBialy;2016-11-07 22:22;1;1;Nothing's changed: @SenSchumer remains an unctuous, shameless nanny. Good to have an occasional reminder. https:// twitter.com/RedState/statu s/795687987753390082 …;;@SenSchumer;;7.95738E+17;https://twitter.com/AnthonyBialy/status/795738342147112960;;
WillConard;2016-11-07 22:22;1;0;@RepPeteKing @SenGillibrand @SenSchumer #bFair2DirectCare #fairwagenow #developmentaldisabilities @autismspeaks @NYSOPWDD pic.twitter.com/BU0W7GA0vm;;@RepPeteKing @SenGillibrand @SenSchumer @autismspeaks @NYSOPWDD;#bFair2DirectCare #fairwagenow #developmentaldisabilities;7.95738E+17;https://twitter.com/WillConard/status/795738277848449028;;
chinatradetf;2016-11-07 21:22;0;0;We need leaders that fight for #AmericanWorkers . @SenSchumer called on USTR @MikeFroman to file WTO case against China's aluminum subsidies.;;@SenSchumer @MikeFroman;#AmericanWorkers;7.95723E+17;https://twitter.com/chinatradetf/status/795723017238286338;;
juliepsamuels;2016-11-07 21:18;1;1;I will happily add my vote to the lopsided nature of this race. Lucky that I get to call @SenSchumer my senator! https:// twitter.com/politicony/sta tus/795718733654323205 …;;@SenSchumer;;7.95722E+17;https://twitter.com/juliepsamuels/status/795722184933212165;;
HousingAdvGroup;2016-11-07 21:08;0;0;. @SenSchumer sees path to Senate tax deal with . @HillaryClinton in White House http:// bloom.bg/2fwREvZ via @bpolitics;;@SenSchumer @HillaryClinton @bpolitics;;7.9572E+17;https://twitter.com/HousingAdvGroup/status/795719643298222080;;
politicony;2016-11-07 21:05;1;1;ICYMI: Can @senschumer set a record for the biggest landslide in New York State history? http:// politi.co/2ewt51n #ElectionDay pic.twitter.com/jDiP1CigeJ;;@senschumer;#ElectionDay;7.95719E+17;https://twitter.com/politicony/status/795718733654323205;;
InjuredBryd;2016-11-07 20:59;0;0;@cardinaldolan @chuckgrassley @dangarodnick @lizkrueger @sengillibrand @senschumer . Marsha has cup of toxin on me. Yoko walked out of dorm;;@cardinaldolan @chuckgrassley @dangarodnick @lizkrueger @sengillibrand @senschumer;;7.95717E+17;https://twitter.com/InjuredBryd/status/795717377912635393;;
KShoieb;2016-11-07 20:53;7;3;Singularly effective work by @AdamGreen & @BoldProgressive to forge Dem consensus on debt-free college. Today, @SenSchumer declares support: pic.twitter.com/V074nd7o9o;;@AdamGreen @BoldProgressive @SenSchumer;;7.95716E+17;https://twitter.com/KShoieb/status/795715714959155201;;
agreenewyork;2016-11-07 20:19;3;3;. @SenSchumer @SenGillibrand @NYGovCuomo Help us! Stop the #NYNukePipe #StopSpectra https:// twitter.com/CompleteItCuom o/status/795687802490982400 …;;@SenSchumer @SenGillibrand @NYGovCuomo;#NYNukePipe #StopSpectra;7.95707E+17;https://twitter.com/agreenewyork/status/795707348849397764;;
matunos;2016-11-07 19:59;0;1;@WGrules88drools @SenSchumer @KT_thomps @FoxReports but they have a bad presidential outlook for the foreseeable future so i'm less concerned with nuking the filibuster for judicial appts;;@WGrules88drools @SenSchumer @KT_thomps @FoxReports;;7.95702E+17;https://twitter.com/matunos/status/795702326849740800;;
matunos;2016-11-07 19:59;0;2;@WGrules88drools @SenSchumer @KT_thomps @FoxReports they have a good senate landscape in 2018, i'm not sure blocking hurts them much politically;;@WGrules88drools @SenSchumer @KT_thomps @FoxReports;;7.95702E+17;https://twitter.com/matunos/status/795702147111264256;;
DropThe_Mic;2016-11-07 19:57;2;3;@WDFx2EU8 @NYCMayorsOffice @BilldeBlasio @NYGovCuomo @SenSchumer @SenGillibrand NEEDS 2B ADDRESSED IN MSM 6PM NEWS. OR MY STATE IS RIGGED;;@WDFx2EU8 @NYCMayorsOffice @BilldeBlasio @NYGovCuomo @SenSchumer @SenGillibrand;;7.95702E+17;https://twitter.com/DropThe_Mic/status/795701794844372992;;
POPVOX;2016-11-07 19:41;0;0;. @SenSchumer 's working on a Senate tax plan and it hinges on bipartisanship. #Congress #taxreform http://www. bloomberg.com/politics/artic les/2016-11-07/schumer-sees-path-to-senate-tax-deal-with-clinton-in-white-house …;;@SenSchumer;#Congress #taxreform;7.95698E+17;https://twitter.com/POPVOX/status/795697773551161345;;
Novogradac;2016-11-07 19:13;1;2;". @SenSchumer & @SpeakerRyan were negotiating overhaul of corporate tax rates at a pretty granular level"" before... http:// bloom.bg/2fxD6MC""";;@SenSchumer @SpeakerRyan;;7.95691E+17;https://twitter.com/Novogradac/status/795690533402329093;;
CompleteItCuomo;2016-11-07 19:02;6;3;The election sure is a time suck, eh? Meanwhile, #Spectra is about to flip the switch on the #NYNukePipe . Why isn't @SenSchumer doing more? pic.twitter.com/7lauA51W38;;@SenSchumer;#Spectra #NYNukePipe;7.95688E+17;https://twitter.com/CompleteItCuomo/status/795687802490982400;;
