username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Sturgill4Idaho;2016-11-08 00:27;0;0;"Must be a sign! https://www. facebook.com/Sturgill4Idaho /videos/184496021956491/ …";;;;"795769561752563713";https://twitter.com/Sturgill4Idaho/status/795769561752563713
Sturgill4Idaho;2016-11-07 23:35;0;2;"One Jerry is better than Two Crapos https:// youtu.be/miU_hT-fKWI via @YouTube";;@YouTube;;"795756517534203904";https://twitter.com/Sturgill4Idaho/status/795756517534203904
Sturgill4Idaho;2016-11-07 19:35;0;3;"The party of my youth has changed for the worse. We need leadership on both sides now more than ever. pic.twitter.com/B8TBIWEqge";;;;"795696272803958784";https://twitter.com/Sturgill4Idaho/status/795696272803958784
conniewhitehome;2016-11-07 18:50;0;0;"#GOTV For real change in Washington @Ted_Strickland @DixonForSenate @Maggie_Hassan @TammyForIL @DeborahRoss @Sturgill4Idaho @SenEvanBayh";;@Ted_Strickland @DixonForSenate @Maggie_Hassan @TammyForIL @DeborahRoss @Sturgill4Idaho @SenEvanBayh;#GOTV;"795684803307773952";https://twitter.com/conniewhitehome/status/795684803307773952
conniewhitehome;2016-11-07 15:29;0;0;"Bring governing 2 Wash @russfeingold @MistyKSnow @Maggie_Hassan @CatherineForNV @Ann_Kirkpatrick @pattyforia @Sturgill4Idaho @SenEvanBayh";;@russfeingold @MistyKSnow @Maggie_Hassan @CatherineForNV @Ann_Kirkpatrick @pattyforia @Sturgill4Idaho @SenEvanBayh;;"795634240033607682";https://twitter.com/conniewhitehome/status/795634240033607682
conniewhitehome;2016-11-07 14:54;1;1;"#DontBooVote @Maggie_Hassan @DeborahRoss @russfeingold @PatrickMurphyFL @KatieMcGintyPA @TammyforIL @pattyforia @Sturgill4Idaho @MistyKSnow https:// twitter.com/62ndsurvey/sta tus/795543489375150081 …";;@Maggie_Hassan @DeborahRoss @russfeingold @PatrickMurphyFL @KatieMcGintyPA @TammyforIL @pattyforia @Sturgill4Idaho @MistyKSnow;#DontBooVote;"795625464601706502";https://twitter.com/conniewhitehome/status/795625464601706502
DerekKXLY;2016-11-07 13:17;3;2;"Candidate interviews for: @cathymcmorris @JoePakootas @MikeCrapo @Sturgill4Idaho & @Chrisvance123 here: http://www. kxly.com/news/politics #kxly";;@cathymcmorris @JoePakootas @MikeCrapo @Sturgill4Idaho @Chrisvance123;#kxly;"795600993878757376";https://twitter.com/DerekKXLY/status/795600993878757376
lebing;2016-11-07 09:53;0;0;"@goldyeller @aaronpaul_8 @Sturgill4Idaho One Jerry is better than two Crapos. https://www. youtube.com/watch?v=miU_hT -fKWI&feature=em-u …";;@goldyeller @aaronpaul_8 @Sturgill4Idaho;;"795549789781753856";https://twitter.com/lebing/status/795549789781753856
DocJohnCK;2016-11-06 04:22;0;0;"@Sturgill4Idaho I agree with that. Fewer lawyers in government would be good. Thanks for encouraging wider involvement. I know it's not easy";;@Sturgill4Idaho;;"795103972096774144";https://twitter.com/DocJohnCK/status/795103972096774144
DocJohnCK;2016-11-06 04:09;0;0;"@Sturgill4Idaho why do we need business people? I personally think we need more scientists and engineers in government.";;@Sturgill4Idaho;;"795100786480947200";https://twitter.com/DocJohnCK/status/795100786480947200
