username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
scottamatter;2016-11-08 00:46;0;1;"Winner, winner chicken dinner if you guessed SIX supporters would show up for @pattyforiowa rally in Sioux City. #IASen https:// twitter.com/pattyforiowa/s tatus/795699477839577088 …";;@pattyforiowa;#IASen;"795774517738094593";https://twitter.com/scottamatter/status/795774517738094593
Bryce4iowa;2016-11-08 00:44;0;0;"Join myself, former Governor Tom Vilsack, @jimmowrer and @pattyforiowa at the Waukee Democrats office at 8am Election Day! #StrongerTogether";;@jimmowrer @pattyforiowa;#StrongerTogether;"795773904715468800";https://twitter.com/Bryce4iowa/status/795773904715468800
NETRetired;2016-11-08 00:23;0;0;"Send off of love 4 @POTUS w/b 2 vote: @HillaryClinton @KamalaHarris @TammyforIL @KatieMcGintyPA @pattyforiowa etc pic.twitter.com/Pq9WmCLeM0";;@POTUS @HillaryClinton @KamalaHarris @TammyforIL @KatieMcGintyPA @pattyforiowa;;"795768779481481216";https://twitter.com/NETRetired/status/795768779481481216
UniteWomenIA;2016-11-07 23:05;4;1;"#KnowYourCandidates – Iowa U.S. Senate candidates @pattyforiowa vs @ChuckGrassley http:// ow.ly/pIeB305SW8K #ElectionsMatter pic.twitter.com/fL05b78xFr";;@pattyforiowa @ChuckGrassley;#KnowYourCandidates #ElectionsMatter;"795748985969446912";https://twitter.com/UniteWomenIA/status/795748985969446912
conniewhitehome;2016-11-07 22:56;1;1;"#GOTV For change in Washington #FlipItDem @TammyForIL @KatieMcGintyPA @DeborahRossNC @JadonKander @IlhanOmar @pattyforiowa @russfeingold";;@TammyForIL @KatieMcGintyPA @DeborahRossNC @JadonKander @IlhanOmar @pattyforiowa @russfeingold;#GOTV #FlipItDem;"795746724291706881";https://twitter.com/conniewhitehome/status/795746724291706881
beerscouts;2016-11-07 22:39;0;0;"Chuck Grassley & Trump think Rapists have Rights! Vote @pattyforiowa #Iowa #ElectionFinalThoughts @FlipItDem #BlueWave2016 #ImWithHer pic.twitter.com/WsIT5qily9";;@pattyforiowa @FlipItDem;#Iowa #ElectionFinalThoughts #BlueWave2016 #ImWithHer;"795742617778712576";https://twitter.com/beerscouts/status/795742617778712576
scottamatter;2016-11-07 21:40;0;1;"When the @pattyforiowa staff try to crash a GOP GOTV rally in Waterloo the day before the election. #iasen #NOTtheIOWAway pic.twitter.com/LpCb8VtF7u";;@pattyforiowa;#iasen #NOTtheIOWAway;"795727623221559296";https://twitter.com/scottamatter/status/795727623221559296
Vcondley2;2016-11-07 21:31;1;3;"I really, really, want @pattyforiowa to win and send Grassley to retirement !!!! https:// twitter.com/Ragcha/status/ 795666884578291713 …";;@pattyforiowa;;"795725271206805504";https://twitter.com/Vcondley2/status/795725271206805504
igob4u2;2016-11-07 20:41;21;18;"IOWA PATTY JUDGE 4 SENATE A MUST WIN @pattyforiowa @FlipItDem FLIP SENATE BLUE Madame POTUS Dem Majority CRUSH Chuck GRASSLEY pic.twitter.com/A4cXEqCjnX";;@pattyforiowa @FlipItDem;;"795712861108584449";https://twitter.com/igob4u2/status/795712861108584449
UNIADA;2016-11-07 19:51;0;0;"Retweeted Patty Judge ( @pattyforiowa ): I got in this race because we cannot be silent. Thanks to the Iowa City... http:// fb.me/LMFzuhkZ";;@pattyforiowa;;"795700333964095488";https://twitter.com/UNIADA/status/795700333964095488
