username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LTrotsky21;2016-11-08 00:40;0;0;"@FarmFairyCrafts @nytimes @ChrisVanHollen Corpo: Food safety regulation cuts into my profit. USA: We need food safety. TPP: You lose USA.";;@FarmFairyCrafts @nytimes @ChrisVanHollen;;"795772964977463297";https://twitter.com/LTrotsky21/status/795772964977463297
NadiaSinghNews;2016-11-08 00:27;2;0;"Key #Democrats urge voters to have their voices heard. GOP candidate #kathyszeliga & @ChrisVanHollen talk to @ABC2NEWS at 11 pic.twitter.com/fmK4pw4Hp7";;@ChrisVanHollen @ABC2NEWS;#Democrats #kathyszeliga;"795769706099707906";https://twitter.com/NadiaSinghNews/status/795769706099707906
theQO_Project;2016-11-07 23:50;1;0;"“It requires organization, mobilization, momentum…” @ChrisVanHollen talks grassroots political change. #doersdo https:// youtu.be/wfACenaO5OQ";;@ChrisVanHollen;#doersdo;"795760456300314625";https://twitter.com/theQO_Project/status/795760456300314625
meeNyou92;2016-11-07 22:59;5;12;". @Maryland_First Spending the day #GOTV for @ChrisVanHollen , @WhipHoyer , and @HillaryClinton ! pic.twitter.com/4aHMRcG8fO";;@Maryland_First @ChrisVanHollen @WhipHoyer @HillaryClinton;#GOTV;"795747603526930434";https://twitter.com/meeNyou92/status/795747603526930434
opedwriter;2016-11-07 21:46;0;0;"@ChrisVanHollen TY for your advocacy for #mmj patients! U have a A+ rating from @SafeAccess ! http://www. safeaccessnow.org/vmm_maryland";;@ChrisVanHollen @SafeAccess;#mmj;"795729195431264260";https://twitter.com/opedwriter/status/795729195431264260
RobertTrumpQuot;2016-11-07 20:10;0;0;"You remember had this gigantic clock in the arena showing the size o... #ChrisVanHollen #quotes https:// openquotes.github.io/authors/chris- van-hollen-quotes/#bcb4019f …";;;#ChrisVanHollen #quotes #bcb4019f;"795704927607734272";https://twitter.com/RobertTrumpQuot/status/795704927607734272
FarmFairyCrafts;2016-11-07 17:55;3;4;"#StopTPP #TPP Synopsis: http://www. cnet.com/news/wikileaks -publishes-draft-of-secretive-tpp-trade-pact/ … OpenDoor2Sue USA: http:// nyti.ms/1HHruhT via @nytimes Undermines Web @ChrisVanHollen MD";;@nytimes @ChrisVanHollen;#StopTPP #TPP;"795670938230648832";https://twitter.com/FarmFairyCrafts/status/795670938230648832
enyawd;2016-11-07 17:51;0;1;"@ChrisVanHollen can we work on a law to limit presidential campaigns? No fundraising no committees til 180 days out. #exhausted #canitbeover";;@ChrisVanHollen;#exhausted #canitbeover;"795670046697734146";https://twitter.com/enyawd/status/795670046697734146
WCBM680;2016-11-07 17:06;0;1;"Coming up next! @KathyforMD joins the show on election eve to discuss her race with @ChrisVanHollen pic.twitter.com/2fbkUHQY2c";;@KathyforMD @ChrisVanHollen;;"795658708927860736";https://twitter.com/WCBM680/status/795658708927860736
C4Show;2016-11-07 16:04;0;0;"Md. Cong., U.S. Senate Dem. Candidate, Chris Van Hollen @ChrisVanHollen joins the show NOW to discuss "Election Day" tomorrow. @wbalradio";;@ChrisVanHollen @wbalradio;;"795643085514506241";https://twitter.com/C4Show/status/795643085514506241
4SeasonsOutside;2016-11-07 02:22;0;0;"So #sad for our country. #unethical #unfit #hateful #racist #ImWithHer and #iwillvote @HillaryClinton @ChrisVanHollen @TheDemocrats https:// twitter.com/thehill/status /795432864431140865 …";;@HillaryClinton @ChrisVanHollen @TheDemocrats;#sad #unethical #unfit #hateful #racist #ImWithHer #iwillvote;"795436334089379844";https://twitter.com/4SeasonsOutside/status/795436334089379844
