username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HindenburgHisto;2016-11-07 23:28;0;0;"I am officially endorsing and voting for @Chrisvance123 . #EndorsementsbyHinden .";;@Chrisvance123;#EndorsementsbyHinden;"795754865456594944";https://twitter.com/HindenburgHisto/status/795754865456594944
BillLugar;2016-11-07 21:49;0;0;"@Chrisvance123 where's the victory party for Repubicans in Kitsap country";;@Chrisvance123;;"795729789105508352";https://twitter.com/BillLugar/status/795729789105508352
Chrisvance123;2016-11-07 20:13;4;13;"I'm Chris Vance, and I approve of this snap. #Vote4Vance pic.twitter.com/mtftYvFFf2";;;#Vote4Vance;"795705869618921472";https://twitter.com/Chrisvance123/status/795705869618921472
PNWShan;2016-11-07 17:41;0;0;"Our entire family voted for @Chrisvance123 last night! https:// twitter.com/Chrisvance123/ status/795659676658454530 …";;@Chrisvance123;;"795667427803570180";https://twitter.com/PNWShan/status/795667427803570180
Chrisvance123;2016-11-07 17:10;3;3;"It's time for a big change #waelex Like and retweet if you agree! pic.twitter.com/nBQc07wIq7";;;#waelex;"795659676658454530";https://twitter.com/Chrisvance123/status/795659676658454530
DerekKXLY;2016-11-07 13:17;3;2;"Candidate interviews for: @cathymcmorris @JoePakootas @MikeCrapo @Sturgill4Idaho & @Chrisvance123 here: http://www. kxly.com/news/politics #kxly";;@cathymcmorris @JoePakootas @MikeCrapo @Sturgill4Idaho @Chrisvance123;#kxly;"795600993878757376";https://twitter.com/DerekKXLY/status/795600993878757376
peanut_brigade;2016-11-07 08:38;0;3;"@Chrisvance123 One man made me a lifetime Democrat & turned my Republican father into a Democrat: #JimmyCarter";;@Chrisvance123;#JimmyCarter;"795530795100282880";https://twitter.com/peanut_brigade/status/795530795100282880
Gynt420;2016-11-07 03:59;0;0;"@Chrisvance123 Not Lincoln, TR, Goldwater, or Silent Cal? The GOP has to get over Reagan http:// wpo.st/kgNC2";;@Chrisvance123;;"795460524775309314";https://twitter.com/Gynt420/status/795460524775309314
SeahawkGranny;2016-11-07 03:58;0;0;"@Chrisvance123 -get rid of Inslee for a start !!";;@Chrisvance123;;"795460474716319744";https://twitter.com/SeahawkGranny/status/795460474716319744
SeahawkGranny;2016-11-07 03:54;0;0;"@Chrisvance123 -end common core once and for all !!";;@Chrisvance123;;"795459415360946177";https://twitter.com/SeahawkGranny/status/795459415360946177
SeahawkGranny;2016-11-07 03:53;0;1;"@Chrisvance123 -and your a Republican ? - NATO only contributes troops from few countries but expects US to protect them all !!";;@Chrisvance123;;"795459142668292096";https://twitter.com/SeahawkGranny/status/795459142668292096
Chrisvance123;2016-11-07 03:45;3;3;"Two people made me a Republican: Jimmy Carter and Ronald Reagan. #TownHall #waelex";;;#TownHall #waelex;"795457137346416640";https://twitter.com/Chrisvance123/status/795457137346416640
NadjaDeArment;2016-11-07 00:13;0;0;"@marcorubio @RandPaul @Chrisvance123 @TGowdySC @SpeakerRyan i call for Comey's resignation! Hillary shouldn't be allowed to run for POTUS!";;@marcorubio @RandPaul @Chrisvance123 @TGowdySC @SpeakerRyan;;"795403660914102272";https://twitter.com/NadjaDeArment/status/795403660914102272
