username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ellenkstuart;2016-11-08 00:27;0;0;"Getting multiples of these daily+phone calls (on our 617 landline!) @GovernorHassan you need a better database! pic.twitter.com/6tEl519v8X";;@GovernorHassan;;"795769651267600384";https://twitter.com/ellenkstuart/status/795769651267600384
Al_Drago;2016-11-08 00:02;2;9;"President Obama raises his arms with @GovernorHassan and @SenatorShaheen at a @HillaryClinton rally in New Hampshire this evening. pic.twitter.com/EMMfpva88R";;@GovernorHassan @SenatorShaheen @HillaryClinton;;"795763500027101185";https://twitter.com/Al_Drago/status/795763500027101185
CarlosMonsoor;2016-11-07 23:15;0;0;"@markknoller @SenatorShaheen @GovernorHassan @POTUS @UofNH Hillary Corrupt, Cheat/Lie/Steal, UNFIT FOR POTUS. pic.twitter.com/AyTfLfe1fp";;@markknoller @SenatorShaheen @GovernorHassan @POTUS @UofNH;;"795751642322923520";https://twitter.com/CarlosMonsoor/status/795751642322923520
NickBReid;2016-11-07 22:53;3;0;". @SenatorShaheen at UNH: With @GovernorHassan in the Senate, "I'm no longer gonna have my vote canceled out half the time." #nhpolitics";;@SenatorShaheen @GovernorHassan;#nhpolitics;"795745901868421125";https://twitter.com/NickBReid/status/795745901868421125
thedartmouth;2016-11-07 22:51;0;1;""We nasty women vote." - @JeanneShaheen introducing @GovernorHassan";;@JeanneShaheen @GovernorHassan;;"795745588667154434";https://twitter.com/thedartmouth/status/795745588667154434
markknoller;2016-11-07 22:49;6;9;". @SenatorShaheen and @GovernorHassan introduce @POTUS at Clinton Rally at @UofNH . pic.twitter.com/HyzDEz93pN";;@SenatorShaheen @GovernorHassan @POTUS @UofNH;;"795744909680660481";https://twitter.com/markknoller/status/795744909680660481
WMUR9;2016-11-07 22:45;3;1;"Watch live: @SenatorShaheen and @GovernorHassan are introducing @POTUS at his rally at @UofNH . http://www. wmur.com/article/presid ent-obama-to-stump-for-clinton-in-new-hampshire-monday/8253248 … #nhpolitics #wmur2016";;@SenatorShaheen @GovernorHassan @POTUS @UofNH;#nhpolitics #wmur2016;"795743998543597569";https://twitter.com/WMUR9/status/795743998543597569
HeatherKeaveny;2016-11-07 22:00;0;0;"Inundated in Metrowest Boston by @KellyAyotte @GovernorHassan ads. If I could vote in NH I would look for an alternative. #negative #enough";;@KellyAyotte @GovernorHassan;#negative #enough;"795732728847224833";https://twitter.com/HeatherKeaveny/status/795732728847224833
coolnance;2016-11-07 21:41;0;0;"Go home @KellyAyotte your as much of an obstructionist as the rest of the thugs you hang out with. We need @GovernorHassan to move forward https:// twitter.com/KellyAyotte/st atus/795727056197840896 …";;@KellyAyotte @GovernorHassan;;"795727903619248128";https://twitter.com/coolnance/status/795727903619248128
RedMarshNH;2016-11-07 21:11;3;3;". @nhdoti93 at mile marker 32.8 north bound illegally placed 4x8 Maggie hassan sign. @GovernorHassan should know better #nhpolitics";;@nhdoti93 @GovernorHassan;#nhpolitics;"795720245721886726";https://twitter.com/RedMarshNH/status/795720245721886726
ThomJamesNorman;2016-11-07 21:00;0;1;"@GreatScent Elect @GovernorHassan & send @KellyAyotte out the HOUSE. Kelly needs time for personal healing & reckoning. #StrongerTogether";;@GreatScent @GovernorHassan @KellyAyotte;#StrongerTogether;"795717553116966912";https://twitter.com/ThomJamesNorman/status/795717553116966912
ThomJamesNorman;2016-11-07 20:58;0;1;"@GreatScent @GovernorHassan - @KellyAyotte 's hailing a despotic, hate & fear monger, bigoted narcissist "a role model," has corrupted values.";;@GreatScent @GovernorHassan @KellyAyotte;;"795717001821843456";https://twitter.com/ThomJamesNorman/status/795717001821843456
jjfgillies;2016-11-07 20:51;0;0;"Vote @GovernorHassan to take @KellyAyotte senate seat to turn NH blue #nhpolitics #Election2016 #ElectionFinalThoughts #GoBlue https:// twitter.com/onthestory/sta tus/795711900772401152 …";;@GovernorHassan @KellyAyotte;#nhpolitics #Election2016 #ElectionFinalThoughts #GoBlue;"795715405264355328";https://twitter.com/jjfgillies/status/795715405264355328
GreatScent;2016-11-07 20:46;1;0;"She thinks using her daughter in her ads will help. NO WAY. VOTE MAGGIE HASSAN @GovernorHassan - She works for the ppl not mentally ill trump https:// twitter.com/ThomJamesNorma n/status/795706856224133121 …";;@GovernorHassan;;"795714152572612608";https://twitter.com/GreatScent/status/795714152572612608
ThomJamesNorman;2016-11-07 20:14;2;1;"@mmpadellan Between @GovernorHassan & @KellyAyotte , Hassan represents NH vision & principles. Ayotte is just another con, an obstructionist.";;@mmpadellan @GovernorHassan @KellyAyotte;;"795706074707857411";https://twitter.com/ThomJamesNorman/status/795706074707857411
psutherlandNHPR;2016-11-07 19:38;1;2;". @GovernorHassan & @ChrisSununu are voting in Newfields at the same time tomorrow - should we expect an arm wrestling showdown?! #nhpolitics";;@GovernorHassan @ChrisSununu;#nhpolitics;"795696932576522241";https://twitter.com/psutherlandNHPR/status/795696932576522241
KimWBZ;2016-11-07 18:56;5;1;". @GovernorHassan has full day of campaining in #nh /will appear with #POTUS @BarackObama later today. #nhsen #nhpolitics #wbz #wbznews pic.twitter.com/WLiUyHb7nF";;@GovernorHassan @BarackObama;#nh #POTUS #nhsen #nhpolitics #wbz #wbznews;"795686476335955969";https://twitter.com/KimWBZ/status/795686476335955969
mitokon5;2016-11-07 18:32;0;0;"Is there a phone bank for @GovernorHassan that I can join?";;@GovernorHassan;;"795680259337322497";https://twitter.com/mitokon5/status/795680259337322497
PiperArt;2016-11-07 18:06;0;0;"#ElectionFinalThoughts I'll be voting for @GovernorHassan for senate to preserve #freedom & rights for all #NewHampshire residents.";;@GovernorHassan;#ElectionFinalThoughts #freedom #NewHampshire;"795673825899925504";https://twitter.com/PiperArt/status/795673825899925504
steinhauserNH1;2016-11-07 18:04;3;4;"FINAL @NH1News POLL OF POLLS in #nhsen @KellyAyotte 47% @GovernorHassan 46% http://www. nh1.com/news/obama-and -trump-in-new-hampshire-on-election-eve/ … #nhpolitics #NH1News pic.twitter.com/bAu8l9mAqQ";;@NH1News @KellyAyotte @GovernorHassan;#nhsen #nhpolitics #NH1News;"795673266849464320";https://twitter.com/steinhauserNH1/status/795673266849464320
