username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
GOPAlert2017;2016-11-07 23:55;1;1;"I'll support any Republican who wins in tomorrow Louisiana's "Jungle Primary." @FlemingforLA , @JohnKennedyLA , @CBoustanyJr, and @RobManess";;@FlemingforLA @JohnKennedyLA @CBoustanyJr @RobManess;;"795761619552894976";https://twitter.com/GOPAlert2017/status/795761619552894976
Blackhawkdn;2016-11-07 23:53;0;0;"@JohnKennedyLA Do you support the Revenue Stabilization Trust Fund?";;@JohnKennedyLA;;"795761000700121089";https://twitter.com/Blackhawkdn/status/795761000700121089
JimEngsterShow;2016-11-07 23:42;0;0;"@CampbellforLa is a "part-time" politician. "Big difference between me and @JohnKennedyLA "";;@CampbellforLa @JohnKennedyLA;;"795758474328211456";https://twitter.com/JimEngsterShow/status/795758474328211456
LAPolitico;2016-11-07 21:25;0;0;"#lasen @JohnKennedyLA apparently takes his campaign photos with a potato, come on now with that photo size + quality https:// twitter.com/JohnKennedyLA/ status/795722766884315136 …";;@JohnKennedyLA;#lasen;"795723840651427840";https://twitter.com/LAPolitico/status/795723840651427840
JohnKennedyLA;2016-11-07 21:21;8;14;"We're out spreading the word that every vote matters and reminding folks to make their voices heard tomorrow. #lasen pic.twitter.com/MLGzlPqb1A";;;#lasen;"795722766884315136";https://twitter.com/JohnKennedyLA/status/795722766884315136
edmondguidry;2016-11-07 20:31;0;0;"If you're a serious @realDonaldTrump supporter and are also a @JohnKennedyLA supporter, you're doing the "drain the swamp" thing wrong.";;@realDonaldTrump @JohnKennedyLA;;"795710277417390080";https://twitter.com/edmondguidry/status/795710277417390080
TeamKCP;2016-11-07 19:16;2;1;"@JohnKennedyLA Totally aligned with DT, the #condidate but that's no surprise. @lagop supports the racist & sexist guy! @LaDemos #imwithher https:// twitter.com/rant86/status/ 795690645650374656 …";;@JohnKennedyLA @lagop @LaDemos;#condidate #imwithher;"795691482686615553";https://twitter.com/TeamKCP/status/795691482686615553
jillbader;2016-11-07 18:57;0;1;"Four fun ads from @FredNDavis and the team... cc @GrassleyWorks @JustinFareed @JohnKennedyLA @DarrylGlenn2016 https:// twitter.com/rollcall/statu s/795672617860603904 …";;@FredNDavis @GrassleyWorks @JustinFareed @JohnKennedyLA @DarrylGlenn2016;;"795686636709355520";https://twitter.com/jillbader/status/795686636709355520
TeamKCP;2016-11-07 16:30;0;1;"@JohnKennedyLA @RepBoustany @CBoustanyJr @lagop sticking with their guy, DT! #disgraceful #lacksdecency #imwithher @LaDemos https:// twitter.com/joyannreid/sta tus/795261728212873216 …";;@JohnKennedyLA @RepBoustany @CBoustanyJr @lagop @LaDemos;#disgraceful #lacksdecency #imwithher;"795649643145269248";https://twitter.com/TeamKCP/status/795649643145269248
LAPolitico;2016-11-07 16:29;1;0;"#lasen @CBoustanyJr 's wife, Bridget, shared an article to FB urging supporters to GOTV, apologized for including @JohnKennedyLA 's face lol pic.twitter.com/20akYAF50x";;@CBoustanyJr @JohnKennedyLA;#lasen;"795649508667334656";https://twitter.com/LAPolitico/status/795649508667334656
