username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
VRodriguezPhD;2016-11-08 00:19;0;1;"@TheDemocrats Stop deceiving/mistreating #Latinos (like #LorettaSanchez ) Latinos are your vote cow!! http:// dailycaller.com/2016/11/07/dem ocrats-deceive-and-mistreat-hispanics-inside-and-outside-the-u-s/ …";;@TheDemocrats;#Latinos #LorettaSanchez;"795767570687283201";https://twitter.com/VRodriguezPhD/status/795767570687283201
Loretta2016;2016-11-08 00:00;0;5;"The water crisis in California requires solutions! I will work hard to create those solutions. #LorettaSanchez http:// buff.ly/2fuJar1 pic.twitter.com/zNhHCBqIwS";;;#LorettaSanchez;"795762907409747968";https://twitter.com/Loretta2016/status/795762907409747968
kcrw;2016-11-08 00:00;1;5;"US Senate: Democrats @kamalaharris & @lorettasanchez try to distinguish themselves (w/ @danschnur & @radiochio ) http:// kcrw.co/2eGmHYA pic.twitter.com/wZYaTnlVte";;@kamalaharris @lorettasanchez @danschnur @radiochio;;"795762904641536000";https://twitter.com/kcrw/status/795762904641536000
Click_CA;2016-11-07 22:38;0;2;"Huge, over-capacity crowd for @KamalaHarris , Josh Newman in @LorettaSanchez 's OC backyard #CAsen pic.twitter.com/bhXtJP1JlN";;@KamalaHarris @LorettaSanchez;#CAsen;"795742193193320448";https://twitter.com/Click_CA/status/795742193193320448
SecureWaterCA;2016-11-07 21:29;1;3;"Both CA Senate candidates @KamalaHarris and @LorettaSanchez express support of #CAWaterFix to secure #CAWater : http://www. latimes.com/politics/la-po l-ca-senate-central-valley-20161106-story.html …";;@KamalaHarris @LorettaSanchez;#CAWaterFix #CAWater;"795724840887939072";https://twitter.com/SecureWaterCA/status/795724840887939072
314LoveMachine;2016-11-07 21:04;0;0;"Won't vote 4 @KamalaHarris or @LorettaSanchez & @RepJuanVargas cuz I can't aid who SCREWED @BernieSanders . #FinalElectionThoughts #TyTLive";;@KamalaHarris @LorettaSanchez @RepJuanVargas @BernieSanders;#FinalElectionThoughts #TyTLive;"795718463297753088";https://twitter.com/314LoveMachine/status/795718463297753088
NBCLatino;2016-11-07 20:04;1;2;". @SandraLilley : We might make history with @CatherineForNV in Nevada, @LorettaSanchez in California and @EspaillatNY in New York City.";;@SandraLilley @CatherineForNV @LorettaSanchez @EspaillatNY;;"795703546452774912";https://twitter.com/NBCLatino/status/795703546452774912
LPAGov;2016-11-07 19:31;0;0;"Happy last birthday in office (thankfully!) @SenBoxerGSPP . I wish @LorettaSanchez were replacing you!";;@SenBoxerGSPP @LorettaSanchez;;"795695261536292865";https://twitter.com/LPAGov/status/795695261536292865
hubermunoz;2016-11-07 19:28;0;2;"@LorettaSanchez has visited the Central Valley 14 times in this election! She cares & understands about the issues facing the valley.";;@LorettaSanchez;;"795694543840522240";https://twitter.com/hubermunoz/status/795694543840522240
Loretta2016;2016-11-07 19:01;0;7;"Be sure to get out and vote! Exercise your right to determine your future! #LorettaSanchez #USSenate #CASenate #Election2016 pic.twitter.com/jzY5kGi2eH";;;#LorettaSanchez #USSenate #CASenate #Election2016;"795687683406368768";https://twitter.com/Loretta2016/status/795687683406368768
jpanzar;2016-11-07 18:35;1;1;". @LorettaSanchez calling in SoCal House colleagues @RepLindaSanchez @ScottPetersSD @gracenapolitano @RepJudyChu to make her case. #CASenate pic.twitter.com/yXbc1i4J0W – bei Olvera Street";;@LorettaSanchez @RepLindaSanchez @ScottPetersSD @gracenapolitano @RepJudyChu;#CASenate;"795681119525974016";https://twitter.com/jpanzar/status/795681119525974016
MoneyTrain;2016-11-07 18:31;0;1;"Vote for Loretta Sanchez! @loretta2016 #lorettasanchez @Union Station Dowtown LA https://www. instagram.com/p/BMhHO4wDQpb/";;@loretta2016 @Union;#lorettasanchez;"795679998187372545";https://twitter.com/MoneyTrain/status/795679998187372545
MoneyTrain;2016-11-07 17:32;0;2;"Going to @AFMOFFICIAL I took a pic with hard working @LorettaSanchez @unionstationla handing out #vote @Loretta2016 pic.twitter.com/XXMNFg8h0M";;@AFMOFFICIAL @LorettaSanchez @unionstationla @Loretta2016;#vote;"795665314809663492";https://twitter.com/MoneyTrain/status/795665314809663492
limitrevolt;2016-11-07 17:20;0;0;"Elite CW: Arbusto no consiguió por encima del 30% (a pesar de las mentiras del Cerdo!) . @KarlRove . @LorettaSanchez @kausmickey https:// twitter.com/heytammybruce/ status/795608072211337220 …";;@KarlRove @LorettaSanchez @kausmickey;;"795662091784835072";https://twitter.com/limitrevolt/status/795662091784835072
Pat_Hornbecker;2016-11-07 16:04;0;0;". @LorettaSanchez CA cut SSI/SSP support 4 seniors & disabled.Our poor & disabled live 10% UNDER fed poverty level.Will you fight 2 restore?";;@LorettaSanchez;;"795643136932384768";https://twitter.com/Pat_Hornbecker/status/795643136932384768
EduardoMassieu;2016-11-07 14:52;2;1;"Mañana a votar por @LorettaSanchez la 1ra mujer latina al Senado! Espero se mantenga en defensa frente a abusos de DDHH en Venezuela y Cuba";;@LorettaSanchez;;"795625072971173888";https://twitter.com/EduardoMassieu/status/795625072971173888
EduardoMassieu;2016-11-07 14:52;1;0;"La voz de @LorettaSanchez puede ser la voz de millones de latinos n el Senado.A pesar de ser democrata, tiene un papel bi-partidista q jugar";;@LorettaSanchez;;"795624863172034561";https://twitter.com/EduardoMassieu/status/795624863172034561
MentorsCamper;2016-11-07 08:35;0;0;"If Dems are all about "experience" this election then #LorettaSanchez should beat #KamalaHarris handily. Right? Right? Yeah. #Hypocrisy";;;#LorettaSanchez #KamalaHarris #Hypocrisy;"795530206526119936";https://twitter.com/MentorsCamper/status/795530206526119936
WickedWonkaevil;2016-11-07 07:20;0;0;"California Senate Race https:// youtu.be/Q-gdHo-WRF8 via @YouTube #kamalaharris #lorettasanchez";;@YouTube;#kamalaharris #lorettasanchez;"795511154101587968";https://twitter.com/WickedWonkaevil/status/795511154101587968
LeslieKn0pe;2016-11-07 03:16;0;2;"lmao fuck i can't vote for a candidate who can't dab for shit sry @LorettaSanchez";;@LorettaSanchez;;"795449744432582656";https://twitter.com/LeslieKn0pe/status/795449744432582656
EthanRarick;2016-11-07 03:03;2;0;"The latest from the @BerkeleyIGS Field Poll: @KamalaHarris up big over @LorettaSanchez in #CASenate2016 http:// bit.ly/2ee2Lhk @UCBerkeley";;@BerkeleyIGS @KamalaHarris @LorettaSanchez @UCBerkeley;#CASenate2016;"795446508313133056";https://twitter.com/EthanRarick/status/795446508313133056
Loretta2016;2016-11-07 03:00;4;11;"The mortgage crisis was personal for me. I know families work hard to buy their home! #LorettaSanchez #Election2016 http:// buff.ly/2fcFOYw pic.twitter.com/GI2s5gmVed";;;#LorettaSanchez #Election2016;"795445838231310336";https://twitter.com/Loretta2016/status/795445838231310336
NBCLatino;2016-11-07 02:00;3;2;". @loucorreaCA is also running against someone in their party. Will he be the one to fill @LorettaSanchez 's seat? http:// nbcnews.to/2fj8nnM pic.twitter.com/2OBkbnPxNZ";;@loucorreaCA @LorettaSanchez;;"795430746689306624";https://twitter.com/NBCLatino/status/795430746689306624
DaleF3;2016-11-07 01:35;0;1;"@rebeinstein @TeronBriggs @LorettaSanchez Same here. Voted for Kamala for years. Can't support her anymore, voting Sanchez.";;@rebeinstein @TeronBriggs @LorettaSanchez;;"795424487797755904";https://twitter.com/DaleF3/status/795424487797755904
NoLefty2016;2016-11-07 01:20;0;0;"I have no faith in the rule of law in our Government. @TGowdySC @tedcruz @tedlieu @LorettaSanchez @LorettaLynch @jasoninthehouse @benshapiro https:// twitter.com/MariaBartiromo /status/795419509570027525 …";;@TGowdySC @tedcruz @tedlieu @LorettaSanchez @LorettaLynch @jasoninthehouse @benshapiro;;"795420646620598272";https://twitter.com/NoLefty2016/status/795420646620598272
Pat_Hornbecker;2016-11-07 00:23;1;0;". @LorettaSanchez Students w/ disabilities often harmed in schools that restrain & seclude them. How will you keep our kids safe in school?";;@LorettaSanchez;;"795406276792463360";https://twitter.com/Pat_Hornbecker/status/795406276792463360
Loretta2016;2016-11-07 00:00;1;4;"As the highest ranking woman on the Armed Services Committee, I fight for Veterans' rights! #LorettaSanchez http:// buff.ly/2fMnYiz pic.twitter.com/mpVDj8biNX";;;#LorettaSanchez;"795400504335564801";https://twitter.com/Loretta2016/status/795400504335564801
igm_;2016-11-06 21:51;0;1;"Still haven't decided between @KamalaHarris or @LorettaSanchez";;@KamalaHarris @LorettaSanchez;;"795368079597277184";https://twitter.com/igm_/status/795368079597277184
Loretta2016;2016-11-06 19:00;0;6;"Loretta will fight for debt free college, livable wage and affordable healthcare! #LorettaSanchez #USSenate #Election2016 pic.twitter.com/cuEtfwMfBA";;;#LorettaSanchez #USSenate #Election2016;"795324918242091008";https://twitter.com/Loretta2016/status/795324918242091008
ivanbobive;2016-11-06 18:03;0;0;"Votaremos por una candidata cualificada y con la experiencia de un representante de congreso. Juntamos con #LorettaSanchez esté martes. pic.twitter.com/mAhNJTci9g";;;#LorettaSanchez;"795310542772547584";https://twitter.com/ivanbobive/status/795310542772547584
NBCLatino;2016-11-06 10:00;0;1;". @LorettaSanchez is at a double-digit deficit behind @KamalaHarris . She's hoping Republican support will help her. http:// nbcnews.to/2fj8nnM pic.twitter.com/FRdRdgVniu";;@LorettaSanchez @KamalaHarris;;"795189137573892100";https://twitter.com/NBCLatino/status/795189137573892100
