username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
GOPAlert2017;2016-11-07 23:46;1;0;"Idaho has had a leader they can count on in @MikeCrapo . To the great people there, vote to return Sen. Crapo to the U.S. Senate!";;@MikeCrapo;;"795759320361209862";https://twitter.com/GOPAlert2017/status/795759320361209862
MikeCrapo;2016-11-07 23:40;3;10;"Gary Amoth Trucking will haul the @USCapitolTree 4,000 miles to DC. Safe travels, Gary! Follow his journey: @TracktheTree #TrackTheTree pic.twitter.com/zMvnGtCSsp";;@USCapitolTree @TracktheTree;#TrackTheTree;"795757776303783936";https://twitter.com/MikeCrapo/status/795757776303783936
Raul_Labrador;2016-11-07 23:20;8;9;"Today I met Isabella Gerard, who will light the @USCapitolTree Dec 6. Also on hand at Statehouse: @MikeCrapo , @ButchOtter & @JimRisch pic.twitter.com/uKoljITEoD";;@USCapitolTree @MikeCrapo @ButchOtter @JimRisch;;"795752897560444928";https://twitter.com/Raul_Labrador/status/795752897560444928
MikeCrapo;2016-11-07 22:38;3;8;"And it's off!!! My wife, Susan, & I joined Isabella and other fellow Idahoans to officially send off the @USCapitolTree in Boise today! pic.twitter.com/TuJ1fHvbTh";;@USCapitolTree;;"795742207634448385";https://twitter.com/MikeCrapo/status/795742207634448385
Idahograybeard;2016-11-07 21:04;0;0;"I will not be voting tomorrow for @MikeCrapo for a whole host of reasons. #CareerRINO";;@MikeCrapo;#CareerRINO;"795718602242433024";https://twitter.com/Idahograybeard/status/795718602242433024
MikeCrapo;2016-11-07 17:07;2;3;"Join me at the Idaho Statehouse today at 11:45AM as we give the @USCapitolTree a local send-off! http://www. ktvb.com/life/capitol-c hristmas-tree-visits-boise-for-big-send-off/348984723 …";;@USCapitolTree;;"795658896442531840";https://twitter.com/MikeCrapo/status/795658896442531840
DerekKXLY;2016-11-07 13:17;3;2;"Candidate interviews for: @cathymcmorris @JoePakootas @MikeCrapo @Sturgill4Idaho & @Chrisvance123 here: http://www. kxly.com/news/politics #kxly";;@cathymcmorris @JoePakootas @MikeCrapo @Sturgill4Idaho @Chrisvance123;#kxly;"795600993878757376";https://twitter.com/DerekKXLY/status/795600993878757376
philips_jhon;2016-11-07 10:37;0;0;"A major part of being prepared is having a plan. Local calls don't always... #MikeCrapo #quotes https:// openquotes.github.io/authors/mike-c rapo-quotes/#66e30a22 …";;;#MikeCrapo #quotes #66e30a22;"795560701863587840";https://twitter.com/philips_jhon/status/795560701863587840
Jgoode33bruh;2016-11-07 06:22;1;0;"@MikeCrapo would love to know ur alternative 2 help the 1k Idahoans who have died b/c of your inability to expand Medicaid to 78k citizens";;@MikeCrapo;;"795496606757859328";https://twitter.com/Jgoode33bruh/status/795496606757859328
Jgoode33bruh;2016-11-07 06:08;1;0;"Ironic @MikeCrapo commercial. Said how he wanted to "replace Obamacare". Funny thing is he & GOP have no alternative or replacement 4 it lol";;@MikeCrapo;;"795493115830247425";https://twitter.com/Jgoode33bruh/status/795493115830247425
CDrakeFairTrade;2016-11-07 03:40;5;3;"America’s families oppose the #TPP . Where does @MikeCrapo stand? #StopTPP pic.twitter.com/VBEei3crn0";;@MikeCrapo;#TPP #StopTPP;"795455948722737152";https://twitter.com/CDrakeFairTrade/status/795455948722737152
booanks;2016-11-06 17:21;0;0;"@MikeCrapo this has got to stop. One each day. You're killing the planet with your toner cartridges. pic.twitter.com/74Q5wQUwka";;@MikeCrapo;;"795300030194139136";https://twitter.com/booanks/status/795300030194139136
TomAnsbac;2016-11-05 18:24;0;0;"@MikeCrapo I'll vote for you when the last Right Wing troglodyte is dragged out of the US Senate in chains! Crapo is a fraud & hypocrite!";;@MikeCrapo;;"794953496751669248";https://twitter.com/TomAnsbac/status/794953496751669248
wa7iut;2016-11-05 02:40;0;0;"hey @MikeCrapo ! https:// twitter.com/evan_mcmullin/ status/794715437611282432 …";;@MikeCrapo;;"794715865736351744";https://twitter.com/wa7iut/status/794715865736351744
