username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AnchorGrandbaby;2016-11-08 00:40;0;0;"@PattyMurray Good luck, Senator! You still have our support!";;@PattyMurray;;"795772894009651201";https://twitter.com/AnchorGrandbaby/status/795772894009651201
emekus2000;2016-11-08 00:37;0;0;"@PattyMurray @SenatorCardin @UN_HRC BIAFRA: NOVEMBER 8, 2016 -- ECOWAS COURT MUST UPHOLD JUSTICE FOR NNAMDI KANU http://www. thebiafraherald.co/2016/11/biafra -november-8-2016-ecowas-court.html?utm_source=dlvr.it&utm_medium=twitter&m=1 …";;@PattyMurray @SenatorCardin @UN_HRC;;"795772252843311104";https://twitter.com/emekus2000/status/795772252843311104
abowersock;2016-11-08 00:07;23;22;"I hope we send @PattyMurray packing. Fast track her ass outta office. #votethemout https:// twitter.com/SusanStopsongs /status/794712359923109888 …";;@PattyMurray;#votethemout;"795764539874689024";https://twitter.com/abowersock/status/795764539874689024
grm_chikn;2016-11-07 23:18;2;0;". @PattyMurray @GovInslee There is already an EIS w/breaching as a viable alternative for #salmon recovery #Blackfish https:// twitter.com/damsnse/status /792760914843807744 …";;@PattyMurray @GovInslee;#salmon #Blackfish;"795752226639659008";https://twitter.com/grm_chikn/status/795752226639659008
grm_chikn;2016-11-07 23:16;1;0;". @PattyMurray @GovInslee Young mothers are dying faster than they are being replaced by maturing adults #Blackfish http:// bc.ctvnews.ca/mobile/10-mont h-old-orca-calf-will-not-survive-after-mother-s-death-1.3136706 …";;@PattyMurray @GovInslee;#Blackfish;"795751817791488000";https://twitter.com/grm_chikn/status/795751817791488000
Chai_Rescuer;2016-11-07 22:18;0;0;"@lindsaycohen @PattyMurray So it only takes a few men to do the work of lots of women? That's so sexist.";;@lindsaycohen @PattyMurray;;"795737257009299456";https://twitter.com/Chai_Rescuer/status/795737257009299456
Corneli59981894;2016-11-07 21:57;0;1;"@pattymurray I support #ACEKidsAct . As your constituent, we need your help to pass the bill now. http://www. ACEKidsAct.org";;@pattymurray;#ACEKidsAct;"795731930645790720";https://twitter.com/Corneli59981894/status/795731930645790720
marinaslater;2016-11-07 21:39;1;0;"Still holding my #ballot till @HillaryClinton @PattyMurray #StandsWithStandingRock #NoDAPL @billmckibben @CreeClayton @zhaabowekwe @nytimes pic.twitter.com/InLLeBLziT";;@HillaryClinton @PattyMurray @billmckibben @CreeClayton @zhaabowekwe @nytimes;#ballot #StandsWithStandingRock #NoDAPL;"795727420879835136";https://twitter.com/marinaslater/status/795727420879835136
888Meteorite;2016-11-07 21:16;0;0;"#Seattle #Millennials #Entrepreneurs #WashingtonState >KICK OUT #CorruptHillary & #PattyMurray >Elect #TrumpPence16 & ALL Repubs > #TrumpEnergy";;;#Seattle #Millennials #Entrepreneurs #WashingtonState #CorruptHillary #PattyMurray #TrumpPence16 #TrumpEnergy;"795721623873720320";https://twitter.com/888Meteorite/status/795721623873720320
1oldgoatto;2016-11-07 21:00;0;1;"@lindsaycohen @komonews @PattyMurray little snake in the grass. Just like her corruption queen";;@lindsaycohen @komonews @PattyMurray;;"795717669756407809";https://twitter.com/1oldgoatto/status/795717669756407809
likallman;2016-11-07 20:50;0;0;". @RoyBlunt & @PattyMurray : Restore proposed cuts in FY2017 funding to HIV/AIDS & related programs! #FundHIV #HIV http:// bit.ly/2d0MIR7";;@RoyBlunt @PattyMurray;#FundHIV #HIV;"795714995908734977";https://twitter.com/likallman/status/795714995908734977
