username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
66bike;2016-11-07 23:19;6;5;"@Ahnid @beerscouts @RepKirkpatrick @FlipItDem Another of the many reasons McCain has to be voted out.";;@Ahnid @beerscouts @RepKirkpatrick @FlipItDem;;"795752649542942720";https://twitter.com/66bike/status/795752649542942720
beerscouts;2016-11-07 23:17;1;1;"It's time to get rid of Sleazy Weasel John McCain! @FlipItDem @66bike @RepKirkpatrick pic.twitter.com/wPkDRD6O9G";;@FlipItDem @66bike @RepKirkpatrick;;"795751967817695236";https://twitter.com/beerscouts/status/795751967817695236
FlipItDem;2016-11-07 23:07;18;19;". @66bike @beerscouts @RepKirkpatrick #FlipItDem pic.twitter.com/S91qXCiuND";;@66bike @beerscouts @RepKirkpatrick;#FlipItDem;"795749615152852992";https://twitter.com/FlipItDem/status/795749615152852992
lorrainztweetz;2016-11-07 23:02;1;2;"@CarisSevern @Grandma_Shelia @beerscouts @rcarr57 @RepKirkpatrick @FlipItDem He's icky.";;@CarisSevern @Grandma_Shelia @beerscouts @rcarr57 @RepKirkpatrick @FlipItDem;;"795748212917334017";https://twitter.com/lorrainztweetz/status/795748212917334017
CarisSevern;2016-11-07 22:41;13;2;"@beerscouts @rcarr57 @RepKirkpatrick @FlipItDem Right you are! pic.twitter.com/f3y1653TCH";;@beerscouts @rcarr57 @RepKirkpatrick @FlipItDem;;"795742955134943234";https://twitter.com/CarisSevern/status/795742955134943234
66bike;2016-11-07 22:39;5;5;"@beerscouts @RepKirkpatrick @FlipItDem McCain's ideas are warped and self serving.He has taken millions of $ from the NRA. McCain has to go.";;@beerscouts @RepKirkpatrick @FlipItDem;;"795742537692561409";https://twitter.com/66bike/status/795742537692561409
DoctorRhetorica;2016-11-07 20:31;0;0;"@SenJohnMcCain vowing already not to #dohisjob . Let's stop paying him now! #GOTV for @RepKirkpatrick ! @MadamChairAT http:// nyti.ms/2eeyizG";;@SenJohnMcCain @RepKirkpatrick @MadamChairAT;#dohisjob #GOTV;"795710298745278464";https://twitter.com/DoctorRhetorica/status/795710298745278464
kmegargle;2016-11-07 18:23;0;0;"@RepKirkpatrick hillary is the Benedict Arnold of our time, dead Americans in Benghazi or how she gave national secrets on trips overseas.";;@RepKirkpatrick;;"795678061383426048";https://twitter.com/kmegargle/status/795678061383426048
beerscouts;2016-11-07 17:51;9;8;"John McCain & GOP, betting your life on Trump! Vote @RepKirkpatrick #Arizona #ElectionFinalThoughts @FlipitDem #Bluewave2016 #ImWithHer pic.twitter.com/xHPrm4n3ux";;@RepKirkpatrick @FlipitDem;#Arizona #ElectionFinalThoughts #Bluewave2016 #ImWithHer;"795670037046710274";https://twitter.com/beerscouts/status/795670037046710274
Lafnguy;2016-11-07 15:00;0;0;"Retire @SenJohnMcCain ! #VoteBlueAZ . @RepKirkpatrick would never say something so incredibly stupid & insensitive! He's a grumpy old man https:// twitter.com/JoyAnnReid/sta tus/795487242898800640 …";;@SenJohnMcCain @RepKirkpatrick;#VoteBlueAZ;"795627092150882304";https://twitter.com/Lafnguy/status/795627092150882304
NickCiletti;2016-11-07 12:20;1;8;"It's an all out sprint to the finish in Arizona's US Senate race. We sit down with @RepKirkpatrick . You'll hear from her this AM on @abc15 pic.twitter.com/HexROF0MSE";;@RepKirkpatrick @abc15;;"795586751481970689";https://twitter.com/NickCiletti/status/795586751481970689
nancysuzyq;2016-11-07 02:48;1;1;"@az4th @SenJohnMcCain I voted for @RepKirkpatrick";;@az4th @SenJohnMcCain @RepKirkpatrick;;"795442876570288129";https://twitter.com/nancysuzyq/status/795442876570288129
