username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
purpleimpact16;2016-11-08 00:57;0;0;"@Toure @RickSantorum in short u would have been a worse candidate than Trump shame on anybody who ever elected u to any political office";;@Toure @RickSantorum;;"795777153312768000";https://twitter.com/purpleimpact16/status/795777153312768000
LRodrigues101;2016-11-08 00:56;0;0;"@CNNnewsroom @StephenBaldwin7 @RickSantorum wants them to look as stupid as him 4 voting 4 Hitler. If everyone looks bad, no one looks bad.";;@CNNnewsroom @StephenBaldwin7 @RickSantorum;;"795776883115851777";https://twitter.com/LRodrigues101/status/795776883115851777
bhcgop;2016-11-08 00:52;1;1;"Awesome event in Waterloo this afternoon with @BlumforCongress @GrassleyWorks @joniernst and @RickSantorum !";;@BlumforCongress @GrassleyWorks @joniernst @RickSantorum;;"795776082251284480";https://twitter.com/bhcgop/status/795776082251284480
JamesRockas;2016-11-08 00:51;3;5;"Last stop of the day with @ChuckGrassley and @RickSantorum at @CabinCoffee in Mason City. Everyone get out and vote tomorrow! pic.twitter.com/EExrN3BcX3";;@ChuckGrassley @RickSantorum @CabinCoffee;;"795775734065328129";https://twitter.com/JamesRockas/status/795775734065328129
TheOtherSimo;2016-11-08 00:48;0;1;"@BrettOrlob @fakedansavage @GarrettHaake @RickSantorum He gives santorum a bad name, doesn't he?";;@BrettOrlob @fakedansavage @GarrettHaake @RickSantorum;;"795775069712592896";https://twitter.com/TheOtherSimo/status/795775069712592896
rabidbadger;2016-11-08 00:48;0;0;"@Toure Did @RickSantorum get a job yet? He must be on food stamps to feed his 37 children.";;@Toure @RickSantorum;;"795774865294950404";https://twitter.com/rabidbadger/status/795774865294950404
r_kesler;2016-11-08 00:47;0;0;"Where is @RickSantorum getting his info from? https:// twitter.com/garretthaake/s tatus/795471264756465671 …";;@RickSantorum;;"795774815147737088";https://twitter.com/r_kesler/status/795774815147737088
Toure;2016-11-08 00:44;19;64;"“Barack Obama & Hillary Clinton are certifiable traitors to our country,” says @ricksantorum , misunderstanding what Reps need to do to win.";;@ricksantorum;;"795773941277163521";https://twitter.com/Toure/status/795773941277163521
CaraMcAine;2016-11-08 00:21;1;0;"@jonfavs @GarrettHaake Way to go @RickSantorum keep those blinders on or you'll go blind fr/glare of truth";;@jonfavs @GarrettHaake @RickSantorum;;"795768241276657664";https://twitter.com/CaraMcAine/status/795768241276657664
gregjobe95;2016-11-08 00:17;0;0;"Retweeted Tony Watts ( @Tonywauk ): @jpodhoretz @NoahCRothman @GarrettHaake @RickSantorum It has to be remembered... http:// fb.me/5bWV8dRSG";;@Tonywauk @jpodhoretz @NoahCRothman @GarrettHaake @RickSantorum;;"795767049389801472";https://twitter.com/gregjobe95/status/795767049389801472
