username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
adismomabi;2016-11-08 00:48;0;0;"@chelseahandler @SenEvanBayh Thank You! Indiana is my home state my family lives there Evan Bayh get the hate outta that state!!";;@chelseahandler @SenEvanBayh;;"795775080966090753";https://twitter.com/adismomabi/status/795775080966090753
butte_tocks;2016-11-07 22:54;0;1;". @SenEvanBayh gets my vote @RepToddYoung is a creature of WashingtonDC He needs to try private sector employment I am going to help him";;@SenEvanBayh @RepToddYoung;;"795746291213070337";https://twitter.com/butte_tocks/status/795746291213070337
lfbill;2016-11-07 20:11;2;2;"#IN #RepealAndReplace @SenEvanBayh voted 4 #Obamacare https:// twitter.com/lloydmarcus/st atus/795544351166169088 …";;@SenEvanBayh;#IN #RepealAndReplace #Obamacare;"795705265077256192";https://twitter.com/lfbill/status/795705265077256192
BaschDavid;2016-11-07 19:09;0;0;"@chelseahandler @SenEvanBayh Chelsea why do you think people care about your politics? You should stick to what you know You are not helping";;@chelseahandler @SenEvanBayh;;"795689639688491009";https://twitter.com/BaschDavid/status/795689639688491009
conniewhitehome;2016-11-07 18:50;0;0;"#GOTV For real change in Washington @Ted_Strickland @DixonForSenate @Maggie_Hassan @TammyForIL @DeborahRoss @Sturgill4Idaho @SenEvanBayh";;@Ted_Strickland @DixonForSenate @Maggie_Hassan @TammyForIL @DeborahRoss @Sturgill4Idaho @SenEvanBayh;#GOTV;"795684803307773952";https://twitter.com/conniewhitehome/status/795684803307773952
indianaoldsoul;2016-11-07 17:14;1;1;"#Indiana needs @SenEvanBayh #INSen #Hoosiers #GOTV https:// twitter.com/indems/status/ 795615445332148224 …";;@SenEvanBayh;#Indiana #INSen #Hoosiers #GOTV;"795660737255473152";https://twitter.com/indianaoldsoul/status/795660737255473152
Vipervette3223;2016-11-07 15:50;0;0;"@chelseahandler @SenEvanBayh Chelsea this is my home state and I couldn't agree more! I love the you're so supportive of him!!";;@chelseahandler @SenEvanBayh;;"795639576257843202";https://twitter.com/Vipervette3223/status/795639576257843202
conniewhitehome;2016-11-07 15:29;0;0;"Bring governing 2 Wash @russfeingold @MistyKSnow @Maggie_Hassan @CatherineForNV @Ann_Kirkpatrick @pattyforia @Sturgill4Idaho @SenEvanBayh";;@russfeingold @MistyKSnow @Maggie_Hassan @CatherineForNV @Ann_Kirkpatrick @pattyforia @Sturgill4Idaho @SenEvanBayh;;"795634240033607682";https://twitter.com/conniewhitehome/status/795634240033607682
conniewhitehome;2016-11-07 14:59;0;0;"#DontBooVote @pattyforia @SenEvanBayh @MistyKSnow @Jay4Senate @KatieMcGintyPA @DixonForSenate @russfeingold @Maggie_Hassan @CatherineForNv https:// twitter.com/Karunaprof/sta tus/795624956772106240 …";;@pattyforia @SenEvanBayh @MistyKSnow @Jay4Senate @KatieMcGintyPA @DixonForSenate @russfeingold @Maggie_Hassan @CatherineForNv;#DontBooVote;"795626637798887424";https://twitter.com/conniewhitehome/status/795626637798887424
hannahz2;2016-11-07 14:47;0;0;"@chelseahandler @SenEvanBayh I will be voting for him tomorrow.";;@chelseahandler @SenEvanBayh;;"795623818110836736";https://twitter.com/hannahz2/status/795623818110836736
camhoosierlick;2016-11-07 14:33;0;0;"@chelseahandler @SenEvanBayh Evan Bayh is a god damn crook. He will lose, because he is what the people of Indiana despise.. A politician";;@chelseahandler @SenEvanBayh;;"795620082777026560";https://twitter.com/camhoosierlick/status/795620082777026560
DougConroy;2016-11-07 14:06;0;0;"@chelseahandler @SenEvanBayh McGinty and Trump for PA!!!!!!";;@chelseahandler @SenEvanBayh;;"795613480036499456";https://twitter.com/DougConroy/status/795613480036499456
SamanthaOrnig;2016-11-07 13:54;0;0;"@chelseahandler @SenEvanBayh he's got my vote tomorrow";;@chelseahandler @SenEvanBayh;;"795610483374063620";https://twitter.com/SamanthaOrnig/status/795610483374063620
ck16001;2016-11-07 13:14;0;0;"@SenEvanBayh ever time I see you I think about how you voted for Obama care! #NeverForget";;@SenEvanBayh;#NeverForget;"795600393543811072";https://twitter.com/ck16001/status/795600393543811072
fabulashchic;2016-11-07 11:18;0;0;"@chelseahandler @SenEvanBayh does she obstruct justice like Hillary, Obama, DOJ, FBI, Dem party!? If she's with them she shouldn't win";;@chelseahandler @SenEvanBayh;;"795571198558142464";https://twitter.com/fabulashchic/status/795571198558142464
ggbertsch;2016-11-07 09:28;0;0;"Retweeted Chelsea Handler ( @chelseahandler ): Ok, everyone in Indiana: let's get @SenEvanBayh back.We need all of... http:// fb.me/8ynDYK2QW";;@chelseahandler @SenEvanBayh;;"795543389492146176";https://twitter.com/ggbertsch/status/795543389492146176
belladonna1782;2016-11-07 08:51;0;0;"@chelseahandler @SenEvanBayh Chelsea you accused trump supporters as uneducated and ignorant? I'm highly educated and support Trump!";;@chelseahandler @SenEvanBayh;;"795534178175635456";https://twitter.com/belladonna1782/status/795534178175635456
srauer20;2016-11-07 08:14;0;1;"@frodofied @Karoli @chelseahandler @SenEvanBayh #FireComeyNow";;@frodofied @Karoli @chelseahandler @SenEvanBayh;#FireComeyNow;"795524780594237440";https://twitter.com/srauer20/status/795524780594237440
erikaheidewald;2016-11-07 06:04;0;0;"@SenEvanBayh you didn't twitter at all?! Do you even want to be elected? WHERE ARE YOUR MEMES";;@SenEvanBayh;;"795492189644025857";https://twitter.com/erikaheidewald/status/795492189644025857
erikaheidewald;2016-11-07 06:03;0;0;"@chelseahandler @SenEvanBayh and Shelli Yoder for Congress if you live in Indianas 9th! She's a public servant running against a millionaire";;@chelseahandler @SenEvanBayh;;"795491897972117504";https://twitter.com/erikaheidewald/status/795491897972117504
HeatherRolinski;2016-11-07 05:43;0;0;"@chelseahandler I voted for @SenEvanBayh ! This California girl brought some blue back to Indiana! @SenateDems https:// twitter.com/chelseahandler /status/795465728426020864 …";;@chelseahandler @SenEvanBayh @SenateDems;;"795486824416378880";https://twitter.com/HeatherRolinski/status/795486824416378880
savannastc;2016-11-07 05:39;0;0;"@chelseahandler @SenEvanBayh no way Chelsea. Your joking right?";;@chelseahandler @SenEvanBayh;;"795485827472232448";https://twitter.com/savannastc/status/795485827472232448
