username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
bhappyil;2016-11-08 00:09;0;0;@SenatorKirk In school Kirk (RINO-IL) probably even copied off Dickie Durbin's papers then! pic.twitter.com/ZmbeQFL0Xh;;@SenatorKirk;;7.95765E+17;https://twitter.com/bhappyil/status/795765249416761344;
JohnMurdoch2015;2016-11-07 23:59;0;2;@SenatorKirk @Cubs Looking forward to voting for Tammy Duckworth tomorrow;;@SenatorKirk @Cubs;;7.95763E+17;https://twitter.com/JohnMurdoch2015/status/795762605306642432;
beeinchicago;2016-11-07 23:55;0;0;@SenatorKirk You compared Obama -- the President -- to a drug dealer?? Really??? Can you be any more racist? http://www. chicagotribune.com/news/local/pol itics/ct-mark-kirk-barack-obama-drug-dealer-iran-met-0822-20160821-story.html …;;@SenatorKirk;;7.95762E+17;https://twitter.com/beeinchicago/status/795761741523222533;
Thoughtsnviews;2016-11-07 23:53;0;0;On #ElectionDay voters in #Illinois must vote @SenatorKirk to keep a @GOP Senate to keep the next president in check.;;@SenatorKirk @GOP;#ElectionDay #Illinois;7.95761E+17;https://twitter.com/Thoughtsnviews/status/795761122838282240;
sdroher;2016-11-07 23:38;0;0;@SenatorKirk wants me to support him after his backstabbing of all Rs and supporting #Obama and his policies? #yourenuts;;@SenatorKirk;#Obama #yourenuts;7.95757E+17;https://twitter.com/sdroher/status/795757418328326148;
efairness;2016-11-07 23:37;0;1;"Peoria County, IL is reliant on economic-based revenues."" @SenatorDurbin @SenatorKirk act on #EFairness ! http:// buff.ly/2fUTzP6 pic.twitter.com/f3mMoRTuwM""";;@SenatorDurbin @SenatorKirk;#EFairness;7.95757E+17;https://twitter.com/efairness/status/795756976676466688;
edmarshallcbs2;2016-11-07 23:12;4;1;#ilsen . Final 24 hours. @SenatorKirk in political battle for life. @RepDuckworth . @BlakleyCBS2 at 6p on @cbschicago .;;@SenatorKirk @RepDuckworth @BlakleyCBS2 @cbschicago;#ilsen;7.95751E+17;https://twitter.com/edmarshallcbs2/status/795750819891122176;
UniteWomenIL;2016-11-07 22:55;2;1;#KnowYourCandidates - Illinois U.S. Senate candidates @TammyforIL vs @SenatorKirk http:// ow.ly/rYqk305Stfb #ElectionsMatter pic.twitter.com/HYcXNedFIz;;@TammyforIL @SenatorKirk;#KnowYourCandidates #ElectionsMatter;7.95746E+17;https://twitter.com/UniteWomenIL/status/795746463208837120;
CookCountyGOP;2016-11-07 22:31;3;4;In a Congress that doesn't function, @SenatorKirk has consistently been a voice of solutions for Illinois. Vote @MarkKirk Nov. 8th! #ILSen pic.twitter.com/xV63ytTeWW;;@SenatorKirk @MarkKirk;#ILSen;7.9574E+17;https://twitter.com/CookCountyGOP/status/795740473642123265;
Natale79;2016-11-07 21:31;0;0;Even though I'm a proud #conservative I'm proud to say I voted for @TammyforIL she is a real leader! Time for @SenatorKirk out!;;@TammyforIL @SenatorKirk;#conservative;7.95725E+17;https://twitter.com/Natale79/status/795725399967809540;
ThePaulBrian;2016-11-07 20:55;0;0;1st race called for @RepDuckworth replacing worthless, self-centered backbencher @SenatorKirk who is spending today cleaning out his desk;;@RepDuckworth @SenatorKirk;;7.95716E+17;https://twitter.com/ThePaulBrian/status/795716301520072706;
margaritateresa;2016-11-07 20:24;0;1;@MatthewWVogt @Merlin333 @ananavarro @SenatorKirk @RicksTyler @TheRickWilson and @RadioFreeTom;;@MatthewWVogt @Merlin333 @ananavarro @SenatorKirk @RicksTyler @TheRickWilson @RadioFreeTom;;7.95709E+17;https://twitter.com/margaritateresa/status/795708522608676865;
cuttlefish_chi;2016-11-07 20:17;1;0;@RahmAntics @chicagotribune Thanks @ChicagosMayor @SenatorDurbin @RepMikeQuigley @SenatorKirk @janschakowsky @GovRauner @debmell;;@RahmAntics @chicagotribune @ChicagosMayor @SenatorDurbin @RepMikeQuigley @SenatorKirk @janschakowsky @GovRauner @debmell;;7.95707E+17;https://twitter.com/cuttlefish_chi/status/795706778659024896;
finlwiz;2016-11-07 20:05;4;1;@GenFlynn @SenatorKirk @TammyforIL chicken hawks: Marco Rubio Ted Cruz http:// tinyurl.com/opy3mpq Rick Santorum Chris Christie George Pataki;;@GenFlynn @SenatorKirk @TammyforIL;;7.95704E+17;https://twitter.com/finlwiz/status/795703647095033856;
finlwiz;2016-11-07 19:51;0;0;@TammyforIL http:// tinyurl.com/jn9uw73 http:// tinyurl.com/ht8ze5w @SenatorKirk no racist http:// tinyurl.com/h3cmh2z weak http:// tinyurl.com/hqawkzx;;@TammyforIL @SenatorKirk;;7.957E+17;https://twitter.com/finlwiz/status/795700333892669441;
MatthewWVogt;2016-11-07 19:27;0;1;@Merlin333 @margaritateresa @ananavarro @SenatorKirk @RicksTyler you could also include @TheRickWilson;;@Merlin333 @margaritateresa @ananavarro @SenatorKirk @RicksTyler @TheRickWilson;;7.95694E+17;https://twitter.com/MatthewWVogt/status/795694256031723521;
Merlin333;2016-11-07 19:20;4;3;So right @ananavarro #SteveSchmidt #luciebainesJohnson @SenatorKirk @rickStyler are the last honest republicans https:// twitter.com/margaritateres a/status/795690455241543680 …;;@ananavarro @SenatorKirk @rickStyler;#SteveSchmidt #luciebainesJohnson;7.95692E+17;https://twitter.com/Merlin333/status/795692334872723456;
RiponAdvance;2016-11-07 19:00;1;1;. @SenatorKirk and @RoyBlunt defend National Guard by urging @DeptofDefense to restore bonuses https:// riponadvance.com/stories/kirk-b lunt-defend-national-guard-urging-dod-restore-bonuses/ …;;@SenatorKirk @RoyBlunt @DeptofDefense;;7.95687E+17;https://twitter.com/RiponAdvance/status/795687272909656064;
SCMAssociates;2016-11-07 16:56;0;0;We cannot afford to turn back the Senate majority to the Democrats. Good luck tomorrow, Senators Mark Kirk @SenatorKirk & Ron @RonJohnsonWI;;@SenatorKirk @RonJohnsonWI;;7.95656E+17;https://twitter.com/SCMAssociates/status/795656134375960577;
Julie_Jensen;2016-11-07 16:10;3;2;Everyone is at risk for #Alzheimers be everyone has a brain. We need to #endalz @SenatorKirk #AlzIllinois;;@SenatorKirk;#Alzheimers #endalz #AlzIllinois;7.95645E+17;https://twitter.com/Julie_Jensen/status/795644561582411777;
NoThiefs;2016-11-07 14:03;0;0;#Senate US Rep. Tammy Duckworth, Sen. Mark Kirk clash in final senate debate http:// dlvr.it/McL2tY SenatorKirk NTA•NEWS;;;#Senate;7.95613E+17;https://twitter.com/NoThiefs/status/795612742082293760;
polandmary21;2016-11-07 14:03;0;1;BI partisan what @nrcc @nrsc @RepDold @SenatorKirk ? #WeThePeople HOLD #GOP #teaparty in CONTEMPT pic.twitter.com/KrOzQMeLzG;;@nrcc @nrsc @RepDold @SenatorKirk;#WeThePeople #GOP #teaparty;7.95613E+17;https://twitter.com/polandmary21/status/795612642983415812;
wlsam890;2016-11-07 12:53;1;1;Kirk participates in stair climb at Willis Tower http:// bit.ly/2fTgj1Z Congrats to @SenatorKirk & all who climbed the tower!;;@SenatorKirk;;7.95595E+17;https://twitter.com/wlsam890/status/795594921596035072;
tageborkoff;2016-11-07 09:31;0;0;@SenatorKirk , another one injured by guns in Chicago (Englewood) today. What will you do about it? http://www. fox32chicago.com/news/crime/215 919427-story … #shootatweet;;@SenatorKirk;#shootatweet;7.95544E+17;https://twitter.com/tageborkoff/status/795544245352484864;
NoThiefs;2016-11-07 05:23;0;0;#Senate Kirk, Duckworth recall personal triumphs in late Senate push http:// dlvr.it/McBs8y SenatorKirk NTA•NEWS;;;#Senate;7.95482E+17;https://twitter.com/NoThiefs/status/795481711538749440;
Tbone295;2016-11-07 03:31;0;0;How do you feel about this situation? @SenatorKirk @RepDuckworth @TammyforIL @RepShimkus https:// twitter.com/TheYoungTurks/ status/795445692852355072 …;;@SenatorKirk @RepDuckworth @TammyforIL @RepShimkus;;7.95454E+17;https://twitter.com/Tbone295/status/795453679994290176;
Lornanogmo;2016-11-07 02:00;2;1;. @Potus http://www. flushthetpp.org/tufts-univ-rep ort-tpp-means-inequality-lost-jobs-lower-wages/ … #StopTPPNow #StopTPP #Peopleoverprofits #NoLameDuckUprising #riggedDeal #TPPANoWay @RepCheri @SenatorKirk pic.twitter.com/OEQ2FbKDgu;;@Potus @RepCheri @SenatorKirk;#StopTPPNow #StopTPP #Peopleoverprofits #NoLameDuckUprising #riggedDeal #TPPANoWay;7.95431E+17;https://twitter.com/Lornanogmo/status/795430693471801345;
NETRetired;2016-11-07 01:07;0;0;#DeadBeatDad #JoeWalsh n #BasketOfTrumpDeplorables ...sound like narcissistic Trump. @SenatorKirk w/b beat by same girl.. beat u @TammyforIL ! https:// twitter.com/walshfreedom/s tatus/795081498693169152 …;;@SenatorKirk @TammyforIL;#DeadBeatDad #JoeWalsh #BasketOfTrumpDeplorables;7.95417E+17;https://twitter.com/NETRetired/status/795417427664314368;
TheJamesFuller;2016-11-06 23:28;0;0;#Election2016 recap: @SenatorKirk , @TammyforIL race key to determining Senate control. http://www. dailyherald.com/article/201611 06/news/161109211/ … via @dailyherald;;@SenatorKirk @TammyforIL @dailyherald;#Election2016;7.95393E+17;https://twitter.com/TheJamesFuller/status/795392524282195968;
