username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NETRetired;2016-11-08 00:23;0;0;"Send off of love 4 @POTUS w/b 2 vote: @HillaryClinton @KamalaHarris @TammyforIL @KatieMcGintyPA @pattyforiowa etc pic.twitter.com/Pq9WmCLeM0";;@POTUS @HillaryClinton @KamalaHarris @TammyforIL @KatieMcGintyPA @pattyforiowa;;"795768779481481216";https://twitter.com/NETRetired/status/795768779481481216
PeggyBrava;2016-11-08 00:15;6;7;"Good luck tomorrow: @kharyp @EvanBayh @TammyforIL @Maggie_Hassan @DeborahRossNC @GreggForGov @Schneider4IL10 @timkaine @HillaryClinton !!!!!";;@kharyp @EvanBayh @TammyforIL @Maggie_Hassan @DeborahRossNC @GreggForGov @Schneider4IL10 @timkaine @HillaryClinton;;"795766651731984385";https://twitter.com/PeggyBrava/status/795766651731984385
gymscoop;2016-11-08 00:06;7;5;"@Moo57556470 @TomiBaird @FlipItDem @TammyforIL pic.twitter.com/MMTOiYcIh5";;@Moo57556470 @TomiBaird @FlipItDem @TammyforIL;;"795764429816209408";https://twitter.com/gymscoop/status/795764429816209408
BrextonIsaacs;2016-11-08 00:01;3;3;"Already voted for @HillaryClinton @TammyforIL & @susanamendoza10 (would have voted for @CheriBustos if I could) - go vote, Illinois! #ILSen https:// twitter.com/Madam_Presiden t/status/795758731824951300 …";;@HillaryClinton @TammyforIL @susanamendoza10 @CheriBustos;#ILSen;"795763066189258752";https://twitter.com/BrextonIsaacs/status/795763066189258752
politico_chris;2016-11-07 23:55;0;0;"@dscc will be victorious in #ilsen . @TammyforIL is likeliest Democratic candidate to be elected. @MarkKirk never had chance in deep-blue IL.";;@dscc @TammyforIL @MarkKirk;#ilsen;"795761554390126592";https://twitter.com/politico_chris/status/795761554390126592
TammyforIL;2016-11-07 23:37;19;29;"At the Casa Maravilla Senior Center this afternoon in Chicago #ILSEN pic.twitter.com/y2cwi69xN7";;;#ILSEN;"795757044024410112";https://twitter.com/TammyforIL/status/795757044024410112
igob4u2;2016-11-07 23:35;24;27;"G V TE ILLINOIS TAMMY DUCKWORTH 4 SENATE MUST WIN @TammyforIL @FlipItDem FLIP SENATE BLUE & Madame POTUS Dem Majority CRUSH Mark KIRK pic.twitter.com/xIyV8lWcWH";;@TammyforIL @FlipItDem;;"795756555425710081";https://twitter.com/igob4u2/status/795756555425710081
cp2austin;2016-11-07 23:15;2;3;"@TammyforIL (D) is the candidate that supports #EqualPay for Women in Illinois! (not Kirk)";;@TammyforIL;#EqualPay;"795751597016023045";https://twitter.com/cp2austin/status/795751597016023045
JEFSantaMonica;2016-11-07 23:02;0;0;"SENATE - ILLINOIS - @TammyforIL Tammy Duckworth helps gives the Senate back. Want sensible gun legislation? WE NEED THE SENATE!";;@TammyforIL;;"795748304374079489";https://twitter.com/JEFSantaMonica/status/795748304374079489
conniewhitehome;2016-11-07 22:56;1;1;"#GOTV For change in Washington #FlipItDem @TammyForIL @KatieMcGintyPA @DeborahRossNC @JadonKander @IlhanOmar @pattyforiowa @russfeingold";;@TammyForIL @KatieMcGintyPA @DeborahRossNC @JadonKander @IlhanOmar @pattyforiowa @russfeingold;#GOTV #FlipItDem;"795746724291706881";https://twitter.com/conniewhitehome/status/795746724291706881
UniteWomenIL;2016-11-07 22:55;2;1;"#KnowYourCandidates - Illinois U.S. Senate candidates @TammyforIL vs @SenatorKirk http:// ow.ly/rYqk305Stfb #ElectionsMatter pic.twitter.com/HYcXNedFIz";;@TammyforIL @SenatorKirk;#KnowYourCandidates #ElectionsMatter;"795746463208837120";https://twitter.com/UniteWomenIL/status/795746463208837120
Moo57556470;2016-11-07 22:51;54;49;"Elect TAMMY DUCKWORTH to the Senate in Illinois and put WashingtonDC back to work for the people. #FlipItDem @FlipItDem @TammyforIL pic.twitter.com/nxkOrLfA1B";;@FlipItDem @TammyforIL;#FlipItDem;"795745601480572928";https://twitter.com/Moo57556470/status/795745601480572928
