username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sites_kathy;2016-11-08 00:27;0;1;"@Ted_Strickland @59carjacgln It is about time we caught up with the rest of the world in recognizing the innate strength of females. #ImWithHillary";;@Ted_Strickland @59carjacgln;#ImWithHillary;"795769765348474881";https://twitter.com/sites_kathy/status/795769765348474881
politico_chris;2016-11-08 00:17;0;1;"Portman ran best campaign of the cycle of any Republican. #ohsen candidate @Ted_Strickland ran weak, ineffective campaign. Portman wins.";;@Ted_Strickland;#ohsen;"795767116280565761";https://twitter.com/politico_chris/status/795767116280565761
amyfreyfloch;2016-11-08 00:17;2;1;"#GoHillary #OH #Ohio @Ted_Strickland #OhSen #UT #MO @JasonKander #NC #FL #Florida #PA #NH #NV #NVSen #CO #AZ #WI #MI #VA #Undecideds #WY https:// twitter.com/nobarriers2016 /status/795755696730017792 …";;@Ted_Strickland @JasonKander;#GoHillary #OH #Ohio #OhSen #UT #MO #NC #FL #Florida #PA #NH #NV #NVSen #CO #AZ #WI #MI #VA #Undecideds #WY;"795767071497998336";https://twitter.com/amyfreyfloch/status/795767071497998336
amyfreyfloch;2016-11-08 00:01;1;1;"#VoteOutGOP #MillenialsDecide16 #MillenialsSpeak @NobelWomen1 @BlackYouthVote #OrangeHitler #undecideds #OhSen #OH #OHIO @TedStrickland #NV https:// twitter.com/nobarriers2016 /status/795755696730017792 …";;@NobelWomen1 @BlackYouthVote @TedStrickland;#VoteOutGOP #MillenialsDecide16 #MillenialsSpeak #OrangeHitler #undecideds #OhSen #OH #OHIO #NV;"795763075932688384";https://twitter.com/amyfreyfloch/status/795763075932688384
cp2austin;2016-11-07 23:09;2;1;"@Ted_Strickland is the candidate that supports #EqualPay for Women in Ohio! (not Portman!)";;@Ted_Strickland;#EqualPay;"795750161649696770";https://twitter.com/cp2austin/status/795750161649696770
govolx;2016-11-07 23:05;0;0;"Ted Strickland : "I'm for working people"...saw that guy trying on $1500 suits at Nordstrom's in June";;;;"795748917166088196";https://twitter.com/govolx/status/795748917166088196
HappyChichester;2016-11-07 23:04;1;1;"@robportman @Ted_Strickland A vote for Rob is a vote to impose upon our children the costs of climate chaos: https://www. washingtonpost.com/posteverything /wp/2016/09/16/deniers-club-meet-the-people-clouding-the-climate-change-debate/ …";;@robportman @Ted_Strickland;;"795748709514539008";https://twitter.com/HappyChichester/status/795748709514539008
hominidviews;2016-11-07 22:51;0;0;"New Emerson OH Senate poll: Sen Rob Portman (R) 48.8%, Ted Strickland (D) 28.3. Portman in safe in OH. http:// media.wix.com/ugd/3bebb2_4c9 5f9bb0b874960a67b0cb7c019efd8.pdf … pic.twitter.com/atk4NtAP84";;;;"795745459666989056";https://twitter.com/hominidviews/status/795745459666989056
NewElectionOnly;2016-11-07 22:40;2;0;"Free Child Care on Election Day Nov 8 Check with Local YMCA for participation. @CatherineForNV @HillaryforOH @OHDems @Ted_Strickland pic.twitter.com/EQCRNuktmN";;@CatherineForNV @HillaryforOH @OHDems @Ted_Strickland;;"795742746665324545";https://twitter.com/NewElectionOnly/status/795742746665324545
tengkds;2016-11-07 22:27;0;1;"Saw the @Ted_Strickland ad with Obama. Obama didn't live in Ohio and see the truth. One lies, the other swears to it. Vote @senrobportman";;@Ted_Strickland @senrobportman;;"795739499317915648";https://twitter.com/tengkds/status/795739499317915648
robportman;2016-11-07 22:00;2;2;"Rob is endorsed by every major Ohio newspaper -- including four newspapers that previously endorsed @Ted_Strickland ! #ohsen pic.twitter.com/U5pHBC7Hco";;@Ted_Strickland;#ohsen;"795732575020990477";https://twitter.com/robportman/status/795732575020990477
OliviaNewbold_;2016-11-07 21:49;16;28;"I am proud to cast my vote for @Ted_Strickland tomorrow. #StudentsVote https://www. youtube.com/watch?v=0GWtdJ jJmvM&feature=youtu.be …";;@Ted_Strickland;#StudentsVote;"795729996270735360";https://twitter.com/OliviaNewbold_/status/795729996270735360
MamaMilkSD;2016-11-07 21:43;3;14;"Calling voters all day! Let's do this @MomsDemand @shannonrwatts #GunSense @ApplegateCA49 @JasonKander @Ann_Kirkpatrick @Ted_Strickland pic.twitter.com/uETYGhrqx8";;@MomsDemand @shannonrwatts @ApplegateCA49 @JasonKander @Ann_Kirkpatrick @Ted_Strickland;#GunSense;"795728336135651328";https://twitter.com/MamaMilkSD/status/795728336135651328
denisesaturn;2016-11-07 21:32;1;3;"@Ted_Strickland I was there today helping you & all Dems down ticket get elected #OhSen #OHHillYes #OHVotesEarly #StrongerTogether pic.twitter.com/xxhVHvrx7e";;@Ted_Strickland;#OhSen #OHHillYes #OHVotesEarly #StrongerTogether;"795725756781494272";https://twitter.com/denisesaturn/status/795725756781494272
jrbrunner13;2016-11-07 21:29;0;1;"Ted Strickland for senate";;;;"795724900136796164";https://twitter.com/jrbrunner13/status/795724900136796164
jasonahart;2016-11-07 21:29;2;5;"Hey remember when @Ted_Strickland supported the 2nd Amendment, before losing in 2010 and running left for that sweet @CAPAction gig? https:// twitter.com/savethedayvote /status/795701130999238656 …";;@Ted_Strickland @CAPAction;;"795724814589759488";https://twitter.com/jasonahart/status/795724814589759488
igob4u2;2016-11-07 20:50;21;16;"G V TE OHI TED STRICKLAND 4 SENATE MUST WIN @Ted_Strickland @FlipItDem FLIP SENATE BLUE & Madame POTUS Dem Majority CRUSH Rob PORTMAN pic.twitter.com/RdFwZMxCTD";;@Ted_Strickland @FlipItDem;;"795715175261282308";https://twitter.com/igob4u2/status/795715175261282308
Ted_Strickland;2016-11-07 20:23;38;60;"This is the most important election in our lifetimes. Stay in line! Make sure your voice is counted! #OhSen pic.twitter.com/vSkuyIUHRo";;;#OhSen;"795708254370353152";https://twitter.com/Ted_Strickland/status/795708254370353152
Ted_Strickland;2016-11-07 20:20;23;44;"Stopped by the Franklin County Board of Elections today. Thank you everyone for voting! #OhSen pic.twitter.com/MVtRf8iFsv";;;#OhSen;"795707437311492096";https://twitter.com/Ted_Strickland/status/795707437311492096
demVoices;2016-11-07 20:14;1;0;". @Ted_Strickland counseling two Ohioans who had issues casting their ballots on the final day of early voting, outside the @FranklinCoBOE pic.twitter.com/aOO8mBP8C3";;@Ted_Strickland @FranklinCoBOE;;"795705949000519680";https://twitter.com/demVoices/status/795705949000519680
