username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
_CodyMorris_;2016-11-08 00:55;4;14;"Everyday I walk into the office with this hanging up on the door. It gets me extra pumped to elect @ToddYoungIN tomorrow. pic.twitter.com/4a3JzPsXSE";;@ToddYoungIN;;"795776700005158912";https://twitter.com/_CodyMorris_/status/795776700005158912
TomCottonAR;2016-11-08 00:24;19;36;"Rallying volunteers in Indianapolis for @ToddYoungIN . This election is in your hands; get out and vote! pic.twitter.com/n5PuM8MPbn";;@ToddYoungIN;;"795768852386902016";https://twitter.com/TomCottonAR/status/795768852386902016
sully0827_jim;2016-11-08 00:20;6;8;"Vote for @HolcombForIN and @ToddYoungIN and @CurtisHill_IN ! Put good Hoosier values to for you! A winning team #INSen #Election2016";;@HolcombForIN @ToddYoungIN @CurtisHill_IN;#INSen #Election2016;"795767838338334720";https://twitter.com/sully0827_jim/status/795767838338334720
nrlc;2016-11-08 00:15;12;14;"Polls show a close race in Indiana! We're proud to stand with @ToddYoungIN : http:// bit.ly/2fUrg3m #INSen pic.twitter.com/b8AHHY6mTX";;@ToddYoungIN;#INSen;"795766585164263424";https://twitter.com/nrlc/status/795766585164263424
Erin_Houchin;2016-11-08 00:10;8;34;"E is wearing this to school to support her fav candidates! @ToddYoungIN @HolcombForIN @suptdrmccormick @indgop pic.twitter.com/HV59zDTBGo";;@ToddYoungIN @HolcombForIN @suptdrmccormick @indgop;;"795765370527293440";https://twitter.com/Erin_Houchin/status/795765370527293440
politico_chris;2016-11-08 00:04;0;1;"@ToddYoungIN strategy of keeping #insen about Bayh was very effective. The race narrowed very quickly. But, Bayh has small edge.";;@ToddYoungIN;#insen;"795763819977048065";https://twitter.com/politico_chris/status/795763819977048065
MDSmith1824;2016-11-07 23:54;0;0;"Did ANYBODY not know that @ToddYoungIN was a Marine by now?!?! They've obviously lowered their standards!";;@ToddYoungIN;;"795761432906305536";https://twitter.com/MDSmith1824/status/795761432906305536
GOPAlert2017;2016-11-07 23:47;1;0;"Indiana, you have given @EvanBayh many chances and he has continually failed you. It's time for a change, vote for @ToddYoungIN !";;@EvanBayh @ToddYoungIN;;"795759628776771588";https://twitter.com/GOPAlert2017/status/795759628776771588
LeeCDinDC;2016-11-07 23:44;14;14;"This is how you define your opponent using @google Kudos @ToddYoungIN and @cavalry pic.twitter.com/WgFXZyoZtH";;@google @ToddYoungIN @cavalry;;"795758804994494464";https://twitter.com/LeeCDinDC/status/795758804994494464
ConservaTibbs;2016-11-07 23:35;0;0;"ICYMI #Carpetbagger #EvanBayh does not even know his "home address" in Indiana. Vote for a true Hoosier, vote for @ToddYoungIN ! #NeverBayh";;@ToddYoungIN;#Carpetbagger #EvanBayh #NeverBayh;"795756513952432128";https://twitter.com/ConservaTibbs/status/795756513952432128
