username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jimbarksdale;2016-11-08 00:34;5;8;"Isakson’s supported by the deep pockets of a few wealthy donors, while we’re funded by thousands of small-dollar individual contributions.";;;;"795771316553052160";https://twitter.com/jimbarksdale/status/795771316553052160
beerscouts;2016-11-08 00:16;5;3;"Get rid of Isakson, he's lost touch with reality! @VlanTrunk @ohohyeah @jimbarksdale pic.twitter.com/c9vypK37wu";;@VlanTrunk @ohohyeah @jimbarksdale;;"795766888710152192";https://twitter.com/beerscouts/status/795766888710152192
VlanTrunk;2016-11-08 00:02;1;0;"Term Limit reached for Johnny Isakson. Time for change in GA elect @jimbarksdale pic.twitter.com/EWBu82QrAT";;@jimbarksdale;;"795763417068011520";https://twitter.com/VlanTrunk/status/795763417068011520
elenaparent;2016-11-08 00:01;1;1;". @GeorgiaDemocrat GOTV phonebank. Time to vote! @staceyabrams @SenSteveHenson @jimbarksdale @DPGChair @RepBilly #gapol #ImWithHer pic.twitter.com/YYCm3a46pA";;@GeorgiaDemocrat @staceyabrams @SenSteveHenson @jimbarksdale @DPGChair @RepBilly;#gapol #ImWithHer;"795763139220541440";https://twitter.com/elenaparent/status/795763139220541440
VlanTrunk;2016-11-08 00:01;3;1;"Johnny Isakson do tell whats your plan for Job growth in Georgia. He calls it Right to Work. Time for change in GA elect @jimbarksdale pic.twitter.com/H77JWIcdOz";;@jimbarksdale;;"795763104990773248";https://twitter.com/VlanTrunk/status/795763104990773248
VlanTrunk;2016-11-07 23:27;1;0;"Tell Johnny Isakson to stop using scare tactics about Social Security. Its my Damn Money keep your hands off. GA elect @jimbarksdale pic.twitter.com/bMhmncWlip";;@jimbarksdale;;"795754661215080449";https://twitter.com/VlanTrunk/status/795754661215080449
jimbarksdale;2016-11-07 23:20;1;5;"This little guy pulls off the cap look better than I do! pic.twitter.com/IlLNff4VSD";;;;"795752705964830720";https://twitter.com/jimbarksdale/status/795752705964830720
NewElectionOnly;2016-11-07 22:38;0;0;"Free Child Care on Election Day Nov 8 Check with Local YMCA for participation. @HillaryForGA @jimbarksdale @HillaryforIN @EvanBayh pic.twitter.com/7CZThfqJSe";;@HillaryForGA @jimbarksdale @HillaryforIN @EvanBayh;;"795742228639457280";https://twitter.com/NewElectionOnly/status/795742228639457280
LarryZani;2016-11-07 22:05;0;0;"@jimbarksdale pic.twitter.com/1UCq6A6QS3";;@jimbarksdale;;"795734059355926528";https://twitter.com/LarryZani/status/795734059355926528
jimbarksdale;2016-11-07 22:02;2;4;"Character matters, as Jowand Brown found out. Discover why he’s with Jim. #ImWithJim http:// politics.blog.ajc.com/2016/11/05/sen ate-candidate-jim-barksdale-looks-to-solidify-african-american-support-ahead-of-election/ …";;;#ImWithJim;"795733066060824577";https://twitter.com/jimbarksdale/status/795733066060824577
