username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
GKJill;2016-11-08 00:57;1;1;@Jas0n_T @HappyChichester @senrobportman I have no questions for you. http://www. snopes.com/fbi-warned-abo ut-white-supremacists/ …;;@Jas0n_T @HappyChichester @senrobportman;;7.95777E+17;https://twitter.com/GKJill/status/795777316613984256
GKJill;2016-11-08 00:56;1;1;@HappyChichester Yup Tweet #NRA / #gunsense & dumb ppl will pop up @senrobportman fails Ohio’s students, educators http://www. advertiser-tribune.com/opinions/lette rs-to-the-editor/2016/09/portman-fails-ohio-s-students-educators/ …;;@HappyChichester @senrobportman;#NRA #gunsense;7.95777E+17;https://twitter.com/GKJill/status/795777015987261440
HappyChichester;2016-11-08 00:46;1;1;@GKJill @senrobportman ..and here come the frightened gun fetishists to warn us about Obama taking their toys away. #NRA #ShowOfWeakness;;@GKJill @senrobportman;#NRA #ShowOfWeakness;7.95774E+17;https://twitter.com/HappyChichester/status/795774338536448000
HappyChichester;2016-11-08 00:42;1;0;@GKJill @senrobportman Rob Portman's is the most expensive bought Senate seat in congress. Selling shit sandwiches: http://www. politifact.com/ohio/statement s/2016/jul/28/sherrod-brown/are-koch-backed-groups-spending-most-ohio-senate-r/ …;;@GKJill @senrobportman;;7.95773E+17;https://twitter.com/HappyChichester/status/795773376170180608
HappyChichester;2016-11-08 00:40;1;0;@GKJill @senrobportman The #KochBros have spent at least $8 million for Portman. Dark $, 501c4, & other campaign support is record breaking.;;@GKJill @senrobportman;#KochBros;7.95773E+17;https://twitter.com/HappyChichester/status/795772894529912833
grassfed_butter;2016-11-08 00:37;0;6;True. If you believe in civil rights, you should definitely avoid Democrats. #gunsense @HappyChichester @GKJill @senrobportman;;@HappyChichester @GKJill @senrobportman;#gunsense;7.95772E+17;https://twitter.com/grassfed_butter/status/795772095179423744
GKJill;2016-11-08 00:22;2;2;How much $$$$$ did the #kochbrothers give @senrobportman this campaign cycle? How about the #NRA ? @HappyChichester;;@senrobportman @HappyChichester;#kochbrothers #NRA;7.95768E+17;https://twitter.com/GKJill/status/795768354690703364
RafaelMerrydel1;2016-11-07 23:45;0;1;So tired of anti-Trumpers. @senrobportman just called on behalf of @DaveGreenspan . Now won't vote for either of them. #MAGA;;@senrobportman @DaveGreenspan;#MAGA;7.95759E+17;https://twitter.com/RafaelMerrydel1/status/795759093717811202
wonstap;2016-11-07 23:43;0;0;@senrobportman Tell your Union supporters how you voted to Fast Track TPP https:// twitter.com/nancysuzyq/sta tus/795755687456358401 …;;@senrobportman;;7.95759E+17;https://twitter.com/wonstap/status/795758513083600900
wonstap;2016-11-07 23:38;1;0;@senrobportman This is what you voted to Fast Track? #NoTPP https:// twitter.com/SusanStopsongs /status/795740798163689472 …;;@senrobportman;#NoTPP;7.95757E+17;https://twitter.com/wonstap/status/795757262778339329
