username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AarSim;2016-11-07 23:21;0;1;"Also #Kansas , please get out and vote @wiesner4senate . We've gotta get @JerryMoran outta the Senate and guns outta the hands of terrorists.";;@wiesner4senate @JerryMoran;#Kansas;"795753190184615936";https://twitter.com/AarSim/status/795753190184615936
laurenappelbaum;2016-11-07 05:15;0;0;"Thank you @wiesner4senate for completing the #PwDsVote questionnaire! http:// bit.ly/PwDsVoteWiesner #KSsen";;@wiesner4senate;#PwDsVote #KSsen;"795479646863142912";https://twitter.com/laurenappelbaum/status/795479646863142912
UWCampus;2016-11-05 23:15;0;1;"#KnowYourCandidates - Kansas U.S. Senate candidates @wiesner4senate vs @moranforkansas http:// ow.ly/FHAq305qpU2 #ElectionsMatter pic.twitter.com/bxndPJ4FtD";;@wiesner4senate @moranforkansas;#KnowYourCandidates #ElectionsMatter;"795026692507058177";https://twitter.com/UWCampus/status/795026692507058177
danielgullo;2016-11-02 20:26;0;0;"#Fact : wiesner4senate will NOT defend your #2A rights! http:// nr2a.org/U3 #Kansas #KSSen https://twitter.com/NRA/status/793897046986063873/photo/1 pic.twitter.com/3onncXu9rx";;;#Fact #2A #Kansas #KSSen;"793897121074311172";https://twitter.com/danielgullo/status/793897121074311172
lgrobin62;2016-10-31 00:14;1;0;"3) Turn the Senate Blue - The US Supreme Court Is On The Line! Vote @Maggie_Hassan (NH); @KatieMcGintyPA @CampbellforLa @wiesner4senate (KS)";;@Maggie_Hassan @KatieMcGintyPA @CampbellforLa @wiesner4senate;;"792867179041390592";https://twitter.com/lgrobin62/status/792867179041390592
wiesner4senate;2016-10-26 16:21;0;0;"@femmekatz I will inform the lobbyists the party is over. Their clients will now have to compete in the private sector for business.";;@femmekatz;;"791283602730414080";https://twitter.com/wiesner4senate/status/791283602730414080
RobertJKeith;2016-10-26 01:04;0;0;". @wiesner4senate : if elected, what will you do to #FightBigMoney ? http://www. whowillfightbigmoney.org/Kansas?SEN";;@wiesner4senate;#FightBigMoney;"791052932229701632";https://twitter.com/RobertJKeith/status/791052932229701632
wiesner4senate;2016-10-21 22:59;0;0;"@wuzupbecky Rebecca, I didn't make any reference to "Fixing Immigration" in the "On Time and Surplus Budgets" Section";;@wuzupbecky;;"789571764191911936";https://twitter.com/wiesner4senate/status/789571764191911936
wuzupbecky;2016-10-21 21:30;0;0;"@wiesner4senate Can you expound on the statement "Fixing immigration?" in the "Surplus Budgets" section of your website?";;@wiesner4senate;;"789549343200059392";https://twitter.com/wuzupbecky/status/789549343200059392
newspressnow;2016-10-19 04:09;0;0;". @wiesner4senate does not excuse either party from their fiscal excesses in Congress. http:// npnow.news/2eDmO9z?utm_me dium=social&utm_source=twitter_newspressnow …";;@wiesner4senate;;"788562722870874112";https://twitter.com/newspressnow/status/788562722870874112
