# day;month;sum;weight;mean
11.0;9.0;1.6;5.0;0.32
9.0;9.0;0.268181818182;3.0;0.0893939393939
7.0;9.0;-0.5;1.0;-0.5
6.0;9.0;0.0178571428571;1.0;0.0178571428571
5.0;9.0;3.51666666667;11.0;0.319696969697
2.0;9.0;-0.031818181818;2.0;-0.015909090909
1.0;9.0;0.983333333333;3.0;0.327777777778
31.0;8.0;0.775;2.0;0.3875
30.0;8.0;1.5;2.0;0.75
27.0;8.0;1.0;1.0;1.0
26.0;8.0;-0.0111111111111;1.0;-0.0111111111111
23.0;8.0;0.7;2.0;0.35
22.0;8.0;1.31111111111;3.0;0.437037037037
21.0;8.0;0.833333333334;2.0;0.416666666667
18.0;8.0;-0.1;1.0;-0.1
17.0;8.0;0.3;2.0;0.15
16.0;8.0;-0.583333333333;2.0;-0.291666666666
15.0;8.0;-1.0;1.0;-1.0
14.0;8.0;0.05;1.0;0.05
12.0;8.0;2.4;3.0;0.8
11.0;8.0;0.5;1.0;0.5
10.0;8.0;0.392857142857;1.0;0.392857142857
9.0;8.0;0.817195767196;2.0;0.408597883598
8.0;8.0;1.37916666667;4.0;0.344791666667
7.0;8.0;0.9;3.0;0.3
6.0;8.0;-0.25;1.0;-0.25
5.0;8.0;0.8;1.0;0.8
