# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;192.292600485;625.0;0.307668160776
6;11;18.181394897;131.0;0.138789274023
5;11;493.716036165;1945.0;0.253838579005
4;11;281.767197035;656.0;0.429523166212
3;11;140.486721376;302.0;0.465187819126
2;11;38.837749981;254.0;0.152904527484
1;11;127.413546167;431.0;0.295623076954
31;10;102.753864538;250.0;0.411015458152
30;10;47.108690788;134.0;0.35155739394
29;10;140.134523822;175.0;0.800768707554
28;10;40.982467549;137.0;0.299142098898
27;10;83.298295454;406.0;0.205168215404
26;10;43.35535715;111.0;0.390588803153
25;10;42.82012986;116.0;0.369139050517
24;10;0.435568157;327.0;0.00133201271254
23;10;80.443993495;239.0;0.336585746841
22;10;35.209732144;129.0;0.272943660031
21;10;168.317460327;391.0;0.430479438176
20;10;31.2441829;157.0;0.199007534395
19;10;86.148753603;652.0;0.132129990189
18;10;0.0;0.0;0.0
17;10;0.0;0.0;0.0
16;10;0.0;0.0;0.0
15;10;0.0;0.0;0.0
14;10;120.3125;154.0;0.78125
13;10;0.0;0.0;0.0
12;10;0.0;0.0;0.0
11;10;0.0;0.0;0.0
10;10;0.0;0.0;0.0
9;10;0.0;0.0;0.0
8;10;0.0;0.0;0.0
7;10;0.0;0.0;0.0
6;10;0.0;0.0;0.0
5;10;0.0;0.0;0.0
4;10;0.0;0.0;0.0
3;10;0.0;0.0;0.0
2;10;0.0;0.0;0.0
1;10;0.0;0.0;0.0
30;9;0.0;0.0;0.0
29;9;0.0;0.0;0.0
28;9;0.0;0.0;0.0
27;9;0.0;0.0;0.0
26;9;0.0;0.0;0.0
25;9;0.0;0.0;0.0
24;9;0.0;0.0;0.0
23;9;0.0;0.0;0.0
22;9;0.0;0.0;0.0
21;9;0.0;0.0;0.0
20;9;0.0;0.0;0.0
19;9;0.0;0.0;0.0
18;9;0.0;0.0;0.0
17;9;0.0;0.0;0.0
16;9;0.0;0.0;0.0
15;9;0.0;0.0;0.0
14;9;0.0;0.0;0.0
13;9;0.0;0.0;0.0
12;9;0.0;0.0;0.0
11;9;0.0;0.0;0.0
10;9;0.0;0.0;0.0
9;9;0.0;0.0;0.0
8;9;5813.50973613;12099.0;0.480495060429
