# day;month;sum;weight;mean
7.0;11.0;47.7035714286;94.0;0.507484802432
6.0;11.0;25.071875;64.0;0.391748046875
5.0;11.0;33.353030303;64.0;0.521141098485
4.0;11.0;14.75;33.0;0.44696969697
3.0;11.0;54.494949495;138.0;0.394890938369
2.0;11.0;30.525;50.0;0.6105
1.0;11.0;-1.67272727273;50.0;-0.0334545454545
31.0;10.0;14.5100108225;39.0;0.372051559552
30.0;10.0;58.4459090909;129.0;0.45306906272
29.0;10.0;2.85625;9.0;0.317361111111
28.0;10.0;23.4333333333;59.0;0.397175141243
27.0;10.0;20.6999242424;48.0;0.431248421717
26.0;10.0;40.5430976431;98.0;0.413705077991
25.0;10.0;51.8664141414;168.0;0.308728655604
24.0;10.0;18.8550121753;73.0;0.258287838018
23.0;10.0;17.7571428571;68.0;0.261134453782
22.0;10.0;11.4587301587;33.0;0.347234247234
21.0;10.0;7.92916666667;20.0;0.396458333333
20.0;10.0;3.81539285714;25.0;0.152615714286
19.0;10.0;2.99628427129;29.0;0.103320147286
18.0;10.0;26.1458333333;86.0;0.304021317829
17.0;10.0;17.6002705628;81.0;0.217287290899
16.0;10.0;90.0;122.0;0.737704918033
15.0;10.0;36.9613636364;106.0;0.348692109777
14.0;10.0;13.675;37.0;0.369594594595
13.0;10.0;26.7556818182;123.0;0.217525868441
12.0;10.0;47.6493746993;172.0;0.277031248252
11.0;10.0;5.96331168831;24.0;0.248471320346
10.0;10.0;115.246673882;263.0;0.438200280919
9.0;10.0;12.2638888889;55.0;0.22297979798
8.0;10.0;27.6;63.0;0.438095238095
7.0;10.0;23.5474747475;55.0;0.4281359045
6.0;10.0;-6.84750631314;97.0;-0.0705928485891
5.0;10.0;14.0087121212;103.0;0.136006913798
4.0;10.0;1.35454545455;9.0;0.150505050505
3.0;10.0;22.2738636364;50.0;0.445477272727
2.0;10.0;48.6;50.0;0.972
1.0;10.0;1.85;15.0;0.123333333333
30.0;9.0;10.7468344156;51.0;0.210722243443
29.0;9.0;16.0104662698;129.0;0.124112141627
28.0;9.0;-0.289157647926;274.0;-0.00105531988294
27.0;9.0;14.0776461039;104.0;0.135361981768
26.0;9.0;27.6302128427;142.0;0.194578963681
25.0;9.0;15.5361111111;35.0;0.443888888889
24.0;9.0;16.3688151042;108.0;0.151563102816
23.0;9.0;39.3943181818;108.0;0.364762205387
22.0;9.0;-4.61005952381;141.0;-0.0326954576157
21.0;9.0;86.7674603175;237.0;0.3661074275
20.0;9.0;40.9777777778;160.0;0.256111111111
19.0;9.0;7.36707070707;51.0;0.144452366805
18.0;9.0;32.9179545455;56.0;0.587820616883
17.0;9.0;42.55;97.0;0.438659793814
16.0;9.0;37.5842532467;179.0;0.209967895233
15.0;9.0;84.7988873106;347.0;0.244377196861
14.0;9.0;51.9672619048;200.0;0.259836309524
13.0;9.0;64.6372294372;104.0;0.621511821512
12.0;9.0;87.9514880952;187.0;0.470328813344
11.0;9.0;97.9070707071;205.0;0.477595466864
10.0;9.0;1.585;20.0;0.0792499999999
9.0;9.0;17.942511655;70.0;0.256321595072
8.0;9.0;-32.4090909091;91.0;-0.356143856144
