# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;23.828019479;71.0;0.335605908155
6;11;3.131870042;51.0;0.0614092165098
5;11;-138.311480883;1119.0;-0.123602753247
4;11;39.369518849;113.0;0.348402821673
3;11;36.646133657;146.0;0.251000915459
2;11;7.259801575;99.0;0.0733313290404
1;11;49.894866504;242.0;0.206177134314
31;10;139.911289683;210.0;0.666244236586
30;10;5.293333333;23.0;0.230144927522
29;10;15.361666664;75.0;0.204822222187
28;10;29.571424969;103.0;0.287101213291
27;10;29.039363278;121.0;0.239994737835
26;10;41.43166035;203.0;0.204096849015
25;10;10.470707069;55.0;0.190376492164
24;10;18.457792213;188.0;0.0981797458138
23;10;78.591901153;192.0;0.409332818505
22;10;6.172395382;25.0;0.24689581528
21;10;11.073232324;48.0;0.230692340083
20;10;31.243055554;102.0;0.306304466216
19;10;10.150378787;69.0;0.147106938942
18;10;38.3097132;103.0;0.371938963107
17;10;22.469417387;70.0;0.320991676957
16;10;0.574431818;63.0;0.00911796536508
15;10;10.309027777;66.0;0.156197390561
14;10;46.607341247;165.0;0.28246873483
13;10;20.754845779;72.0;0.288261746931
12;10;45.124717103;202.0;0.223389688629
11;10;23.700761179;98.0;0.241844501827
10;10;39.417162701;188.0;0.209665759048
9;10;-70.99027761;459.0;-0.154662914183
8;10;45.316994048;486.0;0.0932448437202
7;10;264.631550994;573.0;0.461835167529
6;10;3.532380958;77.0;0.0458750773766
5;10;0.0;0.0;0.0
4;10;0.0;0.0;0.0
3;10;0.0;0.0;0.0
2;10;0.0;0.0;0.0
1;10;0.0;0.0;0.0
30;9;0.0;0.0;0.0
29;9;0.0;0.0;0.0
28;9;0.0;0.0;0.0
27;9;0.0;0.0;0.0
26;9;0.0;0.0;0.0
25;9;0.0;0.0;0.0
24;9;0.0;0.0;0.0
23;9;0.0;0.0;0.0
22;9;0.0;0.0;0.0
21;9;0.0;0.0;0.0
20;9;0.0;0.0;0.0
19;9;0.0;0.0;0.0
18;9;0.0;0.0;0.0
17;9;0.0;0.0;0.0
16;9;0.0;0.0;0.0
15;9;0.0;0.0;0.0
14;9;0.0;0.0;0.0
13;9;0.0;0.0;0.0
12;9;0.0;0.0;0.0
11;9;0.0;0.0;0.0
10;9;0.0;0.0;0.0
9;9;0.0;0.0;0.0
8;9;0.0;0.0;0.0
