# day;month;sum;weight;mean
7.0;11.0;9.68125;44.0;0.220028409091
6.0;11.0;17.4727272727;36.0;0.485353535354
5.0;11.0;7.7;13.0;0.592307692308
3.0;11.0;4.0;14.0;0.285714285714
2.0;11.0;0.35;1.0;0.35
31.0;10.0;4.53333333334;9.0;0.503703703704
30.0;10.0;2.54545454546;7.0;0.363636363637
29.0;10.0;5.23744588745;14.0;0.374103277675
28.0;10.0;0.2;1.0;0.2
27.0;10.0;0.8;4.0;0.2
26.0;10.0;9.70506734006;20.0;0.485253367003
25.0;10.0;5.52;15.0;0.368
24.0;10.0;11.0785714286;20.0;0.553928571429
23.0;10.0;23.5574066558;93.0;0.253305447912
22.0;10.0;-0.7;16.0;-0.04375
21.0;10.0;0.196428571428;3.0;0.065476190476
20.0;10.0;0.5;10.0;0.05
19.0;10.0;0.804166666667;4.0;0.201041666667
18.0;10.0;-13.5853535354;58.0;-0.234230233368
17.0;10.0;0.625;2.0;0.3125
16.0;10.0;0.38181818182;7.0;0.0545454545457
15.0;10.0;5.5625;14.0;0.397321428571
14.0;10.0;0.625;1.0;0.625
13.0;10.0;1.0;1.0;1.0
12.0;10.0;4.45714285714;20.0;0.222857142857
11.0;10.0;4.83636363636;18.0;0.268686868687
10.0;10.0;0.8;1.0;0.8
9.0;10.0;8.5;11.0;0.772727272727
8.0;10.0;0.705;1.0;0.705
7.0;10.0;5.4;6.0;0.9
5.0;10.0;17.625;18.0;0.979166666667
4.0;10.0;0.2;1.0;0.2
2.0;10.0;0.272727272728;2.0;0.136363636364
1.0;10.0;1.01994047619;17.0;0.0599964985994
30.0;9.0;6.975;22.0;0.317045454545
29.0;9.0;0.613636363637;3.0;0.204545454546
27.0;9.0;0.1;1.0;0.1
26.0;9.0;1.60763888889;5.0;0.321527777778
25.0;9.0;3.75;13.0;0.288461538462
24.0;9.0;-0.6;1.0;-0.6
22.0;9.0;0.7875;9.0;0.0875
21.0;9.0;3.10795454545;15.0;0.207196969697
18.0;9.0;9.13636363636;10.0;0.913636363636
17.0;9.0;6.875;13.0;0.528846153846
16.0;9.0;4.67708333333;5.0;0.935416666667
15.0;9.0;-1.0;1.0;-1.0
14.0;9.0;6.18333333333;18.0;0.343518518518
11.0;9.0;4.94684343435;14.0;0.353345959596
10.0;9.0;3.1;5.0;0.62
8.0;9.0;0.065909090909;2.0;0.0329545454545
