# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;-0.625;2.0;-0.3125
6;11;1.75;7.0;0.25
5;11;2.977272726;16.0;0.186079545375
4;11;0.0;0.0;0.0
3;11;-3.85757576;24.0;-0.160732323333
2;11;0.599999997;12.0;0.04999999975
1;11;2.233333333;11.0;0.203030303
31;10;-3.0;6.0;-0.5
30;10;15.995454544;28.0;0.571266233714
29;10;9.572159091;16.0;0.598259943187
28;10;34.414199106;119.0;0.289194950471
27;10;3.392613636;24.0;0.1413589015
26;10;2.1;7.0;0.3
25;10;5.825;39.0;0.149358974359
24;10;16.066690714;122.0;0.13169418618
23;10;-10.940999279;47.0;-0.232787218702
22;10;8.238383835;26.0;0.316860916731
21;10;-33.270833333;49.0;-0.678996598633
20;10;-9.427067101;79.0;-0.119329963304
19;10;0.65;2.0;0.325
18;10;9.931845239;27.0;0.367846119963
17;10;60.20471379;219.0;0.274907368904
16;10;6.704545448;49.0;0.136827458122
15;10;0.304166666;12.0;0.0253472221667
14;10;3.045454544;9.0;0.338383838222
13;10;6.005357144;11.0;0.545941558545
12;10;-1.171401513;19.0;-0.0616527112105
11;10;1.668602692;8.0;0.2085753365
10;10;0.325631309;47.0;0.0069283257234
9;10;0.0;0.0;0.0
8;10;17.074025967;100.0;0.17074025967
7;10;2.188690479;12.0;0.18239087325
6;10;0.1;1.0;0.1
5;10;3.103703704;9.0;0.344855967111
4;10;2.528571428;12.0;0.210714285667
3;10;0.936363636;5.0;0.1872727272
2;10;0.0;0.0;0.0
1;10;4.356060605;9.0;0.484006733889
30;9;-0.975;5.0;-0.195
29;9;0.441666667;2.0;0.2208333335
28;9;-1.827272728;14.0;-0.130519480571
27;9;-4.030366164;48.0;-0.08396596175
26;9;1.872727272;11.0;0.170247933818
25;9;0.0;0.0;0.0
24;9;0.6;1.0;0.6
23;9;7.525;16.0;0.4703125
22;9;4.0;5.0;0.8
21;9;0.325;1.0;0.325
20;9;0.875;1.0;0.875
19;9;4.55625;11.0;0.414204545455
18;9;-0.122222223;2.0;-0.0611111115
17;9;6.5;16.0;0.40625
16;9;10.700000004;25.0;0.42800000016
15;9;-1.94772727;15.0;-0.129848484667
14;9;1.291666667;6.0;0.215277777833
13;9;0.0;0.0;0.0
12;9;-0.0875;1.0;-0.0875
11;9;6.0;6.0;1.0
10;9;3.056060605;8.0;0.382007575625
9;9;-0.045;2.0;-0.0225
8;9;-3.2;4.0;-0.8
