# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;538.959353089;2645.0;0.203765350884
6;11;156.894206362;700.0;0.224134580517
5;11;143.460719697;509.0;0.281848172293
4;11;281.337425605;1016.0;0.276906914966
3;11;184.397570054;807.0;0.228497608493
2;11;136.977311637;1040.0;0.131708953497
1;11;52.429955354;315.0;0.166444302711
31;10;190.552261905;942.0;0.202284779092
30;10;189.700954187;688.0;0.275728131086
29;10;212.602004109;566.0;0.375621915387
28;10;63.836527711;709.0;0.0900374156714
27;10;614.51408673;1678.0;0.366218168492
26;10;961.630588517;2080.0;0.462322398325
25;10;276.187391369;654.0;0.422304879769
24;10;40.808030325;1259.0;0.0324130502979
23;10;106.505834211;548.0;0.194353712064
22;10;69.677696731;775.0;0.0899067054594
21;10;480.563598337;1577.0;0.304732782712
20;10;1325.76712902;5785.0;0.229173228872
19;10;-8.305454149;304.0;-0.0273205728586
18;10;138.697023812;669.0;0.207319916012
17;10;51.706708746;452.0;0.114395373332
16;10;315.74347337;1130.0;0.279419002982
15;10;103.995011334;487.0;0.213542117729
14;10;312.13038571;1776.0;0.175749091053
13;10;193.843246306;1300.0;0.149110189466
12;10;1697.82490049;6561.0;0.258775323958
11;10;149.012866096;433.0;0.344140568351
10;10;-1839.67543453;9589.0;-0.19185268897
9;10;973.302137443;1346.0;0.723107085767
8;10;-1315.58946553;3011.0;-0.436927753413
7;10;513.143294055;1611.0;0.318524701462
6;10;771.27136351;4833.0;0.159584391374
5;10;1542.81972567;7756.0;0.198919510788
4;10;124.010666205;235.0;0.527704962574
3;10;123.459301422;564.0;0.218899470606
2;10;104.388541667;217.0;0.481053187406
1;10;32.97061613;150.0;0.219804107533
30;9;-3.670252835;558.0;-0.00657751404122
29;9;298.102759741;1449.0;0.20572999292
28;9;15.547348483;213.0;0.0729922463991
27;9;-341.768383291;5302.0;-0.0644602759885
26;9;83.167083319;248.0;0.335351142415
25;9;79.643452381;148.0;0.538131435007
24;9;91.659794368;317.0;0.289147616303
23;9;-68.142620519;1048.0;-0.0650215844647
22;9;75.064109846;187.0;0.401412352118
21;9;-57.824720352;517.0;-0.111846654453
20;9;66.945919902;395.0;0.169483341524
19;9;280.863744588;725.0;0.387398268397
18;9;105.679572515;677.0;0.156099811691
17;9;84.930609656;264.0;0.321706854758
16;9;-41.950757576;167.0;-0.251202141174
15;9;47.640542356;150.0;0.317603615707
14;9;6.1450947;111.0;0.0553612135135
13;9;-0.044940474;46.0;-0.000976966826087
12;9;105.94734856;519.0;0.204137473141
11;9;34.701145361;172.0;0.201750845122
10;9;120.761458308;404.0;0.298914500762
9;9;303.080316616;719.0;0.421530342999
8;9;-7.70551768;383.0;-0.0201188451175
