# day;month;sum;weight;mean
7.0;11.0;860.989220207;4067.0;0.21170130814
6.0;11.0;-0.375;3.0;-0.125
5.0;11.0;0.6;1.0;0.6
4.0;11.0;-0.714285714284;4.0;-0.178571428571
3.0;11.0;3.0;4.0;0.75
2.0;11.0;0.416666666667;1.0;0.416666666667
1.0;11.0;0.257575757576;1.0;0.257575757576
31.0;10.0;21.5625;138.0;0.15625
30.0;10.0;-0.9375;3.0;-0.3125
29.0;10.0;0.5;1.0;0.5
28.0;10.0;-0.15;1.0;-0.15
27.0;10.0;2.28409090909;6.0;0.380681818182
26.0;10.0;-1.10606060606;5.0;-0.221212121212
25.0;10.0;0.272727272728;2.0;0.136363636364
24.0;10.0;0.954545454548;7.0;0.136363636364
23.0;10.0;34.9053030303;95.0;0.367424242424
22.0;10.0;0.4;1.0;0.4
21.0;10.0;0.40625;1.0;0.40625
20.0;10.0;18.4;23.0;0.8
19.0;10.0;-1.0;1.0;-1.0
18.0;10.0;0.25;1.0;0.25
17.0;10.0;-2.85;6.0;-0.475
16.0;10.0;5.98948863636;29.0;0.206534090909
15.0;10.0;4.6875;15.0;0.3125
14.0;10.0;0.7125;1.0;0.7125
13.0;10.0;1.75;7.0;0.25
12.0;10.0;6.0;12.0;0.5
11.0;10.0;5.4;18.0;0.3
10.0;10.0;0.0681818181818;1.0;0.0681818181818
9.0;10.0;1.8;9.0;0.2
8.0;10.0;-0.0175223214286;1.0;-0.0175223214286
7.0;10.0;0.1;1.0;0.1
6.0;10.0;0.4;1.0;0.4
5.0;10.0;0.1875;1.0;0.1875
4.0;10.0;-0.333333333333;1.0;-0.333333333333
3.0;10.0;-0.109253246753;1.0;-0.109253246753
2.0;10.0;1.0;1.0;1.0
1.0;10.0;-0.125;1.0;-0.125
30.0;9.0;0.575;1.0;0.575
29.0;9.0;0.35;1.0;0.35
28.0;9.0;14.4;24.0;0.6
27.0;9.0;-0.4;1.0;-0.4
26.0;9.0;7.0;20.0;0.35
25.0;9.0;1.0;4.0;0.25
24.0;9.0;0.75;1.0;0.75
23.0;9.0;4.2;21.0;0.2
22.0;9.0;-0.1;1.0;-0.1
21.0;9.0;-0.15;1.0;-0.15
20.0;9.0;0.5;1.0;0.5
19.0;9.0;0.4;2.0;0.2
18.0;9.0;-0.4;2.0;-0.2
17.0;9.0;2.83333333334;17.0;0.166666666667
16.0;9.0;0.136363636364;1.0;0.136363636364
15.0;9.0;-0.155555555556;1.0;-0.155555555556
14.0;9.0;0.136363636364;1.0;0.136363636364
13.0;9.0;-0.2;1.0;-0.2
12.0;9.0;0.5;1.0;0.5
11.0;9.0;3.46666666666;8.0;0.433333333333
10.0;9.0;1.0;1.0;1.0
9.0;9.0;6.375;17.0;0.375
8.0;9.0;0.65;1.0;0.65
