# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;24.595178568;101.0;0.243516619485
6;11;30.610454548;53.0;0.577555746189
5;11;14.933333329;50.0;0.29866666658
4;11;19.33125;35.0;0.552321428571
3;11;8.16953125;70.0;0.116707589286
2;11;3.859848483;18.0;0.214436026833
1;11;11.6125;117.0;0.0992521367521
31;10;7.920129865;33.0;0.240003935303
30;10;29.075;52.0;0.559134615385
29;10;29.433333331;39.0;0.754700854641
28;10;23.853937812;71.0;0.335970955099
27;10;8.65318903;86.0;0.100618477093
26;10;-3.032586129;243.0;-0.0124797783086
25;10;9.250432898;54.0;0.171304312926
24;10;9.894047612;38.0;0.260369674
23;10;0.5;7.0;0.0714285714286
22;10;9.010714281;42.0;0.214540816214
21;10;-0.165625;2.0;-0.0828125
20;10;11.746780303;24.0;0.489449179292
19;10;19.92272727;80.0;0.249034090875
18;10;0.258333333;2.0;0.1291666665
17;10;6.025;23.0;0.261956521739
16;10;1.712500001;4.0;0.42812500025
15;10;0.0;0.0;0.0
14;10;1.786363636;5.0;0.3572727272
13;10;1.061931818;8.0;0.13274147725
12;10;13.6;17.0;0.8
11;10;-5.836507937;14.0;-0.416893424071
10;10;1.3625;10.0;0.13625
9;10;40.85;65.0;0.628461538462
8;10;9.965947421;96.0;0.103811952302
7;10;67.505339099;297.0;0.227290704037
6;10;5.325;11.0;0.484090909091
5;10;14.968181818;25.0;0.59872727272
4;10;2.688446969;25.0;0.10753787876
3;10;28.267987001;121.0;0.233619727281
2;10;-0.199652778;3.0;-0.066550926
1;10;0.3125;1.0;0.3125
30;9;0.0;0.0;0.0
29;9;-1.1;2.0;-0.55
28;9;4.65;9.0;0.516666666667
27;9;17.675;29.0;0.609482758621
26;9;-1.75;3.0;-0.583333333333
25;9;1.416944444;8.0;0.1771180555
24;9;30.766941951;39.0;0.788895947462
23;9;2.326388889;8.0;0.290798611125
22;9;-0.7;2.0;-0.35
21;9;11.305729173;39.0;0.289890491615
20;9;2.7;15.0;0.18
19;9;5.3;12.0;0.441666666667
18;9;0.0;0.0;0.0
17;9;12.3875;68.0;0.182169117647
16;9;0.9;3.0;0.3
15;9;21.033333336;29.0;0.725287356414
14;9;15.7;19.0;0.826315789474
13;9;20.334090908;31.0;0.655938416387
12;9;-0.258333333;3.0;-0.086111111
11;9;0.0;0.0;0.0
10;9;0.0;0.0;0.0
9;9;4.725;30.0;0.1575
8;9;22.1;30.0;0.736666666667
