# day;month;sum;weight;mean
7.0;11.0;353.567267956;1894.0;0.186677543799
6.0;11.0;207.101731626;1193.0;0.173597428018
5.0;11.0;326.210246173;1012.0;0.322342140487
4.0;11.0;606.724896196;1857.0;0.326723153579
3.0;11.0;772.559484798;2953.0;0.261618518387
2.0;11.0;771.723497493;4487.0;0.171990973366
1.0;11.0;223.241223326;744.0;0.300055407696
31.0;10.0;181.97368055;995.0;0.182888121156
30.0;10.0;125.571245732;1547.0;0.0811708117207
29.0;10.0;330.371690591;1175.0;0.281167396248
28.0;10.0;867.135237671;3901.0;0.222285372384
27.0;10.0;418.556600123;1491.0;0.28072206581
26.0;10.0;196.077593632;2357.0;0.0831894754485
25.0;10.0;254.393686463;2652.0;0.0959252211399
24.0;10.0;437.172823518;1401.0;0.31204341436
18.0;10.0;8.25;220.0;0.0375
23.0;10.0;316.599619029;1684.0;0.188004524364
22.0;10.0;282.734346981;864.0;0.327238827524
21.0;10.0;975.322814853;9354.0;0.104267993891
20.0;10.0;55.845616876;505.0;0.110585379952
19.0;10.0;529.998292446;1278.0;0.414709149019
18.0;10.0;109.440067813;841.0;0.130130877304
17.0;10.0;87.556466449;244.0;0.35883797725
16.0;10.0;-19.633128141;832.0;-0.0235975097849
15.0;10.0;141.428328045;665.0;0.212674177511
14.0;10.0;242.022097232;2128.0;0.113732188549
13.0;10.0;114.987165994;822.0;0.139887063253
12.0;10.0;64.611778931;531.0;0.121679433015
11.0;10.0;21.686056957;545.0;0.0397909301963
10.0;10.0;217.64989458;1204.0;0.180772337691
9.0;10.0;292.959199857;2585.0;0.113330444819
8.0;10.0;3078.24490427;17513.0;0.175769137456
7.0;10.0;680.63368092;5770.0;0.117960776589
6.0;10.0;426.680229238;1436.0;0.297131078857
4.0;10.0;133.70454531;795.0;0.168181818
5.0;10.0;222.5955986;1416.0;0.157200281497
4.0;10.0;940.03585216;17749.0;0.0529627501358
3.0;10.0;497.967971198;4094.0;0.121633603126
2.0;10.0;-5.160324674;105.0;-0.0491459492762
1.0;10.0;149.439761891;395.0;0.378328511116
30.0;9.0;238.117730051;1529.0;0.155734290419
29.0;9.0;-55.622046057;406.0;-0.137000113441
28.0;9.0;112.322959953;180.0;0.624016444183
27.0;9.0;2.76162519;424.0;0.00651326695755
26.0;9.0;17.680163497;154.0;0.114806256474
25.0;9.0;163.08257559;582.0;0.280210610979
24.0;9.0;70.595084801;345.0;0.204623434206
23.0;9.0;39.953160138;307.0;0.130140586769
22.0;9.0;188.674759186;557.0;0.338733858503
21.0;9.0;43.802559227;276.0;0.158704924736
20.0;9.0;130.012994815;778.0;0.167111818528
19.0;9.0;86.256499996;486.0;0.17748251028
18.0;9.0;75.296527733;256.0;0.294127061457
17.0;9.0;126.155300014;306.0;0.412272222268
16.0;9.0;75.018965188;281.0;0.266971406363
15.0;9.0;56.48709417;256.0;0.220652711602
14.0;9.0;1123.7306929;2103.0;0.534346501617
13.0;9.0;160.958225106;652.0;0.246868443414
12.0;9.0;99.314365775;631.0;0.15739202183
11.0;9.0;127.162605711;443.0;0.287048771357
10.0;9.0;119.543208871;257.0;0.46514867265
9.0;9.0;78.151990446;365.0;0.214115042318
8.0;9.0;153.510455912;469.0;0.32731440493
