# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;1.291522367;12.0;0.107626863917
6;11;3.8;7.0;0.542857142857
5;11;2.636904762;11.0;0.239718614727
4;11;0.08;1.0;0.08
3;11;8.151515155;76.0;0.107256778355
2;11;6.769886353;42.0;0.16118777031
1;11;0.814173789;4.0;0.20354344725
31;10;-0.140909092;4.0;-0.035227273
30;10;1.736111111;8.0;0.217013888875
29;10;0.566666667;2.0;0.2833333335
28;10;0.35;2.0;0.175
27;10;0.926704544;9.0;0.102967171556
26;10;10.631818179;34.0;0.312700534676
25;10;5.525974029;36.0;0.153499278583
24;10;2.434375;10.0;0.2434375
23;10;-0.161363636;2.0;-0.080681818
22;10;1.284909812;7.0;0.183558544571
21;10;9.612310605;34.0;0.282715017794
20;10;1.5625;4.0;0.390625
19;10;35.952092339;415.0;0.0866315478048
18;10;9.825;28.0;0.350892857143
17;10;-0.871527777;21.0;-0.0415013227143
16;10;-2.129166668;12.0;-0.177430555667
15;10;0.489583333;3.0;0.163194444333
14;10;0.057142861;13.0;0.00439560469231
13;10;0.708333333;7.0;0.101190476143
12;10;-3.349999992;35.0;-0.0957142854857
11;10;44.620833332;95.0;0.469692982442
10;10;-9.995833336;33.0;-0.302904040485
9;10;38.533333282;175.0;0.220190475897
8;10;2.194642858;34.0;0.0645483193529
7;10;-0.609242425;10.0;-0.0609242425
6;10;5.5;22.0;0.25
5;10;-2.4;4.0;-0.6
4;10;10.510984848;17.0;0.618293226353
3;10;0.869949494;4.0;0.2174873735
2;10;6.0;10.0;0.6
1;10;0.0;0.0;0.0
30;9;2.974999998;10.0;0.2974999998
29;9;1.892292851;6.0;0.315382141833
28;9;0.5;1.0;0.5
27;9;2.546666667;25.0;0.10186666668
26;9;5.137554111;36.0;0.142709836417
25;9;4.117045457;10.0;0.4117045457
24;9;0.0;0.0;0.0
23;9;0.412626262;3.0;0.137542087333
22;9;-1.854166667;13.0;-0.142628205154
21;9;-4.636111114;18.0;-0.257561728556
20;9;1.9375;6.0;0.322916666667
19;9;0.585714286;2.0;0.292857143
18;9;0.433333333;1.0;0.433333333
17;9;2.308333333;5.0;0.4616666666
16;9;-2.275;6.0;-0.379166666667
15;9;-7.086805556;30.0;-0.236226851867
14;9;-2.522222224;18.0;-0.140123456889
13;9;5.35;18.0;0.297222222222
12;9;23.339814815;40.0;0.583495370375
11;9;0.0;0.0;0.0
10;9;0.6;1.0;0.6
9;9;0.0;0.0;0.0
8;9;-2.75;7.0;-0.392857142857
