# day;month;sum;weight;mean
7.0;11.0;2.907142851;40.0;0.072678571275
6.0;11.0;-0.259920635;6.0;-0.0433201058333
5.0;11.0;1.4765625;9.0;0.1640625
4.0;11.0;7.770833333;36.0;0.215856481472
3.0;11.0;22.387337661;54.0;0.414580327056
2.0;11.0;3.89886363;33.0;0.118147382727
1.0;11.0;-9.821875;31.0;-0.316834677419
30.0;10.0;3.88181818;9.0;0.431313131111
29.0;10.0;-1.504166666;51.0;-0.0294934640392
28.0;10.0;-4.43452381;20.0;-0.2217261905
27.0;10.0;1.792424242;5.0;0.3584848484
26.0;10.0;27.49375;86.0;0.319694767442
25.0;10.0;-11.218655308;30.0;-0.373955176933
24.0;10.0;1.88878205;12.0;0.157398504167
23.0;10.0;1.89375;8.0;0.23671875
22.0;10.0;20.966558438;69.0;0.303863165768
21.0;10.0;39.125;89.0;0.439606741573
20.0;10.0;24.43458333;132.0;0.185110479773
19.0;10.0;0.821527778;37.0;0.0222034534595
18.0;10.0;12.62543245;139.0;0.0908304492806
17.0;10.0;11.284577922;41.0;0.275233607854
16.0;10.0;0.625;2.0;0.3125
15.0;10.0;3.367361112;10.0;0.3367361112
14.0;10.0;-19.391666667;28.0;-0.692559523821
13.0;10.0;-4.352314849;76.0;-0.0572673006447
12.0;10.0;3.252556818;12.0;0.2710464015
11.0;10.0;49.290374875;238.0;0.207102415441
10.0;10.0;-6.058333333;21.0;-0.288492063476
9.0;10.0;8.736363645;97.0;0.0900656045876
8.0;10.0;3.86875;27.0;0.143287037037
7.0;10.0;40.886507936;55.0;0.743391053382
6.0;10.0;-0.153246753;5.0;-0.0306493506
5.0;10.0;1.956944444;7.0;0.279563492
4.0;10.0;-1.308333341;44.0;-0.0297348486591
3.0;10.0;1.55;11.0;0.140909090909
2.0;10.0;0.7;5.0;0.14
1.0;10.0;0.25;1.0;0.25
30.0;9.0;-1.213636364;30.0;-0.0404545454667
29.0;9.0;47.48645833;139.0;0.341629196619
28.0;9.0;-0.5;1.0;-0.5
27.0;9.0;-0.933333336;12.0;-0.077777778
26.0;9.0;10.1375;28.0;0.362053571429
25.0;9.0;-1.237499999;5.0;-0.2474999998
24.0;9.0;3.3125;4.0;0.828125
23.0;9.0;2.475833336;54.0;0.0458487654815
22.0;9.0;2.78671875;22.0;0.126669034091
21.0;9.0;-0.65;1.0;-0.65
20.0;9.0;20.145833327;83.0;0.242720883458
19.0;9.0;0.35;4.0;0.0875
18.0;9.0;0.136363636;1.0;0.136363636
17.0;9.0;3.5;7.0;0.5
16.0;9.0;12.125;24.0;0.505208333333
15.0;9.0;8.030158738;20.0;0.4015079369
14.0;9.0;9.575;44.0;0.217613636364
13.0;9.0;13.593749997;35.0;0.388392857057
12.0;9.0;1.460714286;4.0;0.3651785715
11.0;9.0;-0.8;44.0;-0.0181818181818
10.0;9.0;-0.466666668;5.0;-0.0933333336
9.0;9.0;7.599999996;37.0;0.205405405297
8.0;9.0;4.945549241;21.0;0.23550234481
