# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;4436.50605072;10301.0;0.430686928523
6;11;4522.62748717;12108.0;0.373523908752
5;11;1908.31202212;10180.0;0.187456976633
4;11;2151.47924985;8272.0;0.260091785524
3;11;2481.88647079;9814.0;0.252892446585
2;11;1737.40270167;6487.0;0.267828380094
1;11;2364.20699594;6816.0;0.346861355038
31;10;883.682686641;6117.0;0.144463411254
30;10;2273.76513798;8242.0;0.275875411062
29;10;628.170157105;5192.0;0.120988088811
28;10;1123.81913649;4689.0;0.239671387607
27;10;4967.88080953;13609.0;0.365043780552
26;10;2563.14887388;17171.0;0.149271962837
25;10;1359.39537474;5638.0;0.241113049794
24;10;1864.66930893;7179.0;0.259739421775
23;10;1872.28157062;6455.0;0.290051366478
22;10;413.602661703;3325.0;0.124391777956
21;10;1752.65487564;8120.0;0.215844196507
20;10;1755.13353672;9620.0;0.182446313588
19;10;-240.088138378;21085.0;-0.0113866795531
18;10;4664.57696372;17389.0;0.268248718369
17;10;3989.22760471;15406.0;0.25893986789
16;10;-556.142953452;5748.0;-0.0967541672672
15;10;4287.81557445;15531.0;0.276081100667
14;10;1924.73389334;5910.0;0.325674093627
13;10;1648.42735634;9242.0;0.178362622412
12;10;1142.1883107;8521.0;0.134043928025
11;10;2565.63184625;34079.0;0.0752848336586
10;10;492.297564878;5052.0;0.097446073808
9;10;916.000703009;10731.0;0.0853602369778
8;10;-13540.3325121;47461.0;-0.28529387312
7;10;1640.63852444;5431.0;0.302087741565
6;10;168.263184394;3671.0;0.0458357898104
5;10;427.696701372;3604.0;0.118672780625
4;10;1434.26439326;7698.0;0.186316496916
3;10;-1390.51387767;5681.0;-0.244765688729
2;10;430.234151039;1622.0;0.265249168335
1;10;933.327057606;2712.0;0.344147145135
30;9;-217.650173747;5720.0;-0.038050729676
29;9;241.678442021;19242.0;0.0125599439778
28;9;972.160824973;8778.0;0.110749695258
27;9;1599.74127222;8041.0;0.19894805027
26;9;1443.00217467;4512.0;0.319814311762
25;9;0.0;0.0;0.0
24;9;0.0;0.0;0.0
23;9;0.0;0.0;0.0
22;9;3.5;14.0;0.25
21;9;0.0;0.0;0.0
20;9;0.0;0.0;0.0
19;9;0.0;0.0;0.0
18;9;0.0;0.0;0.0
17;9;0.0;0.0;0.0
16;9;0.0;0.0;0.0
15;9;0.0;0.0;0.0
14;9;0.0;0.0;0.0
13;9;0.0;0.0;0.0
12;9;0.0;0.0;0.0
11;9;0.0;0.0;0.0
10;9;0.0;0.0;0.0
9;9;0.0;0.0;0.0
8;9;15111.8686133;64887.0;0.232895165646
