# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;6599.11711597;26508.0;0.248948133242
6;11;786.420047332;2859.0;0.275068222222
5;11;-25.615839656;4260.0;-0.00601310790047
4;11;854.950540326;3587.0;0.238346958552
3;11;1079.25396336;3559.0;0.303246407239
2;11;1510.39632334;5617.0;0.268897333691
1;11;809.896481844;4906.0;0.165082854024
31;10;-46.912260149;4758.0;-0.00985965955212
30;10;660.582610094;2360.0;0.279907885633
29;10;880.342391222;3374.0;0.260919499473
28;10;344.31213409;5990.0;0.057481157611
27;10;1594.40532842;7314.0;0.21799361887
26;10;2936.00356522;18649.0;0.157434906173
25;10;1908.50637881;6883.0;0.277278276741
24;10;1027.79483966;5765.0;0.178281845561
23;10;161.68695866;2750.0;0.0587952576945
22;10;1296.99181197;5222.0;0.248370703173
21;10;957.840553266;7669.0;0.124897711992
20;10;1376.42391373;5591.0;0.246185640087
19;10;1086.87916186;4986.0;0.217986193715
18;10;1164.61375631;6647.0;0.17520892979
17;10;5617.59747495;18840.0;0.298173963638
16;10;787.828884898;2273.0;0.346603116981
15;10;68.502468787;583.0;0.117499946461
14;10;596.699085159;3709.0;0.160878696457
13;10;667.844223531;5878.0;0.113617595021
12;10;1508.66814413;6285.0;0.240042664142
11;10;519.748913813;7092.0;0.0732866488738
10;10;398.101759419;4002.0;0.0994757020037
9;10;149.273467818;1361.0;0.109679256295
8;10;185.472269371;2417.0;0.0767365615933
7;10;83.28383839;346.0;0.240704735231
6;10;23.882653899;387.0;0.0617122839767
5;10;60.130886098;433.0;0.138870406693
4;10;161.275978152;1056.0;0.152723464159
3;10;-67.586602553;1887.0;-0.0358169594875
2;10;426.248995925;1329.0;0.320729116573
1;10;19.75930163;1195.0;0.0165349804435
30;9;215.600550823;1454.0;0.14828098406
29;9;-168.022638509;1973.0;-0.0851609926553
28;9;157.690812954;870.0;0.181253807993
27;9;606.918825722;1088.0;0.557829803053
26;9;106.884753458;512.0;0.208759284098
25;9;61.604990839;391.0;0.157557521327
24;9;141.385119075;740.0;0.191060971723
23;9;70.70625896;795.0;0.0889386905157
22;9;259.955022443;1246.0;0.2086316392
21;9;193.337225281;1304.0;0.148264743314
20;9;967.861339003;2816.0;0.343700759589
19;9;-1.407777151;890.0;-0.00158177207978
18;9;6.566482687;369.0;0.0177953460352
17;9;77.343497002;302.0;0.256104294709
16;9;195.330751246;1039.0;0.187998798119
15;9;307.710710849;1427.0;0.21563469576
14;9;166.14221545;790.0;0.210306601835
13;9;234.226175754;1939.0;0.120797408847
12;9;156.595301215;657.0;0.238349012504
11;9;15.713194448;233.0;0.0674386027811
10;9;-32.070137033;482.0;-0.0665355540104
9;9;0.13045329;381.0;0.000342397086614
8;9;972.765124418;4205.0;0.231335344689
