# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;3.115070346;52.0;0.0599051989615
6;11;41.181349202;78.0;0.52796601541
5;11;30.730230881;73.0;0.420962066863
4;11;30.456071424;86.0;0.354140365395
3;11;35.848232347;132.0;0.27157751778
2;11;17.880982143;96.0;0.186260230656
1;11;19.723472229;117.0;0.168576685718
31;10;30.454341945;146.0;0.208591383185
30;10;10.182380941;110.0;0.0925670994636
29;10;22.307142858;106.0;0.210444743943
28;10;7.680465368;70.0;0.109720933829
27;10;21.679166667;125.0;0.173433333336
26;10;13.890566386;220.0;0.0631389381182
25;10;55.18300504;171.0;0.322707631813
24;10;51.645833346;164.0;0.314913617963
23;10;26.076785714;116.0;0.224799876845
22;10;34.153793898;98.0;0.348508101
21;10;9.566299603;73.0;0.131045200041
20;10;33.977340344;190.0;0.178828107074
19;10;77.222821972;216.0;0.357513064685
18;10;56.872222224;138.0;0.412117552348
17;10;-1.944764615;99.0;-0.0196440870202
16;10;20.954365065;112.0;0.187092545223
15;10;-0.621626983;296.0;-0.00210009115878
14;10;7.423929773;57.0;0.130244381982
13;10;28.855075742;136.0;0.212169674574
12;10;55.679847836;239.0;0.232970074628
11;10;37.649040104;328.0;0.114783658854
10;10;31.408698602;293.0;0.107196923556
9;10;1206.2284537;3464.0;0.34821837578
8;10;42.561171661;334.0;0.127428657668
7;10;54.071774011;827.0;0.0653830399166
6;10;19.438368056;78.0;0.249209846872
5;10;12.737797618;60.0;0.212296626967
4;10;2.634469699;186.0;0.014163815586
3;10;26.086805548;92.0;0.283552234217
2;10;7.794814203;106.0;0.0735359830472
1;10;33.717673138;157.0;0.214762249287
30;9;9.848333325;51.0;0.193104575
29;9;34.423214298;150.0;0.22948809532
28;9;-16.481666674;193.0;-0.0853972366528
27;9;39.869761898;234.0;0.170383597855
26;9;21.497159081;189.0;0.113741582439
25;9;10.179848487;39.0;0.261021756077
24;9;43.336810058;145.0;0.298874552124
23;9;13.058008653;71.0;0.183915614831
22;9;11.192106784;56.0;0.199859049714
21;9;44.129776353;161.0;0.27409798977
20;9;-11.434275795;142.0;-0.0805230689789
19;9;47.095988908;150.0;0.313973259387
18;9;21.442532459;124.0;0.172923648863
17;9;42.559740251;134.0;0.317610001873
16;9;20.060310233;107.0;0.187479534888
15;9;18.818560583;206.0;0.0913522358398
14;9;8.927895008;107.0;0.0834382711028
13;9;79.947997853;190.0;0.420778936068
12;9;8.680833338;55.0;0.157833333418
11;9;59.547777763;248.0;0.240112007109
10;9;34.055555562;109.0;0.31243628956
9;9;33.867499996;98.0;0.345586734653
8;9;30.116523567;146.0;0.206277558678
