# day;month;sum;weight;mean
7.0;11.0;443.160.605.072;10301.0;0.430211246551
6.0;11.0;452.262.748.717;12108.0;0.373523908752
5.0;11.0;190.831.202.212;10180.0;0.187456976633
4.0;11.0;215.147.924.985;8272.0;0.260091785524
3.0;11.0;248.188.647.079;9814.0;0.252892446585
2.0;11.0;173.740.270.167;6487.0;0.267828380094
1.0;11.0;236.420.699.594;6816.0;0.346861355038
31.0;10.0;883.682.686.641;6117.0;0.144463411254
30.0;10.0;227.376.513.798;8242.0;0.275875411062
29.0;10.0;628.170.157.105;5192.0;0.120988088811
28.0;10.0;112.381.913.649;4689.0;0.239671387607
27.0;10.0;496.788.080.953;13609.0;0.365043780552
26.0;10.0;256.314.887.388;17171.0;0.149271962837
25.0;10.0;135.939.537.474;5638.0;0.241113049794
24.0;10.0;186.466.930.893;7179.0;0.259739421775
23.0;10.0;187.228.157.062;6455.0;0.290051366478
22.0;10.0;413.602.661.703;3325.0;0.124391777956
21.0;10.0;175.265.487.564;8120.0;0.215844196507
20.0;10.0;175.513.353.672;9620.0;0.182446313588
19.0;10.0;-240.088.138.378;21085.0;-0.0113866795531
18.0;10.0;466.457.696.372;17389.0;0.268248718369
17.0;10.0;398.922.760.471;15406.0;0.25893986789
16.0;10.0;-556.142.953.452;5748.0;-0.0967541672672
15.0;10.0;428.781.557.445;15531.0;0.276081100667
14.0;10.0;192.473.389.334;5910.0;0.325674093627
13.0;10.0;164.842.735.634;9242.0;0.178362622412
12.0;10.0;11.421.883.107;8521.0;0.134043928025
11.0;10.0;256.563.184.625;34079.0;0.0752848336586
10.0;10.0;492.297.564.878;5052.0;0.097446073808
9.0;10.0;916.000.703.009;10731.0;0.0853602369778
8.0;10.0;-135.403.325.121;47461.0;-0.28529387312
7.0;10.0;164.063.852.444;5431.0;0.302087741565
6.0;10.0;168.263.184.394;3671.0;0.0458357898104
5.0;10.0;427.696.701.372;3604.0;0.118672780625
4.0;10.0;143.426.439.326;7698.0;0.186316496916
3.0;10.0;-139.051.387.767;5681.0;-0.244765688729
2.0;10.0;430.234.151.039;1622.0;0.265249168335
1.0;10.0;933.327.057.606;2712.0;0.344147145135
30.0;9.0;-217.650.173.747;5720.0;-0.038050729676
29.0;9.0;241.678.442.021;19242.0;0.0125599439778
28.0;9.0;972.160.824.973;8778.0;0.110749695258
27.0;9.0;159.974.127.222;8041.0;0.19894805027
26.0;9.0;144.300.217.467;4512.0;0.319814311762
25.0;9.0;-456.304.531.461;7472.0;-0.0610685936109
24.0;9.0;6.379.384.106;2204.0;0.289445739837
23.0;9.0;20.453.616.452;4682.0;0.0436856395814
22.0;9.0;11.562.898.615;3100.0;0.372996729516
21.0;9.0;592.292.192.086;2561.0;0.231273796207
20.0;9.0;857.486.477.382;3050.0;0.281143107338
19.0;9.0;648.908.910.516;2123.0;0.305656575844
18.0;9.0;698.581.822.487;2167.0;0.322372783796
17.0;9.0;858.218.461.831;2294.0;0.374114412306
16.0;9.0;123.296.728.897;3270.0;0.377054216811
15.0;9.0;176.374.887.155;7341.0;0.240260028818
14.0;9.0;176.417.867.342;4734.0;0.372661316734
13.0;9.0;441.557.624.899;3337.0;0.132321733563
12.0;9.0;549.241.376.437;2960.0;0.185554519067
11.0;9.0;18.699.955.563;907.0;0.0206173710728
10.0;9.0;136.383.231.326;3515.0;0.38800350306
9.0;9.0;889.956.798.554;4268.0;0.208518462642
8.0;9.0;188.973.794.118;4902.0;0.385503455973
