# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;1.350884735;46.0;0.0293670594565
6;11;3.1;8.0;0.3875
5;11;-0.45;1.0;-0.45
4;11;6.028253968;17.0;0.354603174588
3;11;11.358333333;38.0;0.298903508763
2;11;6.55;27.0;0.242592592593
1;11;8.11;16.0;0.506875
31;10;0.025;2.0;0.0125
30;10;2.885227272;6.0;0.480871212
29;10;2.999999997;9.0;0.333333333
28;10;0.62;5.0;0.124
27;10;7.824999997;25.0;0.31299999988
26;10;-2.927272728;20.0;-0.1463636364
25;10;1.1;4.0;0.275
24;10;-34.539772728;114.0;-0.302980462526
23;10;-2.416666667;8.0;-0.302083333375
22;10;2.975;7.0;0.425
21;10;5.2375;11.0;0.476136363636
20;10;1.875000003;12.0;0.15625000025
19;10;13.605;28.0;0.485892857143
18;10;5.822023811;23.0;0.253131470043
17;10;-0.027777778;13.0;-0.00213675215385
16;10;-0.35;2.0;-0.175
15;10;0.0;0.0;0.0
14;10;5.960416663;17.0;0.350612744882
13;10;3.28125;9.0;0.364583333333
12;10;-0.1;2.0;-0.05
11;10;1.915909092;6.0;0.319318182
10;10;-38.15;106.0;-0.359905660377
9;10;0.794791667;3.0;0.264930555667
8;10;4.559722222;25.0;0.18238888888
7;10;45.657305172;261.0;0.174932203724
6;10;136.16063816;1863.0;0.0730867622974
5;10;26.490692642;54.0;0.490568382259
4;10;9.278571432;30.0;0.3092857144
3;10;7.759090908;20.0;0.3879545454
2;10;0.5;1.0;0.5
1;10;0.909090908;7.0;0.129870129714
30;9;3.094784582;6.0;0.515797430333
29;9;2.779797978;19.0;0.146305156737
28;9;0.0;0.0;0.0
27;9;25.778385415;59.0;0.436921786695
26;9;2.199166667;7.0;0.314166666714
25;9;0.5;2.0;0.25
24;9;1.253030301;14.0;0.0895021643571
23;9;-0.427777778;4.0;-0.1069444445
22;9;4.668181816;23.0;0.202964426783
21;9;1.456060606;7.0;0.208008658
20;9;-5.097727287;120.0;-0.042481060725
19;9;-3.265674603;9.0;-0.362852733667
18;9;17.275000003;63.0;0.274206349254
17;9;3.720454545;8.0;0.465056818125
16;9;17.196875;55.0;0.312670454545
15;9;12.193636365;37.0;0.329557739595
14;9;19.908333333;24.0;0.829513888875
13;9;2.095089286;46.0;0.0455454192609
12;9;1.863636362;7.0;0.266233766
11;9;-3.908333342;27.0;-0.144753086741
10;9;0.34512987;3.0;0.11504329
9;9;-4.025;37.0;-0.108783783784
8;9;0.15;2.0;0.075
