# day;month;sum;weight;mean
7.0;11.0;812.383483449;3467.0;0.234318858797
6.0;11.0;4.604995265;14.0;0.328928233214
5.0;11.0;8.822380954;41.0;0.215180023268
4.0;11.0;17.933710804;57.0;0.314626505333
3.0;11.0;86.812738093;706.0;0.122964218262
2.0;11.0;376.706473202;1004.0;0.3752056506
1.0;11.0;871.94869092;3174.0;0.274716033686
31.0;10.0;6.570714286;30.0;0.219023809533
30.0;10.0;12.469880955;39.0;0.319740537308
29.0;10.0;7.477380952;14.0;0.534098639429
28.0;10.0;2.730277775;23.0;0.118707729348
27.0;10.0;41.033214291;101.0;0.406269448426
26.0;10.0;968.195036067;1734.0;0.55835930569
25.0;10.0;6.721130954;29.0;0.231763136345
24.0;10.0;1.646428573;22.0;0.0748376624091
23.0;10.0;-58.980952382;485.0;-0.121610211097
22.0;10.0;7.812500005;21.0;0.372023809762
21.0;10.0;7.393055556;19.0;0.389108187158
20.0;10.0;-465.615608248;11122.0;-0.0418643776522
19.0;10.0;45.562296536;76.0;0.599503901789
18.0;10.0;1.836111111;8.0;0.229513888875
17.0;10.0;7.868253973;20.0;0.39341269865
16.0;10.0;0.5;1.0;0.5
15.0;10.0;15.704375002;39.0;0.402676282103
14.0;10.0;511.852777776;793.0;0.645463780298
13.0;10.0;3.98975018;21.0;0.18998810381
12.0;10.0;5.359444442;27.0;0.198497942296
11.0;10.0;1.508730158;26.0;0.058028083
10.0;10.0;85.123685291;2380.0;0.0357662543239
9.0;10.0;-0.77470238;17.0;-0.0455707282353
8.0;10.0;6.059126975;62.0;0.0977278544355
7.0;10.0;13.082299932;42.0;0.311483331714
6.0;10.0;40.109199134;122.0;0.328763927328
5.0;10.0;244.174497733;8270.0;0.0295253322531
4.0;10.0;0.95;3.0;0.316666666667
3.0;10.0;0.174609375;6.0;0.0291015625
2.0;10.0;-16.371875;88.0;-0.186044034091
1.0;10.0;2.605257936;7.0;0.372179705143
30.0;9.0;27.162936495;160.0;0.169768353094
29.0;9.0;24.878643347;73.0;0.340803333521
28.0;9.0;28.138898813;124.0;0.226926603331
27.0;9.0;768.127008264;6780.0;0.113293069065
26.0;9.0;320.621144483;430.0;0.745630568565
25.0;9.0;-44.020555682;295.0;-0.149222222651
24.0;9.0;13.773232326;48.0;0.286942340125
23.0;9.0;218.832397169;508.0;0.430772435372
22.0;9.0;14.421428572;36.0;0.400595238111
21.0;9.0;0.416666667;6.0;0.0694444445
20.0;9.0;8.958333335;32.0;0.279947916719
19.0;9.0;0.2875;6.0;0.0479166666667
18.0;9.0;3.231944446;18.0;0.179552469222
17.0;9.0;-0.6;2.0;-0.3
16.0;9.0;-1.99696969;24.0;-0.0832070704167
15.0;9.0;4.537499999;14.0;0.324107142786
14.0;9.0;2.186363633;24.0;0.0910984847083
13.0;9.0;1.356363636;8.0;0.1695454545
12.0;9.0;8.4625;16.0;0.52890625
11.0;9.0;7.572684434;18.0;0.420704690778
10.0;9.0;29.644114416;135.0;0.219586032711
9.0;9.0;3135.76914532;4370.0;0.717567310143
8.0;9.0;12.683055556;28.0;0.452966269857
