# day;month;sum;weight;mean
7.0;11.0;147.753762655;289.0;0.511258694308
6.0;11.0;-32.179610392;765.0;-0.0420648501856
5.0;11.0;360.422198804;903.0;0.399138647623
4.0;11.0;34.589141413;107.0;0.32326300386
3.0;11.0;150.404577776;600.0;0.250674296293
2.0;11.0;77.739375884;304.0;0.255721631197
1.0;11.0;165.149007827;702.0;0.235254996905
31.0;10.0;42.822979751;505.0;0.084797979705
30.0;10.0;120.607438446;285.0;0.423183994547
29.0;10.0;29.896843439;232.0;0.128865704478
28.0;10.0;96.232757938;377.0;0.255259304875
27.0;10.0;92.910364054;373.0;0.249089447866
26.0;10.0;731.866197826;1276.0;0.573562850961
25.0;10.0;159.945457123;484.0;0.330465820502
24.0;10.0;120.406520533;362.0;0.332614697605
23.0;10.0;7.704419174;217.0;0.0355042358249
22.0;10.0;8.988864087;215.0;0.0418086701721
21.0;10.0;-7.619945333;554.0;-0.0137544139585
20.0;10.0;236.56688447;1544.0;0.153216894087
19.0;10.0;9.076312214;422.0;0.0215078488483
18.0;10.0;122.830885014;565.0;0.217399796485
17.0;10.0;337.877217393;1201.0;0.281329906239
16.0;10.0;244.132386366;474.0;0.51504722862
15.0;10.0;399.467283599;869.0;0.459686172151
14.0;10.0;240.875409333;2144.0;0.112348605099
13.0;10.0;212.582124174;964.0;0.220520875699
12.0;10.0;1059.37150573;3556.0;0.297910997111
11.0;10.0;321.631696672;671.0;0.479331887738
10.0;10.0;1158.4825532;2654.0;0.436504353125
9.0;10.0;28.521627015;443.0;0.0643829052257
8.0;10.0;155.996131132;853.0;0.182879403437
7.0;10.0;19.06579542;362.0;0.0526679431492
6.0;10.0;62.516596015;184.0;0.339764108777
5.0;10.0;63.51789756;480.0;0.13232895325
4.0;10.0;178.453908716;683.0;0.261279514958
3.0;10.0;114.170226504;428.0;0.266752865664
2.0;10.0;26.340530284;172.0;0.15314261793
1.0;10.0;96.143551556;408.0;0.235645959696
30.0;9.0;543.293912337;729.0;0.745259139008
29.0;9.0;-13.32041546;206.0;-0.0646622109709
28.0;9.0;43.458887985;285.0;0.152487326263
27.0;9.0;114.72599207;220.0;0.521481782136
26.0;9.0;198.393055543;363.0;0.546537343094
25.0;9.0;33.743511912;102.0;0.330818744235
24.0;9.0;68.260335497;166.0;0.411206840343
23.0;9.0;-3.872582998;168.0;-0.0230510892738
22.0;9.0;9.058951463;171.0;0.052976324345
21.0;9.0;132.153412626;439.0;0.301032830583
20.0;9.0;-7.486679362;346.0;-0.0216378016243
19.0;9.0;268.845833331;544.0;0.494201899506
18.0;9.0;2159.69066557;2611.0;0.827150771953
17.0;9.0;6833.56839911;12204.0;0.55994496879
16.0;9.0;37.804461282;244.0;0.15493631673
15.0;9.0;84.690939784;613.0;0.138158139941
14.0;9.0;47.454865631;479.0;0.099070700691
13.0;9.0;28.4196603;485.0;0.058597237732
12.0;9.0;303.438926498;1420.0;0.213689384858
11.0;9.0;50.160878912;93.0;0.539364289376
10.0;9.0;59.613654406;237.0;0.251534406776
9.0;9.0;26.037690888;360.0;0.0723269191333
8.0;9.0;147.633632241;494.0;0.298853506561
