# day;month;sum;weight;mean
7.0;11.0;446.065277777;952.0;0.468555964051
6.0;11.0;786.367447924;1094.0;0.718800226622
5.0;11.0;669.908759775;5254.0;0.127504522226
4.0;11.0;143.227869288;482.0;0.297153255784
3.0;11.0;366.480357144;1051.0;0.348696819357
2.0;11.0;205.526237371;542.0;0.379199699946
1.0;11.0;-228.65754424;1369.0;-0.167025233192
31.0;10.0;192.088320654;387.0;0.496352249752
30.0;10.0;300.352893818;685.0;0.438471377836
29.0;10.0;901.678628338;2933.0;0.307425376181
28.0;10.0;-1506.93226646;30520.0;-0.0493752380886
27.0;10.0;96.313636365;170.0;0.566550802147
26.0;10.0;219.497439234;400.0;0.548743598085
25.0;10.0;-5.559343469;149.0;-0.0373110299933
24.0;10.0;21.568749995;86.0;0.250799418547
23.0;10.0;20.76875;42.0;0.494494047619
22.0;10.0;34.48125;219.0;0.157448630137
21.0;10.0;77.191071433;115.0;0.671226708113
20.0;10.0;34.226515269;1523.0;0.0224730894741
19.0;10.0;2.090530302;15.0;0.1393686868
18.0;10.0;108.638037512;327.0;0.33222641441
17.0;10.0;48.772222221;147.0;0.331783824633
16.0;10.0;161.531732826;267.0;0.604987763393
15.0;10.0;82.984821453;280.0;0.296374362332
14.0;10.0;156.046015248;491.0;0.317812658346
13.0;10.0;8.6375;235.0;0.0367553191489
12.0;10.0;77.145138889;192.0;0.40179759838
11.0;10.0;13.149999996;42.0;0.313095238
10.0;10.0;58.835714362;711.0;0.0827506531111
9.0;10.0;492.102594036;725.0;0.67876219867
8.0;10.0;19.127935594;94.0;0.203488676532
7.0;10.0;14.874776784;44.0;0.338063108727
6.0;10.0;43.092424222;134.0;0.321585255388
5.0;10.0;-65.47479802;975.0;-0.0671536389949
4.0;10.0;30.486093071;58.0;0.525622294328
3.0;10.0;121.077510246;633.0;0.191275687592
2.0;10.0;4.6125;17.0;0.271323529412
1.0;10.0;157.745075762;346.0;0.45591062359
30.0;9.0;24.130000023;129.0;0.187054263744
29.0;9.0;-15.227083331;149.0;-0.102195190141
28.0;9.0;-145.944126985;342.0;-0.426737213406
27.0;9.0;-50.393055556;613.0;-0.0822072684437
26.0;9.0;5.50625;100.0;0.0550625
25.0;9.0;47.55;103.0;0.461650485437
24.0;9.0;3.396527762;62.0;0.0547827058387
23.0;9.0;118.064285617;330.0;0.357770562476
22.0;9.0;20.054387568;346.0;0.057960657711
21.0;9.0;-165.968233112;269.0;-0.616982279227
20.0;9.0;30.624305479;214.0;0.14310423121
19.0;9.0;1.320238094;25.0;0.05280952376
18.0;9.0;-3.533333333;27.0;-0.130864197519
17.0;9.0;49.2;110.0;0.447272727273
16.0;9.0;7.550000002;28.0;0.269642857214
15.0;9.0;-58.369722174;444.0;-0.13146333823
14.0;9.0;42.307575758;93.0;0.454920169441
13.0;9.0;-0.775;20.0;-0.03875
12.0;9.0;40.095833334;106.0;0.378262578623
11.0;9.0;3.1875;12.0;0.265625
10.0;9.0;17.055621696;45.0;0.379013815467
9.0;9.0;170.849096861;848.0;0.201472991581
8.0;9.0;745.469365081;4044.0;0.184339605609
