# day;month;sum;weight;mean
7.0;11.0;7.01603535354;56.0;0.125286345599
6.0;11.0;84.0239087302;259.0;0.324416636024
5.0;11.0;31.8310479798;244.0;0.130455114671
4.0;11.0;-127.754729775;3397.0;-0.0376081041435
3.0;11.0;-12.8009469697;310.0;-0.0412933773216
2.0;11.0;138.086784512;368.0;0.375235827478
1.0;11.0;9.57372835498;35.0;0.273535095857
31.0;10.0;5.89766639613;318.0;0.0185461207425
30.0;10.0;20.4384848485;74.0;0.276195741196
29.0;10.0;-1.68183621934;32.0;-0.0525573818545
28.0;10.0;10.9171401515;23.0;0.474658267457
27.0;10.0;58.5311760462;135.0;0.433564267009
26.0;10.0;55.5815101912;565.0;0.0983743543207
25.0;10.0;49.6904040404;716.0;0.069400005643
24.0;10.0;2.83181818182;10.0;0.283181818182
23.0;10.0;72.2155539773;171.0;0.422313181154
22.0;10.0;42.4056818182;215.0;0.197235729387
21.0;10.0;74.6381493506;239.0;0.312293511927
20.0;10.0;-14.1666666667;547.0;-0.0258988421694
19.0;10.0;21.9092640693;97.0;0.225868701745
18.0;10.0;31.8852678571;99.0;0.322073412698
17.0;10.0;23.0895743146;116.0;0.199048054436
16.0;10.0;1.95492424242;78.0;0.0250631313131
15.0;10.0;0.233333333333;4.0;0.0583333333333
14.0;10.0;-0.032738095238;3.0;-0.0109126984127
13.0;10.0;-1.08888888889;57.0;-0.0191033138402
12.0;10.0;35.2308501684;139.0;0.253459353729
11.0;10.0;2.43721590909;24.0;0.101550662879
10.0;10.0;32.4020833334;922.0;0.0351432574115
9.0;10.0;-24.1561383929;47.0;-0.513960391337
8.0;10.0;-275.903887085;1503.0;-0.183568787149
7.0;10.0;-0.512878787878;57.0;-0.00899787347155
6.0;10.0;-8.33430735931;43.0;-0.193821101379
5.0;10.0;21.4943686868;85.0;0.252874925728
4.0;10.0;35.3455131674;387.0;0.091332075368
3.0;10.0;22.9929112554;157.0;0.146451664047
2.0;10.0;-0.045833333333;7.0;-0.00654761904757
1.0;10.0;299.786027861;4069.0;0.0736756028167
30.0;9.0;12.8610389611;118.0;0.108991855602
29.0;9.0;10.0636363636;174.0;0.0578369905956
28.0;9.0;-0.525;2.0;-0.2625
27.0;9.0;17.2073737374;107.0;0.160816576985
26.0;9.0;-2.68183261183;65.0;-0.0412589632589
25.0;9.0;118.036607143;191.0;0.617992707554
24.0;9.0;-1.36014159452;32.0;-0.0425044248286
23.0;9.0;9.78190115441;177.0;0.0552649782735
22.0;9.0;18.6257575758;362.0;0.0514523689938
21.0;9.0;27.8590909091;156.0;0.178583916084
20.0;9.0;10.0380681818;99.0;0.101394628099
19.0;9.0;32.0803571429;193.0;0.166219467062
18.0;9.0;15.45;135.0;0.114444444445
17.0;9.0;32.5906571293;125.0;0.260725257034
16.0;9.0;68.85;436.0;0.157912844037
15.0;9.0;19.6299242424;91.0;0.215713453213
14.0;9.0;66.3605735931;199.0;0.333470219061
13.0;9.0;-0.291666666667;5.0;-0.0583333333335
12.0;9.0;3.51123962843;17.0;0.206543507555
11.0;9.0;7.25641800257;58.0;0.125110655217
10.0;9.0;-0.949558080808;15.0;-0.0633038720538
9.0;9.0;2.85371711622;25.0;0.114148684649
8.0;9.0;2.59373092186;51.0;0.050857469056
