# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;40.390476191;77.0;0.524551638844
6;11;2.120833333;6.0;0.353472222167
5;11;7.266071431;26.0;0.279464285808
4;11;1.814671263;29.0;0.0625748711379
3;11;12.631060605;19.0;0.664792663421
2;11;0.473214286;15.0;0.0315476190667
1;11;17.303863633;117.0;0.147896270368
31;10;2.436868684;13.0;0.187451437231
30;10;-0.625;1.0;-0.625
29;10;0.533333333;2.0;0.2666666665
28;10;5.75;12.0;0.479166666667
27;10;1.379166667;4.0;0.34479166675
26;10;-2.024999999;20.0;-0.10124999995
25;10;0.0;0.0;0.0
24;10;-0.6;1.0;-0.6
23;10;0.1;3.0;0.0333333333333
22;10;0.0;0.0;0.0
21;10;0.0;0.0;0.0
20;10;1.133333333;2.0;0.5666666665
19;10;1.409415583;11.0;0.128128689364
18;10;4.385037868;44.0;0.0996599515455
17;10;1.943749999;14.0;0.138839285643
16;10;11.857178036;69.0;0.171843159942
15;10;6.853703704;15.0;0.456913580267
14;10;2.664814815;5.0;0.532962963
13;10;-0.037599207;17.0;-0.00221171805882
12;10;10.711666667;37.0;0.289504504514
11;10;1.14375;8.0;0.14296875
10;10;23.0;23.0;1.0
9;10;0.335227273;1.0;0.335227273
8;10;-1.2;6.0;-0.2
7;10;0.0;0.0;0.0
6;10;3.843576388;12.0;0.320298032333
5;10;22.921022723;108.0;0.21223169188
4;10;1.285714286;4.0;0.3214285715
3;10;0.35;2.0;0.175
2;10;1.966666667;3.0;0.655555555667
1;10;-2.002651511;15.0;-0.133510100733
30;9;50.15;68.0;0.7375
29;9;14.666666652;66.0;0.222222222
28;9;9.645454545;11.0;0.876859504091
27;9;55.333333333;60.0;0.922222222217
26;9;-0.188636364;10.0;-0.0188636364
25;9;0.65;2.0;0.325
24;9;0.0;0.0;0.0
23;9;0.6;2.0;0.3
22;9;2.5;7.0;0.357142857143
21;9;0.7;7.0;0.1
20;9;5.088311675;76.0;0.0669514694079
19;9;0.657142857;3.0;0.219047619
18;9;0.0;0.0;0.0
17;9;-4.1875;7.0;-0.598214285714
16;9;6.928571423;26.0;0.266483516269
15;9;0.6;3.0;0.2
14;9;1.14375;5.0;0.22875
13;9;1.788888893;27.0;0.0662551441852
12;9;0.0;0.0;0.0
11;9;0.0;0.0;0.0
10;9;0.0;0.0;0.0
9;9;15.783441553;71.0;0.222301993704
8;9;8.716666667;14.0;0.622619047643
