# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;1214.45687906;2463.0;0.493080340667
6;11;0.254166667;3.0;0.0847222223333
5;11;0.498078441;11.0;0.0452798582727
4;11;-10.4125;46.0;-0.226358695652
3;11;-0.955303031;8.0;-0.119412878875
2;11;4.834722223;11.0;0.439520202091
1;11;0.463293651;4.0;0.11582341275
31;10;2.1125;6.0;0.352083333333
30;10;-31.438257577;249.0;-0.126258062558
29;10;1.025;2.0;0.5125
28;10;0.300595238;4.0;0.0751488095
27;10;1.483333334;8.0;0.18541666675
26;10;-0.075;4.0;-0.01875
25;10;-0.5;1.0;-0.5
24;10;-0.029166666;2.0;-0.014583333
23;10;1.529625;3.0;0.509875
22;10;0.4;2.0;0.2
21;10;0.003571429;8.0;0.000446428625
20;10;1.736538462;6.0;0.289423077
19;10;0.263446969;8.0;0.032930871125
18;10;2.241984126;10.0;0.2241984126
17;10;6.0;6.0;1.0
16;10;0.0;0.0;0.0
15;10;-0.6;1.0;-0.6
14;10;-11.014404762;47.0;-0.234349037489
13;10;-0.3;4.0;-0.075
12;10;0.575;1.0;0.575
11;10;-1.156439385;29.0;-0.0398772201724
10;10;0.144372294;2.0;0.072186147
9;10;1.5;2.0;0.75
8;10;-1.409821429;5.0;-0.2819642858
7;10;-0.118055556;2.0;-0.059027778
6;10;0.640625;4.0;0.16015625
5;10;0.0;0.0;0.0
4;10;0.05;1.0;0.05
3;10;-0.2;1.0;-0.2
2;10;-0.90625;2.0;-0.453125
1;10;1.0;2.0;0.5
30;9;0.0;0.0;0.0
29;9;0.023958333;2.0;0.0119791665
28;9;-0.9;8.0;-0.1125
27;9;0.05;1.0;0.05
26;9;0.0;0.0;0.0
25;9;-0.142857143;1.0;-0.142857143
24;9;0.2;1.0;0.2
23;9;-0.7;3.0;-0.233333333333
22;9;-0.917857143;3.0;-0.305952381
21;9;0.8;1.0;0.8
20;9;0.06;1.0;0.06
19;9;0.1;1.0;0.1
18;9;0.3;2.0;0.15
17;9;-0.465277778;1.0;-0.465277778
16;9;0.0;0.0;0.0
15;9;-0.191666667;1.0;-0.191666667
14;9;2.23863636;11.0;0.203512396364
13;9;-0.458333334;3.0;-0.152777778
12;9;0.468181818;3.0;0.156060606
11;9;0.0;0.0;0.0
10;9;0.0;0.0;0.0
9;9;2.108333333;9.0;0.234259259222
8;9;-0.063888889;3.0;-0.0212962963333
