# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;16.5;33.0;0.5
6;11;1.361904761;8.0;0.170238095125
5;11;0.0;0.0;0.0
4;11;14.177222222;19.0;0.746169590632
3;11;28.486853642;240.0;0.118695223508
2;11;-9.073847431;227.0;-0.0399728961718
1;11;9.458988096;37.0;0.255648326919
31;10;23.32755291;74.0;0.315237201486
30;10;0.311363636;3.0;0.103787878667
29;10;16.047222234;47.0;0.341430260298
28;10;0.457467522;91.0;0.00502711562637
27;10;8.396496215;64.0;0.131195253359
26;10;13.599642846;70.0;0.194280612086
25;10;49.222727272;171.0;0.287852206269
24;10;4.084415583;35.0;0.116697588086
23;10;1.5;2.0;0.75
22;10;-1.883055556;20.0;-0.0941527778
21;10;7.252626262;53.0;0.136842004943
20;10;-0.47;3.0;-0.156666666667
19;10;61.662929042;411.0;0.150031457523
18;10;6.741666665;23.0;0.293115941957
17;10;18.878030289;110.0;0.171618457173
16;10;-0.25;1.0;-0.25
15;10;3.79563492;14.0;0.27111678
14;10;1.683333337;15.0;0.112222222467
13;10;11.003030304;30.0;0.3667676768
12;10;7.9375;30.0;0.264583333333
11;10;1.0625;8.0;0.1328125
10;10;0.515476197;24.0;0.021478174875
9;10;-0.664285715;6.0;-0.110714285833
8;10;-0.2;2.0;-0.1
7;10;14.814166667;39.0;0.379850427359
6;10;1.4;11.0;0.127272727273
5;10;1.726515153;20.0;0.08632575765
4;10;7.520418457;69.0;0.108991571841
3;10;3.2;4.0;0.8
2;10;3.625;7.0;0.517857142857
1;10;-0.6;2.0;-0.3
30;9;-1.344444444;2.0;-0.672222222
29;9;8.743181819;25.0;0.34972727276
28;9;0.324404762;4.0;0.0811011905
27;9;26.445535714;82.0;0.322506533098
26;9;6.943181801;44.0;0.157799586386
25;9;3.675;21.0;0.175
24;9;0.8;2.0;0.4
23;9;-0.029166667;13.0;-0.00224358976923
22;9;1.948863636;23.0;0.0847332015652
21;9;1.020833335;10.0;0.1020833335
20;9;1.525;8.0;0.190625
19;9;-0.395833333;6.0;-0.0659722221667
18;9;0.0;0.0;0.0
17;9;0.208333333;2.0;0.1041666665
16;9;4.838920636;14.0;0.345637188286
15;9;2.343750002;11.0;0.213068182
14;9;-0.052083333;1.0;-0.052083333
13;9;3.836363633;35.0;0.109610389514
12;9;5.436363625;42.0;0.129437229167
11;9;7.33333334;21.0;0.349206349524
10;9;0.05;1.0;0.05
9;9;9.15;24.0;0.38125
8;9;4.5;9.0;0.5
