# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;293.464687907;995.0;0.294939384831
6;11;1721.4362668;8464.0;0.203383301843
5;11;1152.24104194;4751.0;0.242526003355
4;11;550.909097158;1482.0;0.371733533845
3;11;6415.01247986;11509.0;0.557390953155
2;11;548.769311213;1855.0;0.295832512783
1;11;453.920578982;1619.0;0.280370956752
31;10;539.332457491;1102.0;0.489412393368
30;10;806.295689041;1837.0;0.43891980895
29;10;358.863724675;1356.0;0.26464876451
28;10;119.068186896;1345.0;0.0885265330082
27;10;221.685768368;830.0;0.26709128719
26;10;50.286810826;1001.0;0.0502365742517
25;10;127.973341386;769.0;0.166415268382
24;10;2016.26843876;6586.0;0.306144615663
23;10;1232.88038767;2988.0;0.41261057151
22;10;1102.83859455;4821.0;0.22875722766
21;10;165.433558802;515.0;0.321230211266
20;10;126.700924501;1610.0;0.0786962263981
19;10;2077.13390217;3102.0;0.66961118703
18;10;164.990992533;562.0;0.293578278528
17;10;958.726914651;2148.0;0.446334690247
16;10;260.130831526;997.0;0.260913572243
15;10;1018.53360076;5378.0;0.189388917955
14;10;-730.673239291;3240.0;-0.22551643188
13;10;554.15620722;3401.0;0.162939196478
12;10;200.372474743;550.0;0.364313590442
11;10;178.514418052;810.0;0.220388170435
10;10;203.22794507;830.0;0.244852945867
9;10;-170.85903191;586.0;-0.29156831384
8;10;-162.171349188;825.0;-0.196571332349
7;10;173.445472593;575.0;0.301644300162
6;10;93.328642664;417.0;0.223809694638
5;10;244.578989235;950.0;0.257451567616
4;10;209.3244018;573.0;0.365313092147
3;10;43.621870457;371.0;0.117579165652
2;10;132.362420634;245.0;0.540254778098
1;10;201.941111091;382.0;0.528641652071
30;9;54.60726008;491.0;0.111216415642
29;9;101.299337117;299.0;0.338793769622
28;9;310.945956838;1951.0;0.159377732874
27;9;104.627435058;353.0;0.296395000164
26;9;29.645075752;297.0;0.0998150698721
25;9;-29.725833334;38.0;-0.782258771947
24;9;118.16373105;325.0;0.363580710923
23;9;109.161613168;367.0;0.297443087651
22;9;169.077017897;501.0;0.337479077639
21;9;57.596951666;362.0;0.159107601287
20;9;56.891519374;173.0;0.328852713145
19;9;26.17026515;125.0;0.2093621212
18;9;55.763054655;82.0;0.68003725189
17;9;143.456114737;427.0;0.335962797979
16;9;112.49655889;455.0;0.247245184374
15;9;111.045955102;400.0;0.277614887755
14;9;54.270068532;186.0;0.291774562
13;9;60.552254688;274.0;0.220993630248
12;9;9.63526935;103.0;0.0935463043689
11;9;13.123190238;96.0;0.136699898312
10;9;63.105119024;165.0;0.382455266812
9;9;100.237077624;471.0;0.212817574573
8;9;4.107305195;126.0;0.0325976602778
