# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;15.25;46.0;0.33152173913
6;11;0.0;0.0;0.0
5;11;0.223214286;1.0;0.223214286
4;11;0.661363636;18.0;0.0367424242222
3;11;10.653125;27.0;0.394560185185
2;11;-1.269318182;24.0;-0.0528882575833
1;11;9.729861109;33.0;0.29484427603
31;10;0.25;2.0;0.125
30;10;3.5;5.0;0.7
29;10;-0.152777778;5.0;-0.0305555556
28;10;0.35492424;19.0;0.0186802231579
27;10;12.705113636;34.0;0.373679812824
26;10;4.384090909;14.0;0.313149350643
25;10;1.459357862;60.0;0.0243226310333
24;10;43.595199319;209.0;0.208589470426
23;10;2.201515151;9.0;0.244612794556
22;10;3.557638888;9.0;0.395293209778
21;10;9.0;22.0;0.409090909091
20;10;15.250000002;42.0;0.363095238143
19;10;13.1125;26.0;0.504326923077
18;10;2.170391413;16.0;0.135649463312
17;10;3.201819535;18.0;0.177878863056
16;10;17.387797621;40.0;0.434694940525
15;10;10.495238096;31.0;0.338556067613
14;10;67.110119107;243.0;0.276173329658
13;10;12.091111111;39.0;0.310028490026
12;10;6.880684129;48.0;0.143347586021
11;10;18.405363779;2303.0;0.0079919078502
10;10;3.83056277;102.0;0.0375545369608
9;10;16.516686389;240.0;0.0688195266208
8;10;2024.82755006;10427.0;0.194190807525
7;10;2.25;7.0;0.321428571429
6;10;1.539814815;23.0;0.0669484702174
5;10;1.641666666;13.0;0.126282051231
4;10;12.233333333;21.0;0.582539682524
3;10;-0.4;10.0;-0.04
2;10;0.4765625;3.0;0.158854166667
1;10;-0.374999999;5.0;-0.0749999998
30;9;0.583333333;8.0;0.072916666625
29;9;4.61875;30.0;0.153958333333
28;9;15.927777777;56.0;0.284424603161
27;9;-0.825000001;6.0;-0.137500000167
26;9;-2.611111111;33.0;-0.0791245791212
25;9;-0.15625;1.0;-0.15625
24;9;0.975;5.0;0.195
23;9;1.470833333;16.0;0.0919270833125
22;9;-47.597777779;119.0;-0.399981325874
21;9;3.163888889;14.0;0.2259920635
20;9;6.258333333;16.0;0.391145833313
19;9;9.641666666;13.0;0.741666666615
18;9;10.4;13.0;0.8
17;9;2.6;6.0;0.433333333333
16;9;-2.955555556;32.0;-0.092361111125
15;9;5.5;14.0;0.392857142857
14;9;2.945238095;26.0;0.113278388269
13;9;7.736363636;17.0;0.455080213882
12;9;15.375;25.0;0.615
11;9;11.366666667;30.0;0.3788888889
10;9;5.875;8.0;0.734375
9;9;2.164141414;11.0;0.196740128545
8;9;13.25;15.0;0.883333333333
