# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;812.013483728;3466.0;0.234279712559
6;11;4.60499526515;14.0;0.328928233225
5;11;8.82238095238;41.0;0.215180023229
4;11;17.9337108031;57.0;0.314626505317
3;11;86.8127380952;706.0;0.122964218265
2;11;376.706473211;1004.0;0.375205650609
1;11;871.94869103;3174.0;0.274716033721
31;10;6.57071428571;30.0;0.219023809524
30;10;12.4698809524;39.0;0.31974053724
29;10;7.47738095238;14.0;0.534098639456
28;10;2.73027777778;23.0;0.118707729469
27;10;41.0332142857;101.0;0.406269448373
26;10;967.455036075;1733.0;0.55825449283
25;10;6.72113095238;29.0;0.231763136289
24;10;1.64642857143;22.0;0.0748376623377
23;10;-58.980952381;485.0;-0.121610211095
22;10;7.8125;21.0;0.372023809524
21;10;7.39305555556;19.0;0.389108187135
20;10;-465.98560794;11121.0;-0.0419014124575
19;10;45.5622965368;76.0;0.5995039018
18;10;1.83611111111;8.0;0.229513888889
17;10;7.86825396825;20.0;0.393412698413
16;10;0.5;1.0;0.5
15;10;15.704375;39.0;0.402676282051
14;10;511.852777778;793.0;0.6454637803
13;10;3.98975018037;21.0;0.189988103827
12;10;5.35944444444;27.0;0.198497942387
11;10;1.50873015873;26.0;0.0580280830281
10;10;85.1236855156;2380.0;0.0357662544183
9;10;-0.774702380953;17.0;-0.0455707282913
8;10;6.05912698412;62.0;0.0977278545826
7;10;13.0822999339;42.0;0.311483331759
6;10;40.1091991342;122.0;0.32876392733
5;10;244.174498106;8270.0;0.0295253322982
4;10;0.95;3.0;0.316666666667
3;10;0.174609375;6.0;0.0291015625
2;10;-16.371875;88.0;-0.186044034091
1;10;2.60525793651;7.0;0.372179705215
30;9;27.1629365079;160.0;0.169768353174
29;9;24.8786433532;73.0;0.340803333605
28;9;28.1388988095;124.0;0.226926603303
27;9;768.127008293;6780.0;0.11329306907
26;9;320.621144481;430.0;0.745630568559
25;9;-44.0205555557;295.0;-0.149222222223
24;9;13.7732323232;48.0;0.286942340067
23;9;218.832397186;508.0;0.430772435406
22;9;14.4214285714;36.0;0.400595238095
21;9;0.416666666667;6.0;0.0694444444445
20;9;8.95833333333;32.0;0.279947916667
19;9;0.2875;6.0;0.0479166666667
18;9;3.23194444445;18.0;0.179552469136
17;9;-0.6;2.0;-0.3
16;9;-1.99696969696;24.0;-0.0832070707068
15;9;4.5375;14.0;0.324107142857
14;9;2.18636363636;24.0;0.0910984848485
13;9;1.35636363636;8.0;0.169545454545
12;9;8.4625;16.0;0.52890625
11;9;7.57268443362;18.0;0.420704690757
10;9;29.6441144142;135.0;0.219586032698
9;9;3135.76914532;4370.0;0.717567310142
8;9;12.6830555556;28.0;0.452966269841
