# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;12.227380944;59.0;0.207243744814
6;11;3.727380953;19.0;0.196177944895
5;11;53.350833346;125.0;0.426806666768
4;11;34.303179122;115.0;0.298288514104
3;11;12.449999989;51.0;0.244117646843
2;11;24.286525964;98.0;0.24782169351
1;11;36.681313018;350.0;0.10480375148
31;10;21.919318172;203.0;0.107976936808
30;10;-0.412987014;19.0;-0.0217361586316
29;10;14.987121222;45.0;0.333047138267
28;10;-3.38705358;77.0;-0.0439877088312
27;10;3.095454544;9.0;0.343939393778
26;10;-0.157575758;23.0;-0.00685111991304
25;10;-5.729924247;46.0;-0.124563570587
24;10;19.564465638;162.0;0.120768306407
23;10;35.15530299;96.0;0.366201072813
22;10;29.430176764;128.0;0.229923255969
21;10;40.926988629;151.0;0.271039659795
20;10;13.810353549;91.0;0.151762126912
19;10;3.066666666;48.0;0.063888888875
18;10;-10.804545456;62.0;-0.174266862194
17;10;4.032196997;118.0;0.0341711609915
16;10;7.553124999;41.0;0.184222560951
15;10;11.364709595;85.0;0.133702465824
14;10;13.522240251;80.0;0.169028003137
13;10;20.913003242;52.0;0.402173139269
12;10;34.781082245;73.0;0.476453181438
11;10;91.20830177;232.0;0.393139231767
10;10;7.547727272;18.0;0.419318181778
9;10;3.072769356;67.0;0.045862229194
8;10;13.760589151;79.0;0.174184672797
7;10;7.177651511;43.0;0.166922128163
6;10;5.834090908;20.0;0.2917045454
5;10;-3.129166667;77.0;-0.0406385281429
4;10;12.639024166;57.0;0.22173726607
3;10;21.813822749;93.0;0.23455723386
2;10;29.297727265;69.0;0.424604742971
1;10;-0.125;1.0;-0.125
30;9;12.400378785;52.0;0.238468822788
29;9;10.470833328;65.0;0.161089743508
28;9;235.671757398;514.0;0.458505364588
27;9;0.535395621;18.0;0.0297442011667
26;9;8.0;21.0;0.380952380952
25;9;5.388636363;14.0;0.384902597357
24;9;4.943849207;15.0;0.329589947133
23;9;4.335930736;29.0;0.149514852966
22;9;-4.999801604;53.0;-0.0943358793208
21;9;10.779356062;27.0;0.399235409704
20;9;10.058820336;66.0;0.152406368727
19;9;10.436435778;71.0;0.146992053211
18;9;-0.100000003;11.0;-0.00909090936364
17;9;25.453333339;95.0;0.267929824621
16;9;-0.795454548;21.0;-0.037878788
15;9;5.048989896;21.0;0.240428090286
14;9;10.197077922;19.0;0.536688311684
13;9;0.25;3.0;0.0833333333333
12;9;2.178811555;14.0;0.155629396786
11;9;8.886160711;145.0;0.0612838669724
10;9;1.575;6.0;0.2625
9;9;23.449242429;120.0;0.195410353575
8;9;4.524242423;19.0;0.238118022263
