# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;556.957972044;991.0;0.562016117098
6;11;-266.146412574;686.0;-0.387968531449
5;11;30.579888165;64.0;0.477810752578
4;11;-60.940717905;446.0;-0.136638380953
3;11;211.76712302;424.0;0.49945076184
2;11;82.200259139;243.0;0.338272671354
1;11;41.414595958;205.0;0.202022419307
31;10;-218.641263263;1043.0;-0.209627289802
30;10;39.374752921;231.0;0.170453475848
29;10;9.269823232;78.0;0.11884388759
28;10;153.39032269;860.0;0.178360840337
27;10;25.697794904;127.0;0.202344841764
26;10;20.6605279;147.0;0.140547808844
25;10;62.187247477;165.0;0.376892408952
24;10;14.120100552;203.0;0.0695571455764
23;10;11.216666668;47.0;0.238652482298
22;10;-32.154545449;240.0;-0.133977272704
21;10;24.713352259;222.0;0.111321406572
20;10;179.425934657;730.0;0.245788951585
19;10;54.949038327;174.0;0.315799070845
18;10;62.172127517;320.0;0.194287898491
17;10;14.428067111;213.0;0.067737404277
16;10;17.624040398;97.0;0.181691138124
15;10;39.459696966;192.0;0.205519255031
14;10;58.605830626;196.0;0.299009339929
13;10;19.690251287;308.0;0.0639293872955
12;10;111.719029682;744.0;0.150159986132
11;10;24.795617351;227.0;0.109231794498
10;10;-23.71610389;405.0;-0.0585582812099
9;10;-38.538353181;272.0;-0.141685121989
8;10;109.582583858;902.0;0.121488452171
7;10;-91.044702619;837.0;-0.108775032998
6;10;5.909190113;70.0;0.0844170016143
5;10;43.716423159;149.0;0.293398813148
4;10;43.022295459;183.0;0.235094510705
3;10;21.391936633;172.0;0.12437172461
2;10;4.549523816;123.0;0.0369879985041
1;10;5.479640147;229.0;0.0239285595939
30;9;13.220220046;113.0;0.116993097752
29;9;35.88295454;196.0;0.183076298673
28;9;255.601024465;842.0;0.303564162072
27;9;0.247937707;71.0;0.00349208038028
26;9;33.251291942;111.0;0.299561188667
25;9;32.120281359;150.0;0.21413520906
24;9;47.472823176;182.0;0.26083968778
23;9;174.973971853;523.0;0.334558263581
22;9;60.605842974;229.0;0.264654336131
21;9;32.0107684;169.0;0.189412830769
20;9;20.751593073;154.0;0.13475060437
19;9;1.222805436;139.0;0.00879716141007
18;9;16.906852452;105.0;0.1610176424
17;9;58.985309941;119.0;0.495674873454
16;9;77.266630592;211.0;0.366192562047
15;9;86.277635731;239.0;0.360994291762
14;9;88.390255225;544.0;0.162482086811
13;9;59.706058354;329.0;0.181477381015
12;9;58.222162599;392.0;0.148525924997
11;9;14.094047629;290.0;0.0486001642379
10;9;1.109420095;39.0;0.0284466691026
9;9;-36.025833344;687.0;-0.0524393498457
8;9;21.663570262;172.0;0.125950989895
