# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;7.991666673;28.0;0.285416666893
6;11;8.416666667;19.0;0.442982456158
5;11;8.300320464;235.0;0.0353205126128
4;11;10.022767857;32.0;0.313211495531
3;11;1.087644299;22.0;0.0494383772273
2;11;132.315737687;484.0;0.27337962332
1;11;9.609659084;142.0;0.0676736555211
31;10;4.184217163;67.0;0.0624510024328
30;10;18.945833333;28.0;0.67663690475
29;10;0.0;0.0;0.0
28;10;-51.642911255;613.0;-0.0842461847553
27;10;24.208267203;68.0;0.356003929456
26;10;37.8279672;287.0;0.131804763763
25;10;4.9;39.0;0.125641025641
24;10;13.955271473;153.0;0.0912109246601
23;10;-6.883111115;27.0;-0.254930041296
22;10;-1.133531746;25.0;-0.04534126984
21;10;0.15;4.0;0.0375
20;10;22.442514426;198.0;0.113346032455
19;10;6.997222222;28.0;0.249900793643
18;10;-33.225297621;50.0;-0.66450595242
17;10;13.109241224;133.0;0.0985657234887
16;10;-1.422083333;25.0;-0.05688333332
15;10;-3.464865884;1297.0;-0.00267144632537
14;10;30.909920642;138.0;0.223984932188
13;10;-155.330536024;619.0;-0.250937861105
12;10;56.501466443;545.0;0.103672415492
11;10;20.864285709;100.0;0.20864285709
10;10;2.011813166;178.0;0.0113023211573
9;10;2.836386102;524.0;0.00541295057634
8;10;308.381199852;1965.0;0.15693699738
7;10;27.018614728;82.0;0.329495301561
6;10;21.839583333;66.0;0.330902777773
5;10;-0.325;4.0;-0.08125
4;10;9.932142862;34.0;0.292121848882
3;10;-11.333333333;18.0;-0.629629629611
2;10;7.8;15.0;0.52
1;10;30.543679658;83.0;0.367996140458
30;9;6.73;130.0;0.0517692307692
29;9;-1.529696969;96.0;-0.0159343434271
28;9;19.733258928;29.0;0.680457204414
27;9;-7.574999994;48.0;-0.157812499875
26;9;8.773484841;38.0;0.230881180026
25;9;7.420833333;24.0;0.309201388875
24;9;-2.939285714;10.0;-0.2939285714
23;9;7.132846319;49.0;0.145568292224
22;9;0.364015148;58.0;0.00627612324138
21;9;-5.655208332;65.0;-0.0870032051077
20;9;33.239745676;160.0;0.207748410475
19;9;3.802857142;21.0;0.181088435333
18;9;6.205555554;17.0;0.365032679647
17;9;0.94375;4.0;0.2359375
16;9;-1.545535714;11.0;-0.140503246727
15;9;-15.375389612;49.0;-0.313783461469
14;9;12.654166667;22.0;0.575189393955
13;9;14.856227107;36.0;0.412672975194
12;9;0.933333333;4.0;0.23333333325
11;9;54.969642857;69.0;0.796661490681
10;9;3.574999997;12.0;0.297916666417
9;9;4.6025;18.0;0.255694444444
8;9;22.213690476;56.0;0.396673044214
