# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;980.29729865;1968.0;0.498118546062
6;11;2568.85313085;3568.0;0.719970047885
5;11;310.944271312;2480.0;0.125380754561
4;11;587.152122165;1777.0;0.330417626429
3;11;201.417410703;1092.0;0.184448178299
2;11;343.808910423;943.0;0.364590573089
1;11;210.093369478;1409.0;0.149108140155
31;10;54.913604795;733.0;0.0749162411937
30;10;136.88460768;489.0;0.279927623067
29;10;413.124732168;1568.0;0.263472405719
28;10;291.075163327;1005.0;0.289627028186
27;10;47.918042024;151.0;0.317338026649
26;10;182.699779035;686.0;0.266326208506
25;10;320.419104027;903.0;0.354838431924
24;10;135.398878467;1357.0;0.0997780976175
23;10;357.686458274;804.0;0.44488365457
22;10;395.450786391;874.0;0.452460853994
21;10;115.330118215;360.0;0.320361439486
20;10;2.930705504;289.0;0.0101408494948
19;10;82.056736987;794.0;0.103346016356
18;10;39.055435266;359.0;0.108789513276
17;10;138.30104617;404.0;0.342329322203
16;10;115.942067043;407.0;0.284869943595
15;10;154.35959822;581.0;0.265679170775
14;10;1341.21041519;4734.0;0.28331440963
13;10;99.984289392;567.0;0.17633913473
12;10;133.035811373;549.0;0.242323882282
11;10;55.918823954;193.0;0.28973483914
10;10;1249.06569734;2503.0;0.499027446
9;10;42.058412868;715.0;0.0588229550601
8;10;283.347551406;583.0;0.486016383201
7;10;54.740550578;163.0;0.335831598638
6;10;69.090714293;218.0;0.316929882078
5;10;138.263628473;300.0;0.460878761577
4;10;72.033806819;329.0;0.218947741091
3;10;-579.87970178;1222.0;-0.474533307512
2;10;2.861452018;18.0;0.158969556556
1;10;149.442261916;400.0;0.37360565479
30;9;143.85695075;537.0;0.267890038641
29;9;9.42083333;47.0;0.20044326234
28;9;28.245012624;110.0;0.256772842036
27;9;8.113878369;25.0;0.32455513476
26;9;-17.210551956;171.0;-0.100646502667
25;9;0.0;0.0;0.0
24;9;-3136.0;6272.0;-0.5
23;9;0.0;0.0;0.0
22;9;0.0;0.0;0.0
21;9;0.0;0.0;0.0
20;9;0.0;0.0;0.0
19;9;0.0;0.0;0.0
18;9;0.0;0.0;0.0
17;9;0.0;0.0;0.0
16;9;0.0;0.0;0.0
15;9;0.0;0.0;0.0
14;9;0.0;0.0;0.0
13;9;0.0;0.0;0.0
12;9;0.0;0.0;0.0
11;9;0.0;0.0;0.0
10;9;0.0;0.0;0.0
9;9;0.0;0.0;0.0
8;9;-1266.2911621;14597.0;-0.0867500967388
