# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;353.567267956;1894.0;0.186677543799
6;11;207.101731626;1193.0;0.173597428018
5;11;326.210246173;1012.0;0.322342140487
4;11;606.724896196;1857.0;0.326723153579
3;11;772.559484798;2953.0;0.261618518387
2;11;771.723497493;4487.0;0.171990973366
1;11;223.241223326;744.0;0.300055407696
31;10;181.97368055;995.0;0.182888121156
30;10;125.571245732;1547.0;0.0811708117207
29;10;330.371690591;1175.0;0.281167396248
28;10;867.135237671;3901.0;0.222285372384
27;10;418.556600123;1491.0;0.28072206581
26;10;196.077593632;2357.0;0.0831894754485
25;10;254.393686463;2652.0;0.0959252211399
24;10;437.172823518;1401.0;0.31204341436
23;10;0.0;0.0;0.0
22;10;0.0;0.0;0.0
21;10;0.0;0.0;0.0
20;10;0.0;0.0;0.0
19;10;0.0;0.0;0.0
18;10;8.25;220.0;0.0375
17;10;0.0;0.0;0.0
16;10;0.0;0.0;0.0
15;10;0.0;0.0;0.0
14;10;0.0;0.0;0.0
13;10;0.0;0.0;0.0
12;10;0.0;0.0;0.0
11;10;0.0;0.0;0.0
10;10;0.0;0.0;0.0
9;10;0.0;0.0;0.0
8;10;0.0;0.0;0.0
7;10;0.0;0.0;0.0
6;10;0.0;0.0;0.0
5;10;0.0;0.0;0.0
4;10;0.0;0.0;0.0
3;10;0.0;0.0;0.0
2;10;0.0;0.0;0.0
1;10;0.0;0.0;0.0
30;9;0.0;0.0;0.0
29;9;0.0;0.0;0.0
28;9;0.0;0.0;0.0
27;9;0.0;0.0;0.0
26;9;0.0;0.0;0.0
25;9;0.0;0.0;0.0
24;9;0.0;0.0;0.0
23;9;0.0;0.0;0.0
22;9;0.0;0.0;0.0
21;9;0.0;0.0;0.0
20;9;0.0;0.0;0.0
19;9;0.0;0.0;0.0
18;9;0.0;0.0;0.0
17;9;0.0;0.0;0.0
16;9;0.0;0.0;0.0
15;9;0.0;0.0;0.0
14;9;0.0;0.0;0.0
13;9;0.0;0.0;0.0
12;9;0.0;0.0;0.0
11;9;0.0;0.0;0.0
10;9;0.0;0.0;0.0
9;9;0.0;0.0;0.0
8;9;12790.318335;85398.0;0.149773043104
