# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;0.416666667;3.0;0.138888889
6;11;0.5;1.0;0.5
5;11;5.430681818;24.0;0.226278409083
4;11;9.08952381;44.0;0.206580086591
3;11;11.293181818;73.0;0.154701120795
2;11;1.507142856;8.0;0.188392857
1;11;8.502380952;18.0;0.472354497333
31;10;1.254274892;4.0;0.313568723
30;10;-1.82;4.0;-0.455
29;10;0.496428571;1.0;0.496428571
28;10;1.56641414;23.0;0.0681049626087
27;10;2.16212121;14.0;0.154437229286
26;10;12.420833333;18.0;0.690046296278
25;10;20.812500012;40.0;0.5203125003
24;10;-0.1;1.0;-0.1
23;10;-0.2;1.0;-0.2
22;10;0.25;1.0;0.25
21;10;6.45;22.0;0.293181818182
20;10;9.208333334;20.0;0.4604166667
19;10;-5.875;47.0;-0.125
18;10;0.4;4.0;0.1
17;10;9.1;13.0;0.7
16;10;-0.125;1.0;-0.125
15;10;-0.633333334;86.0;-0.00736434109302
14;10;4.791666666;13.0;0.368589743538
13;10;-0.083333332;6.0;-0.0138888886667
12;10;21.288333335;47.0;0.452943262447
11;10;0.758333334;5.0;0.1516666668
10;10;2.225;19.0;0.117105263158
9;10;-1.215719697;11.0;-0.110519972455
8;10;-28.456865054;123.0;-0.231356626455
7;10;19.085416669;39.0;0.489369658179
6;10;9.526515151;20.0;0.47632575755
5;10;3.475;8.0;0.434375
4;10;27.500303032;99.0;0.277780838707
3;10;11.327926587;39.0;0.290459656077
2;10;-0.25;1.0;-0.25
1;10;0.19047619;1.0;0.19047619
30;9;-0.54765625;9.0;-0.0608506944444
29;9;9.252383206;34.0;0.272128917824
28;9;-27.177579365;248.0;-0.109587013569
27;9;4.091666664;10.0;0.4091666664
26;9;0.49444445;30.0;0.0164814816667
25;9;0.289166667;4.0;0.07229166675
24;9;4.631195745;11.0;0.421017795
23;9;26.895833333;45.0;0.597685185178
22;9;24.672619048;56.0;0.440582483
21;9;3.468055556;9.0;0.385339506222
20;9;7.162499999;31.0;0.231048387065
19;9;-16.9375;36.0;-0.470486111111
18;9;-0.175;2.0;-0.0875
17;9;3.4;9.0;0.377777777778
16;9;46.71944444;95.0;0.491783625684
15;9;5.269696969;30.0;0.175656565633
14;9;7.443333332;23.0;0.323623188348
13;9;26.6830808;71.0;0.375818039437
12;9;2.05;7.0;0.292857142857
11;9;9.475;43.0;0.220348837209
10;9;1.1;9.0;0.122222222222
9;9;0.30625;2.0;0.153125
8;9;16.841666666;85.0;0.198137254894
