# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;24.309722222;116.0;0.209566570879
6;11;3.669444444;18.0;0.203858024667
5;11;-0.295833333;33.0;-0.00896464645455
4;11;20.127777777;110.0;0.182979797973
3;11;67.533313492;166.0;0.406827189711
2;11;12.553273799;83.0;0.151244262639
1;11;40.341577375;326.0;0.123747169862
31;10;15.16577381;92.0;0.1648453675
30;10;43.724801587;142.0;0.307921137937
29;10;30.951593511;123.0;0.251638971634
28;10;73.666746007;273.0;0.269841560465
27;10;77.439379505;306.0;0.253069867663
26;10;16.981944447;423.0;0.040146440773
25;10;73.372639585;209.0;0.351065261172
24;10;26.986147177;218.0;0.12378966595
23;10;8.342812048;45.0;0.185395823289
22;10;5.741373018;27.0;0.212643445111
21;10;-77.242133385;173.0;-0.446486320145
20;10;40.863274397;223.0;0.183243382946
19;10;15.198412707;65.0;0.233821733954
18;10;66.421491702;237.0;0.280259458658
17;10;60.573673041;368.0;0.164602372394
16;10;-77.545413968;283.0;-0.274012063491
15;10;197.118055554;468.0;0.421192426397
14;10;15.935082965;87.0;0.183161873161
13;10;21.638241341;89.0;0.243126307202
12;10;8.461580074;80.0;0.105769750925
11;10;97.993127736;432.0;0.226835943833
10;10;8.029797977;43.0;0.186739487837
9;10;3.995833333;26.0;0.153685897423
8;10;35.381331154;124.0;0.285333315758
7;10;48.20064935;151.0;0.319209598344
6;10;57.50218164;177.0;0.324871082712
5;10;8.864814814;35.0;0.253280423257
4;10;13.904978352;206.0;0.0674998949126
3;10;2.200054113;18.0;0.1222252285
2;10;0.007142857;5.0;0.0014285714
1;10;4.217857143;29.0;0.145443349759
30;9;0.965827922;65.0;0.0148588911077
29;9;-5.207803014;280.0;-0.0185992964786
28;9;68.073756763;244.0;0.278990806406
27;9;11.14940475;137.0;0.0813825164234
26;9;38.210515875;89.0;0.429331639045
25;9;4.816815476;24.0;0.200700644833
24;9;25.006150792;88.0;0.284160804455
23;9;14.215016228;95.0;0.149631749768
22;9;45.168479428;297.0;0.152082422316
21;9;231.438302925;379.0;0.610655152836
20;9;19.470424113;142.0;0.137115662768
19;9;-11.759523803;65.0;-0.180915750815
18;9;7.434821426;123.0;0.0604457026504
17;9;-6.455799065;127.0;-0.0508330635039
16;9;-47.212570336;355.0;-0.132993155876
15;9;87.844841269;274.0;0.320601610471
14;9;-122.020583053;431.0;-0.283110401515
13;9;15.416506301;193.0;0.0798782709896
12;9;5.121111112;41.0;0.124905149073
11;9;-5.951785714;64.0;-0.0929966517813
10;9;-11.553452381;181.0;-0.0638312286243
9;9;33.264956706;115.0;0.289260493096
8;9;53.068174655;268.0;0.198015577071
