# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;111.362500019;221.0;0.503902715018
6;11;67.485836028;111.0;0.607980504757
5;11;117.149761901;234.0;0.500640008124
4;11;25.83263346;200.0;0.1291631673
3;11;78.399583333;128.0;0.612496744789
2;11;14.175;73.0;0.194178082192
1;11;39.275297619;133.0;0.295302989617
31;10;40.884722224;108.0;0.378562242815
30;10;5.641071429;35.0;0.1611734694
29;10;28.741666652;83.0;0.346285140386
28;10;187.809848475;266.0;0.706052061936
27;10;65.831842243;149.0;0.441824444584
26;10;85.181481482;134.0;0.635682697627
25;10;19.504444444;109.0;0.178939857284
24;10;23.542916663;56.0;0.420409226125
23;10;3.625;16.0;0.2265625
22;10;14.386111108;110.0;0.130782828255
21;10;19.321049785;59.0;0.327475420085
20;10;133.807490954;492.0;0.271966445028
19;10;24.598333333;100.0;0.24598333333
18;10;-2.905555557;54.0;-0.0538065843889
17;10;30.192857144;87.0;0.347044334989
16;10;32.821851849;60.0;0.54703086415
15;10;41.275;131.0;0.315076335878
14;10;3.05;23.0;0.132608695652
13;10;15.966628784;49.0;0.32584956702
12;10;37.10596591;302.0;0.122867436788
11;10;7.838351373;54.0;0.145154655056
10;10;2.300231481;26.0;0.0884704415769
9;10;-26.623611112;98.0;-0.271669501143
8;10;31.772729958;291.0;0.109184639031
7;10;0.825;10.0;0.0825
6;10;6.004617603;47.0;0.12775782134
5;10;15.3;38.0;0.402631578947
4;10;51.550649351;110.0;0.468642266827
3;10;11.232179529;116.0;0.0968291338707
2;10;0.608333337;21.0;0.0289682541429
1;10;-11.770833334;61.0;-0.192964480885
30;9;7.834920634;25.0;0.31339682536
29;9;72.226262621;164.0;0.440404040372
28;9;-2.925;51.0;-0.0573529411765
27;9;12.633333334;26.0;0.485897435923
26;9;4.499999996;18.0;0.249999999778
25;9;19.86979168;74.0;0.268510698378
24;9;0.375;1.0;0.375
23;9;7.402777772;36.0;0.205632715889
22;9;9.8;70.0;0.14
21;9;20.5;76.0;0.269736842105
20;9;13.107765148;42.0;0.312089646381
19;9;-1.488888893;17.0;-0.0875816995882
18;9;41.15;74.0;0.556081081081
17;9;23.075;40.0;0.576875
16;9;10.89375;48.0;0.226953125
15;9;3.148665222;28.0;0.112452329357
14;9;43.119994587;83.0;0.519518007072
13;9;97.445896463;185.0;0.526734575476
12;9;32.691666667;42.0;0.778373015881
11;9;39.522916672;79.0;0.500290084456
10;9;4.193541666;156.0;0.0268816773462
9;9;91.795535714;177.0;0.518618845842
8;9;1.101217532;3.0;0.367072510667
