# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;1928.88725772;5919.0;0.325880597688
6;11;-602.950958883;3858.0;-0.156285888772
5;11;-41.168080658;6818.0;-0.0060381461804
4;11;496.272237635;1625.0;0.305398300083
3;11;1457.7841927;4246.0;0.343331180569
2;11;1930.0696554;6217.0;0.310450322567
1;11;659.148445387;5530.0;0.119195017249
31;10;132.860971774;864.0;0.153774272887
30;10;51.733725649;275.0;0.188122638724
29;10;-1233.74142459;6406.0;-0.192591543021
28;10;-7.203926083;1911.0;-0.00376971537572
27;10;-290.36822523;8876.0;-0.032713860436
26;10;450.800646793;3328.0;0.135456925118
25;10;291.498006542;1471.0;0.198163158764
24;10;1100.43323648;3040.0;0.361984617264
23;10;620.325440037;1482.0;0.418573171415
22;10;814.814190855;2306.0;0.353345269235
21;10;3581.03880646;8199.0;0.436765313631
20;10;138.148474646;903.0;0.152988344016
19;10;1170.4184589;2103.0;0.556547056062
18;10;141.664027297;1537.0;0.0921691784626
17;10;543.736347393;1969.0;0.27614847506
16;10;1682.67576674;2728.0;0.616816630037
15;10;569.275004509;1549.0;0.367511300522
14;10;410.628815998;1317.0;0.31179105239
13;10;704.547441594;3349.0;0.21037546778
12;10;469.957976502;2848.0;0.165013334446
11;10;597.401761175;1715.0;0.348339219344
10;10;247.993833521;2056.0;0.120619568833
9;10;84.790310371;849.0;0.0998708013793
8;10;139.779786339;1548.0;0.0902970195988
7;10;332.053214811;851.0;0.390191791787
6;10;268.624151769;855.0;0.314180294467
5;10;122.601670217;1108.0;0.110651326911
4;10;282.408779756;1324.0;0.213299682595
3;10;804.986911069;2130.0;0.377928127262
2;10;-612.036068684;4014.0;-0.152475353434
1;10;91.002725202;358.0;0.25419755643
30;9;69.78727916;1239.0;0.056325487619
29;9;40.080451847;515.0;0.0778261200913
28;9;-1221.95190837;7438.0;-0.164285010536
27;9;-1558.49057913;65212.0;-0.0238988311834
26;9;-788.403427185;5506.0;-0.143189870539
25;9;23.1688492;182.0;0.127301369231
24;9;93.076220481;491.0;0.189564603831
23;9;288.015855717;4069.0;0.0707829579054
22;9;-1154.21031297;7938.0;-0.145403163639
21;9;780.726829554;15702.0;0.0497214895908
20;9;2057.25400572;8384.0;0.245378578927
19;9;64.866920032;776.0;0.0835913917938
18;9;468.083709184;1082.0;0.432609712739
17;9;-5.034923074;538.0;-0.00935859307435
16;9;348.292595303;1001.0;0.347944650652
15;9;-12.868501352;1146.0;-0.0112290587714
14;9;1623.39035684;3443.0;0.471504605529
13;9;210.335909909;1007.0;0.208873793356
12;9;40.951479074;356.0;0.11503224459
11;9;2652.75976258;3603.0;0.736264158363
10;9;131.594279577;400.0;0.328985698943
9;9;1194.96752156;3797.0;0.314713595355
8;9;1553.6769187;5870.0;0.264680906082
